                    	simple_wmemchr	__wmemchr_avx2	__wmemchr_avx2_rtm	__wmemchr_evex	__wmemchr_evex_rtm	__wmemchr_sse2
Length    1, position    2, alignment  0:	3.39453	2.54776	5.013	2.58109	2.58095	3.63367
Length    1, position    2, alignment  0:	3.1436	2.58151	4.6458	2.62106	2.58096	3.61317
Length    1, position    2, alignment  2:	3.09689	2.61969	5.15018	2.58093	2.5811	3.65367
Length    1, position    2, alignment  2:	3.09706	2.75267	5.35277	2.96326	2.96346	3.55721
Length    4, position    3, alignment  0:	10.3901	2.85773	5.7372	2.85748	2.85732	3.88972
Length    4, position    3, alignment  0:	10.3593	2.85896	5.71405	2.90137	2.85741	3.43005
Length    4, position    3, alignment  3:	10.3228	2.85805	5.26727	2.85742	2.85741	3.43024
Length    4, position    3, alignment  3:	10.3321	2.85777	5.69005	2.75906	2.75897	3.9082
Length    2, position    3, alignment  0:	4.70779	2.42461	4.89153	2.42447	2.42455	3.39417
Length    2, position    3, alignment  0:	4.63943	2.72772	5.92426	3.00148	2.9633	3.55734
Length    2, position    3, alignment  3:	5.67398	2.96347	5.92598	3.00781	2.96332	4.14844
Length    2, position    3, alignment  3:	5.66858	2.96559	5.33414	3.00806	2.96336	3.55725
Length    5, position    4, alignment  0:	10.7229	2.96367	5.74028	3.01476	2.96342	4.78656
Length    5, position    4, alignment  0:	11.3013	2.96445	5.85077	2.90294	2.85744	4.57291
Length    5, position    4, alignment  4:	9.25804	2.42546	4.8485	2.45882	2.4245	3.88025
Length    5, position    4, alignment  4:	9.24809	2.42575	4.89259	2.42445	2.42448	3.88023
Length    3, position    4, alignment  0:	7.00751	2.42557	4.36435	2.46059	2.42451	3.16528
Length    3, position    4, alignment  0:	5.09088	2.46811	4.36421	2.56195	2.74004	3.90587
Length    3, position    4, alignment  4:	6.46057	2.89429	5.71426	2.85738	2.88957	4.0002
Length    3, position    4, alignment  4:	6.57123	2.89911	5.71411	2.85748	2.8893	3.42992
Length    6, position    5, alignment  0:	9.17967	2.85793	5.71413	2.89302	2.85753	4.34328
Length    6, position    5, alignment  0:	8.61261	2.85768	5.18956	2.85738	2.85745	4.57245
Length    6, position    5, alignment  5:	13.7053	2.80107	5.51743	2.75903	2.80173	4.42799
Length    6, position    5, alignment  5:	10.3682	2.85828	5.76022	2.85733	2.85736	4.57309
Length    4, position    5, alignment  0:	9.17987	2.85779	5.59805	2.85733	2.85741	3.02943
Length    4, position    5, alignment  0:	9.1425	2.90196	5.14337	2.85738	2.85732	3.46477
Length    4, position    5, alignment  5:	9.14204	2.90308	5.71405	2.85747	2.9119	2.85822
Length    4, position    5, alignment  5:	9.17703	2.85789	5.46231	2.62247	2.58098	3.01596
Length    7, position    6, alignment  0:	7.79247	2.42642	4.36417	2.42448	2.47194	4.117
Length    7, position    6, alignment  0:	8.29823	2.58165	4.47356	2.42453	2.47035	3.88045
Length    7, position    6, alignment  6:	7.7988	2.42442	4.36427	2.42456	2.47084	4.41661
Length    7, position    6, alignment  6:	10.8437	2.58151	5.1613	2.62381	2.58099	4.49641
Length    5, position    6, alignment  0:	5.85825	2.42479	4.3644	2.42459	2.46553	3.89143
Length    5, position    6, alignment  0:	5.33299	2.26311	4.44441	2.22241	2.22231	3.59973
