                       	strtok	oldstrtok
Length  135/9, alignment  0/15, fail:	21.7266	43.5469
Length  135/9, alignment  3/ 0, found:	25.2656	59.1406
Length  135/9, alignment  3/ 0, fail:	18.1406	46.0391
Length  135/9, alignment  3/ 3, found:	27.2422	58.875
Length  135/9, alignment  3/ 3, fail:	20.6953	45.4219
Length  135/9, alignment  3/ 9, found:	26.7812	56.9609
Length  135/9, alignment  3/ 9, fail:	21.2969	45.7031
Length  135/9, alignment  3/15, found:	27.6719	56.5859
Length  135/9, alignment  3/15, fail:	21.5703	45.6562
Length  135/9, alignment  9/ 0, found:	25.0625	59.1484
Length  135/9, alignment  9/ 0, fail:	19.0938	45.4531
Length  135/9, alignment  9/ 3, found:	27.0625	58.7812
Length  135/9, alignment  9/ 3, fail:	21.0859	45.3672
Length  135/9, alignment  9/ 9, found:	27.5781	56.8672
Length  135/9, alignment  9/ 9, fail:	22.7734	45.6328
Length  135/9, alignment  9/15, found:	28.4062	56.3984
Length  135/9, alignment  9/15, fail:	22.9922	45.3828
Length  135/9, alignment 15/ 0, found:	27.7656	60.2812
Length  135/9, alignment 15/ 0, fail:	18.9688	45.4453
Length  135/9, alignment 15/ 3, found:	28.4688	59.7422
Length  135/9, alignment 15/ 3, fail:	20.5156	45.4062
Length  135/9, alignment 15/ 9, found:	29.0703	59.8906
Length  135/9, alignment 15/ 9, fail:	21.9609	45.4375
Length  135/9, alignment 15/15, found:	28.6875	59.1328
Length  135/9, alignment 15/15, fail:	21.7031	45.4141
Length   20/10, alignment  0/ 0, found:	14.3438	37.625
Length   20/10, alignment  0/ 0, fail:	18.0312	43.7734
Length   20/10, alignment  0/ 3, found:	16.6641	37.2422
Length   20/10, alignment  0/ 3, fail:	21.7031	43.6172
Length   20/10, alignment  0/ 9, found:	16.5469	37.8203
Length   20/10, alignment  0/ 9, fail:	22.2656	43.6172
Length   20/10, alignment  0/15, found:	15.7812	37.5703
Length   20/10, alignment  0/15, fail:	22.6094	43.2578
Length   20/10, alignment  3/ 0, found:	16.1016	38.5234
Length   20/10, alignment  3/ 0, fail:	20.0703	45.9531
Length   20/10, alignment  3/ 3, found:	17.2344	37.875
Length   20/10, alignment  3/ 3, fail:	22.4453	45.7422
Length   20/10, alignment  3/ 9, found:	17.1406	38.2266
Length   20/10, alignment  3/ 9, fail:	22.9766	45.5625
Length   20/10, alignment  3/15, found:	16	37.9922
Length   20/10, alignment  3/15, fail:	22.8516	45.6719
Length   20/10, alignment  9/ 0, found:	14.9609	38.125
Length   20/10, alignment  9/ 0, fail:	19.1562	45.8125
Length   20/10, alignment  9/ 3, found:	16.7891	37.6797
Length   20/10, alignment  9/ 3, fail:	20.6797	45.6797
Length   20/10, alignment  9/ 9, found:	17.6562	37.9219
Length   20/10, alignment  9/ 9, fail:	23.4531	45.6094
Length   20/10, alignment  9/15, found:	17.6484	37.9219
Length   20/10, alignment  9/15, fail:	22.4062	45.5156
Length   20/10, alignment 15/ 0, found:	16.5156	38.7812
Length   20/10, alignment 15/ 0, fail:	20.8828	45.4531
Length   20/10, alignment 15/ 3, found:	17.1562	38.6562
Length   20/10, alignment 15/ 3, fail:	21.3203	45.6094
Length   20/10, alignment 15/ 9, found:	18.0078	38.6406
Length   20/10, alignment 15/ 9, fail:	22.4375	45.5391
Length   20/10, alignment 15/15, found:	17.75	38.5625
Length   20/10, alignment 15/15, fail:	22.125	45.4766
Length   30/10, alignment  0/ 0, found:	15.6484	37.5703
Length   30/10, alignment  0/ 0, fail:	18.7969	43.6719
Length   30/10, alignment  0/ 3, found:	16.1484	37.3047
Length   30/10, alignment  0/ 3, fail:	20.6484	43.7344
Length   30/10, alignment  0/ 9, found:	15.6641	37.3672
Length   30/10, alignment  0/ 9, fail:	22.8906	43.5234
Length   30/10, alignment  0/15, found:	15.6406	37.3828
Length   30/10, alignment  0/15, fail:	22.2969	43.3516
Length   30/10, alignment  3/ 0, found:	15.8984	38.625
Length   30/10, alignment  3/ 0, fail:	17.8125	46.2891
Length   30/10, alignment  3/ 3, found:	17.0625	38.7812
Length   30/10, alignment  3/ 3, fail:	22.375	91.3359
Length   30/10, alignment  3/ 9, found:	18.75	38.6562
Length   30/10, alignment  3/ 9, fail:	22.0234	46.0234
Length   30/10, alignment  3/15, found:	18.3203	38.3984
Length   30/10, alignment  3/15, fail:	22.875	45.75
Length   30/10, alignment  9/ 0, found:	17.1953	38.7031
Length   30/10, alignment  9/ 0, fail:	21.1094	45.8047
Length   30/10, alignment  9/ 3, found:	18.5156	38.4688
Length   30/10, alignment  9/ 3, fail:	23.1328	45.75
Length   30/10, alignment  9/ 9, found:	18.3828	38.4219
Length   30/10, alignment  9/ 9, fail:	22.2344	45.7422
Length   30/10, alignment  9/15, found:	16.9766	38.3594
Length   30/10, alignment  9/15, fail:	23.2969	45.6094
Length   30/10, alignment 15/ 0, found:	15.1953	38.5625
Length   30/10, alignment 15/ 0, fail:	18.9531	45.6328
Length   30/10, alignment 15/ 3, found:	17.5781	38.4688
Length   30/10, alignment 15/ 3, fail:	21.4453	45.5625
Length   30/10, alignment 15/ 9, found:	17.4219	38.3672
Length   30/10, alignment 15/ 9, fail:	21.0938	45.4609
Length   30/10, alignment 15/15, found:	17.3906	38.375
Length   30/10, alignment 15/15, fail:	23.0625	45.375
Length   40/10, alignment  0/ 0, found:	15.4375	38.1094
Length   40/10, alignment  0/ 0, fail:	18.5312	43.5469
Length   40/10, alignment  0/ 3, found:	17.1641	37.6719
Length   40/10, alignment  0/ 3, fail:	21.4844	43.75
Length   40/10, alignment  0/ 9, found:	17.2656	38.0391
Length   40/10, alignment  0/ 9, fail:	22.2188	43.5078
Length   40/10, alignment  0/15, found:	17.4844	37.8203
Length   40/10, alignment  0/15, fail:	21.3359	43.3125
Length   40/10, alignment  3/ 0, found:	16.2812	38.5859
Length   40/10, alignment  3/ 0, fail:	17.0391	46.2031
Length   40/10, alignment  3/ 3, found:	17.2188	38.6094
Length   40/10, alignment  3/ 3, fail:	21.2266	45.8359
Length   40/10, alignment  3/ 9, found:	18.2344	38.5938
Length   40/10, alignment  3/ 9, fail:	22.2578	45.8594
Length   40/10, alignment  3/15, found:	17.9609	38.375
Length   40/10, alignment  3/15, fail:	22.1641	45.6875
Length   40/10, alignment  9/ 0, found:	16.375	41.4453
Length   40/10, alignment  9/ 0, fail:	19.0312	45.7891
Length   40/10, alignment  9/ 3, found:	18.4609	41.8438
Length   40/10, alignment  9/ 3, fail:	21.2422	45.7422
Length   40/10, alignment  9/ 9, found:	18.3359	41.3047
Length   40/10, alignment  9/ 9, fail:	22.4141	45.5391
Length   40/10, alignment  9/15, found:	17.9844	41.1641
Length   40/10, alignment  9/15, fail:	23.0938	45.5234
Length   40/10, alignment 15/ 0, found:	16.7109	41.25
Length   40/10, alignment 15/ 0, fail:	19.2734	45.6875
Length   40/10, alignment 15/ 3, found:	18.2734	41.4922
Length   40/10, alignment 15/ 3, fail:	21.1641	45.5859
Length   40/10, alignment 15/ 9, found:	17.875	41.125
Length   40/10, alignment 15/ 9, fail:	22.5	45.6641
Length   40/10, alignment 15/15, found:	17.8438	41.1016
Length   40/10, alignment 15/15, fail:	22.4688	45.6172
Length   50/10, alignment  0/ 0, found:	17.3984	38.625
Length   50/10, alignment  0/ 0, fail:	18.7422	43.5469
Length   50/10, alignment  0/ 3, found:	19.4453	38.3203
Length   50/10, alignment  0/ 3, fail:	20.7109	43.6719
Length   50/10, alignment  0/ 9, found:	18.6016	38.8984
Length   50/10, alignment  0/ 9, fail:	22.0312	43.6641
Length   50/10, alignment  0/15, found:	18.8516	38.4141
Length   50/10, alignment  0/15, fail:	21.4922	43.5938
Length   50/10, alignment  3/ 0, found:	17.0625	41.2344
Length   50/10, alignment  3/ 0, fail:	17.9766	46.0938
Length   50/10, alignment  3/ 3, found:	18.3125	41.6953
Length   50/10, alignment  3/ 3, fail:	20.3516	45.625
Length   50/10, alignment  3/ 9, found:	18.1953	41.2734
Length   50/10, alignment  3/ 9, fail:	22.8047	45.7109
Length   50/10, alignment  3/15, found:	18.1406	41.2578
Length   50/10, alignment  3/15, fail:	21.7969	45.6406
Length   50/10, alignment  9/ 0, found:	16.8906	41.3594
Length   50/10, alignment  9/ 0, fail:	19.2578	45.6094
Length   50/10, alignment  9/ 3, found:	18.2578	41.6875
Length   50/10, alignment  9/ 3, fail:	22.0781	45.5391
Length   50/10, alignment  9/ 9, found:	18.1953	41.3906
Length   50/10, alignment  9/ 9, fail:	23.1484	45.7266
Length   50/10, alignment  9/15, found:	18.0703	41.1094
Length   50/10, alignment  9/15, fail:	23.8203	45.4844
Length   50/10, alignment 15/ 0, found:	18.9453	43.9922
Length   50/10, alignment 15/ 0, fail:	20.5469	45.4141
Length   50/10, alignment 15/ 3, found:	20.1094	43.8828
Length   50/10, alignment 15/ 3, fail:	22.7266	45.5859
Length   50/10, alignment 15/ 9, found:	19.7266	43.4922
Length   50/10, alignment 15/ 9, fail:	45.8828	45.4141
Length   50/10, alignment 15/15, found:	19.3047	43.3906
Length   50/10, alignment 15/15, fail:	22.8984	45.4219
Length   60/10, alignment  0/ 0, found:	16.9922	38.5781
Length   60/10, alignment  0/ 0, fail:	17.3047	43.5859
Length   60/10, alignment  0/ 3, found:	18.8672	38.1094
Length   60/10, alignment  0/ 3, fail:	21.4219	43.6406
Length   60/10, alignment  0/ 9, found:	19.0234	38.5703
Length   60/10, alignment  0/ 9, fail:	22.7734	43.9766
Length   60/10, alignment  0/15, found:	17.8359	38.3438
Length   60/10, alignment  0/15, fail:	22.6484	43.3672
Length   60/10, alignment  3/ 0, found:	16.3047	41.3125
Length   60/10, alignment  3/ 0, fail:	18.3125	46.2891
Length   60/10, alignment  3/ 3, found:	16.9141	41.9531
Length   60/10, alignment  3/ 3, fail:	21.8438	45.5234
Length   60/10, alignment  3/ 9, found:	18.3438	41.4688
Length   60/10, alignment  3/ 9, fail:	22.9688	45.7578
Length   60/10, alignment  3/15, found:	18.0391	41.2188
Length   60/10, alignment  3/15, fail:	22.7578	45.6406
Length   60/10, alignment  9/ 0, found:	17.7031	43.875
Length   60/10, alignment  9/ 0, fail:	20.0156	45.6641
Length   60/10, alignment  9/ 3, found:	18.6328	43.7422
Length   60/10, alignment  9/ 3, fail:	20.7891	45.625
Length   60/10, alignment  9/ 9, found:	19	43.4375
Length   60/10, alignment  9/ 9, fail:	23.3516	45.6562
Length   60/10, alignment  9/15, found:	18.5391	43.3984
Length   60/10, alignment  9/15, fail:	22.7344	45.4766
Length   60/10, alignment 15/ 0, found:	17.625	43.8281
Length   60/10, alignment 15/ 0, fail:	20.4531	45.5469
Length   60/10, alignment 15/ 3, found:	18.9141	43.8125
Length   60/10, alignment 15/ 3, fail:	21.8047	45.3906
Length   60/10, alignment 15/ 9, found:	18.5469	43.4766
Length   60/10, alignment 15/ 9, fail:	23.4453	45.5078
Length   60/10, alignment 15/15, found:	18.6016	43.4766
Length   60/10, alignment 15/15, fail:	22.7344	45.5156
Length   70/10, alignment  0/ 0, found:	17.6328	42.625
Length   70/10, alignment  0/ 0, fail:	18.9844	43.5234
Length   70/10, alignment  0/ 3, found:	19.1641	42.375
Length   70/10, alignment  0/ 3, fail:	21.6016	43.4844
Length   70/10, alignment  0/ 9, found:	17.8906	42.6094
Length   70/10, alignment  0/ 9, fail:	22.8594	43.5703
Length   70/10, alignment  0/15, found:	18.6328	42.1719
Length   70/10, alignment  0/15, fail:	22.0938	43.5469
Length   70/10, alignment  3/ 0, found:	17.4609	43.8906
Length   70/10, alignment  3/ 0, fail:	19.6797	50.2812
Length   70/10, alignment  3/ 3, found:	20.8516	47.8047
Length   70/10, alignment  3/ 3, fail:	23.3359	49.7109
Length   70/10, alignment  3/ 9, found:	20.6016	47.3594
Length   70/10, alignment  3/ 9, fail:	26.1094	49.9766
Length   70/10, alignment  3/15, found:	20.5312	47.3828
Length   70/10, alignment  3/15, fail:	23.7031	50
Length   70/10, alignment  9/ 0, found:	18.8359	48.0234
Length   70/10, alignment  9/ 0, fail:	21.9844	49.6875
Length   70/10, alignment  9/ 3, found:	20.7188	47.8047
Length   70/10, alignment  9/ 3, fail:	23.8438	49.6797
Length   70/10, alignment  9/ 9, found:	20.5781	47.4297
Length   70/10, alignment  9/ 9, fail:	24.4531	49.7266
Length   70/10, alignment  9/15, found:	20.0391	47.3984
Length   70/10, alignment  9/15, fail:	23.7578	49.625
Length   70/10, alignment 15/ 0, found:	20.5391	48.6875
Length   70/10, alignment 15/ 0, fail:	22.3438	49.6641
Length   70/10, alignment 15/ 3, found:	21.75	48.5
Length   70/10, alignment 15/ 3, fail:	23.3594	49.7656
Length   70/10, alignment 15/ 9, found:	21.8594	48.4609
Length   70/10, alignment 15/ 9, fail:	25.25	49.6406
Length   70/10, alignment 15/15, found:	21.3203	48.125
Length   70/10, alignment 15/15, fail:	25.1875	49.6719
Length   80/10, alignment  0/ 0, found:	21.6406	45.9375
Length   80/10, alignment  0/ 0, fail:	21.3203	47.5547
Length   80/10, alignment  0/ 3, found:	22.9609	44.8203
Length   80/10, alignment  0/ 3, fail:	23.6484	47.5
Length   80/10, alignment  0/ 9, found:	22.5391	44.6484
Length   80/10, alignment  0/ 9, fail:	25.4453	47.6094
Length   80/10, alignment  0/15, found:	23.5938	44.2109
Length   80/10, alignment  0/15, fail:	24.9219	47.3984
Length   80/10, alignment  3/ 0, found:	20.25	48.6172
Length   80/10, alignment  3/ 0, fail:	20.4531	50.0312
Length   80/10, alignment  3/ 3, found:	21.6641	72.0234
Length   80/10, alignment  3/ 3, fail:	24.3281	49.7344
Length   80/10, alignment  3/ 9, found:	22.1875	48.125
Length   80/10, alignment  3/ 9, fail:	24.2812	49.9062
Length   80/10, alignment  3/15, found:	21.3906	48.1562
Length   80/10, alignment  3/15, fail:	24.8203	49.8828
Length   80/10, alignment  9/ 0, found:	19.9062	48.3828
Length   80/10, alignment  9/ 0, fail:	21.2109	49.7109
Length   80/10, alignment  9/ 3, found:	21.3281	48.0625
Length   80/10, alignment  9/ 3, fail:	24.25	49.5703
Length   80/10, alignment  9/ 9, found:	21.4609	48.1172
Length   80/10, alignment  9/ 9, fail:	25.3281	49.6719
Length   80/10, alignment  9/15, found:	21.3125	48.1406
Length   80/10, alignment  9/15, fail:	25.0938	49.4609
Length   80/10, alignment 15/ 0, found:	20.1016	48.4141
Length   80/10, alignment 15/ 0, fail:	21.3281	49.6172
Length   80/10, alignment 15/ 3, found:	21.5156	48.1797
Length   80/10, alignment 15/ 3, fail:	23.8047	49.625
Length   80/10, alignment 15/ 9, found:	21.6172	48.2188
Length   80/10, alignment 15/ 9, fail:	25.3203	49.5391
Length   80/10, alignment 15/15, found:	21.3672	48.125
Length   80/10, alignment 15/15, fail:	25.1953	49.5391
Length   90/10, alignment  0/ 0, found:	21.1172	47.0234
Length   90/10, alignment  0/ 0, fail:	21.2266	47.4375
Length   90/10, alignment  0/ 3, found:	22.8047	46.6016
Length   90/10, alignment  0/ 3, fail:	23.5547	47.3594
Length   90/10, alignment  0/ 9, found:	22.5703	46.8438
Length   90/10, alignment  0/ 9, fail:	25.0469	47.4688
Length   90/10, alignment  0/15, found:	22.8906	46.625
Length   90/10, alignment  0/15, fail:	25.1484	47.4375
Length   90/10, alignment  3/ 0, found:	19.8594	48.2578
Length   90/10, alignment  3/ 0, fail:	19.8438	50.2969
Length   90/10, alignment  3/ 3, found:	21.3672	48.0469
Length   90/10, alignment  3/ 3, fail:	23.5938	49.6953
Length   90/10, alignment  3/ 9, found:	21.5391	48.2578
Length   90/10, alignment  3/ 9, fail:	24.9844	50.0547
Length   90/10, alignment  3/15, found:	21.1641	48.0703
Length   90/10, alignment  3/15, fail:	24.7656	49.8516
Length   90/10, alignment  9/ 0, found:	22.7969	49.2422
Length   90/10, alignment  9/ 0, fail:	21.25	49.875
Length   90/10, alignment  9/ 3, found:	23.7344	48.9922
Length   90/10, alignment  9/ 3, fail:	24.8516	49.5938
Length   90/10, alignment  9/ 9, found:	23.3516	48.9766
Length   90/10, alignment  9/ 9, fail:	25.2109	49.6641
Length   90/10, alignment  9/15, found:	23.4141	48.6172
Length   90/10, alignment  9/15, fail:	24.6016	49.4844
Length   90/10, alignment 15/ 0, found:	22.1406	48.9688
Length   90/10, alignment 15/ 0, fail:	20.7344	49.5859
Length   90/10, alignment 15/ 3, found:	25.2031	48.75
Length   90/10, alignment 15/ 3, fail:	24.75	49.4531
Length   90/10, alignment 15/ 9, found:	25.4375	48.7109
Length   90/10, alignment 15/ 9, fail:	25.4141	49.625
Length   90/10, alignment 15/15, found:	24.875	48.7734
Length   90/10, alignment 15/15, fail:	25.6641	49.5859
Length  100/10, alignment  0/ 0, found:	21.1641	47.5469
Length  100/10, alignment  0/ 0, fail:	21.6484	47.5312
Length  100/10, alignment  0/ 3, found:	22.7812	47.0703
Length  100/10, alignment  0/ 3, fail:	22.2578	47.3281
Length  100/10, alignment  0/ 9, found:	21.8281	47.4297
Length  100/10, alignment  0/ 9, fail:	23.8516	47.6562
Length  100/10, alignment  0/15, found:	21.6641	47.1875
Length  100/10, alignment  0/15, fail:	24.0781	47.4922
Length  100/10, alignment  3/ 0, found:	22.9844	48.9453
Length  100/10, alignment  3/ 0, fail:	20.4219	50.1953
Length  100/10, alignment  3/ 3, found:	24.3203	48.7266
Length  100/10, alignment  3/ 3, fail:	24.0156	49.625
Length  100/10, alignment  3/ 9, found:	24.9922	48.7734
Length  100/10, alignment  3/ 9, fail:	24.1094	49.8672
Length  100/10, alignment  3/15, found:	24.0781	48.6172
Length  100/10, alignment  3/15, fail:	24.3984	49.8906
Length  100/10, alignment  9/ 0, found:	23.0156	48.8438
Length  100/10, alignment  9/ 0, fail:	20.875	49.7734
Length  100/10, alignment  9/ 3, found:	24.0078	68.7344
Length  100/10, alignment  9/ 3, fail:	23.5156	49.6719
Length  100/10, alignment  9/ 9, found:	24.1484	48.6562
Length  100/10, alignment  9/ 9, fail:	24.7969	49.7422
Length  100/10, alignment  9/15, found:	23.3594	48.6484
Length  100/10, alignment  9/15, fail:	24.9922	49.4922
Length  100/10, alignment 15/ 0, found:	20.4375	50.7656
Length  100/10, alignment 15/ 0, fail:	21.3594	49.5625
Length  100/10, alignment 15/ 3, found:	22.6172	51.2969
Length  100/10, alignment 15/ 3, fail:	23.8516	49.6016
Length  100/10, alignment 15/ 9, found:	22.6953	50.9609
Length  100/10, alignment 15/ 9, fail:	25.2031	49.5703
Length  100/10, alignment 15/15, found:	21.5703	50.9453
Length  100/10, alignment 15/15, fail:	25.1094	49.4844
Length  110/10, alignment  0/ 0, found:	19.4297	47.3125
Length  110/10, alignment  0/ 0, fail:	21.2344	47.3438
Length  110/10, alignment  0/ 3, found:	22.25	46.6562
Length  110/10, alignment  0/ 3, fail:	21.0547	47.9766
Length  110/10, alignment  0/ 9, found:	24.0938	47.4062
Length  110/10, alignment  0/ 9, fail:	23.5625	47.375
Length  110/10, alignment  0/15, found:	23.9844	47.1953
Length  110/10, alignment  0/15, fail:	23.8203	47.2578
Length  110/10, alignment  3/ 0, found:	21.2578	50.7031
Length  110/10, alignment  3/ 0, fail:	19.4297	50.0469
Length  110/10, alignment  3/ 3, found:	22.6641	51.2578
Length  110/10, alignment  3/ 3, fail:	22.6094	49.6172
Length  110/10, alignment  3/ 9, found:	22.9141	50.8984
Length  110/10, alignment  3/ 9, fail:	24.9219	49.9688
Length  110/10, alignment  3/15, found:	22.8438	50.9219
Length  110/10, alignment  3/15, fail:	25.3906	49.9766
Length  110/10, alignment  9/ 0, found:	21.1406	50.6406
Length  110/10, alignment  9/ 0, fail:	22.2656	49.8281
Length  110/10, alignment  9/ 3, found:	22.7109	51.25
Length  110/10, alignment  9/ 3, fail:	22.6797	49.4531
Length  110/10, alignment  9/ 9, found:	23	51.0391
Length  110/10, alignment  9/ 9, fail:	24.4375	49.7578
Length  110/10, alignment  9/15, found:	22.4297	50.875
Length  110/10, alignment  9/15, fail:	26.1172	49.7812
Length  110/10, alignment 15/ 0, found:	21.2422	50.4766
Length  110/10, alignment 15/ 0, fail:	22.2266	49.6719
Length  110/10, alignment 15/ 3, found:	22.5156	51.1641
Length  110/10, alignment 15/ 3, fail:	24.7422	49.4297
Length  110/10, alignment 15/ 9, found:	22.3203	51
Length  110/10, alignment 15/ 9, fail:	25.4141	49.6719
Length  110/10, alignment 15/15, found:	22.25	50.9141
Length  110/10, alignment 15/15, fail:	25.1094	49.5781
Length  120/10, alignment  0/ 0, found:	21.3516	48.2266
Length  120/10, alignment  0/ 0, fail:	20.2422	47.4141
Length  120/10, alignment  0/ 3, found:	22.3125	47.3203
Length  120/10, alignment  0/ 3, fail:	24.1016	47.6094
Length  120/10, alignment  0/ 9, found:	22	48.0156
Length  120/10, alignment  0/ 9, fail:	24.2344	47.4297
Length  120/10, alignment  0/15, found:	22.4375	47.9062
Length  120/10, alignment  0/15, fail:	24.5078	47.3984
Length  120/10, alignment  3/ 0, found:	22.0781	50.4609
Length  120/10, alignment  3/ 0, fail:	19.8047	50.1875
Length  120/10, alignment  3/ 3, found:	23.6094	51.1172
Length  120/10, alignment  3/ 3, fail:	24.2656	49.75
Length  120/10, alignment  3/ 9, found:	22.9375	50.8828
Length  120/10, alignment  3/ 9, fail:	24.8828	49.9297
Length  120/10, alignment  3/15, found:	22.3672	50.8594
Length  120/10, alignment  3/15, fail:	24.7422	49.8906
Length  120/10, alignment  9/ 0, found:	21.5625	53.8281
Length  120/10, alignment  9/ 0, fail:	22.1562	49.6094
Length  120/10, alignment  9/ 3, found:	25.3125	53.7578
Length  120/10, alignment  9/ 3, fail:	23.7656	49.7266
Length  120/10, alignment  9/ 9, found:	22.4219	52.9688
Length  120/10, alignment  9/ 9, fail:	26.3594	49.625
Length  120/10, alignment  9/15, found:	25.1016	52.9922
Length  120/10, alignment  9/15, fail:	26.3203	49.6016
Length  120/10, alignment 15/ 0, found:	23.2812	53.6016
Length  120/10, alignment 15/ 0, fail:	41.6172	49.6641
Length  120/10, alignment 15/ 3, found:	21.0547	53.5703
Length  120/10, alignment 15/ 3, fail:	23.7969	49.625
Length  120/10, alignment 15/ 9, found:	24.9844	53.0078
Length  120/10, alignment 15/ 9, fail:	24.3125	49.5938
Length  120/10, alignment 15/15, found:	21.2578	52.9844
Length  120/10, alignment 15/15, fail:	24.5625	49.5156
Length  130/10, alignment  0/ 0, found:	20.8281	52.3359
Length  130/10, alignment  0/ 0, fail:	21.2969	47.4219
Length  130/10, alignment  0/ 3, found:	21.8828	51.7109
Length  130/10, alignment  0/ 3, fail:	23.7969	47.3984
Length  130/10, alignment  0/ 9, found:	22.5078	51.9375
Length  130/10, alignment  0/ 9, fail:	24.6406	47.4375
Length  130/10, alignment  0/15, found:	21.8594	51.75
Length  130/10, alignment  0/15, fail:	23.4609	47.2969
Length  130/10, alignment  3/ 0, found:	22.0312	53.5625
Length  130/10, alignment  3/ 0, fail:	18.0078	50.2422
Length  130/10, alignment  3/ 3, found:	23.3516	53.5234
Length  130/10, alignment  3/ 3, fail:	22.3828	49.6719
Length  130/10, alignment  3/ 9, found:	23.3906	53.0703
Length  130/10, alignment  3/ 9, fail:	23.2734	50.1328
Length  130/10, alignment  3/15, found:	23.3438	53.0625
Length  130/10, alignment  3/15, fail:	23.5547	49.8672
Length  130/10, alignment  9/ 0, found:	24.1172	53.4766
Length  130/10, alignment  9/ 0, fail:	20.8359	49.6328
Length  130/10, alignment  9/ 3, found:	23.4141	53.5625
Length  130/10, alignment  9/ 3, fail:	22.4219	49.625
Length  130/10, alignment  9/ 9, found:	23.4141	53.0859
Length  130/10, alignment  9/ 9, fail:	24.2266	49.625
Length  130/10, alignment  9/15, found:	26.2578	52.9766
Length  130/10, alignment  9/15, fail:	24.6641	49.5469
Length  130/10, alignment 15/ 0, found:	22.8281	54.2891
Length  130/10, alignment 15/ 0, fail:	20.8047	49.5781
Length  130/10, alignment 15/ 3, found:	26.6016	54.4062
Length  130/10, alignment 15/ 3, fail:	22.375	49.5547
Length  130/10, alignment 15/ 9, found:	26.5938	54.0781
Length  130/10, alignment 15/ 9, fail:	24.4766	49.5156
Length  130/10, alignment 15/15, found:	26.75	53.9297
Length  130/10, alignment 15/15, fail:	24.6406	49.5
Length  140/10, alignment  0/ 0, found:	21.4531	52.0469
Length  140/10, alignment  0/ 0, fail:	20.1719	47.4844
Length  140/10, alignment  0/ 3, found:	22.8359	51.6094
Length  140/10, alignment  0/ 3, fail:	22.2188	47.3281
Length  140/10, alignment  0/ 9, found:	22.8984	51.7734
Length  140/10, alignment  0/ 9, fail:	23.3047	47.5078
Length  140/10, alignment  0/15, found:	22.5938	51.7031
Length  140/10, alignment  0/15, fail:	23.6875	47.3906
Length  140/10, alignment  3/ 0, found:	22.2188	53.5938
Length  140/10, alignment  3/ 0, fail:	19.5	50.0469
Length  140/10, alignment  3/ 3, found:	23.7109	53.6406
Length  140/10, alignment  3/ 3, fail:	24.2891	49.7891
Length  140/10, alignment  3/ 9, found:	23.625	53.1953
Length  140/10, alignment  3/ 9, fail:	25.3359	50
Length  140/10, alignment  3/15, found:	23.3672	53.0781
Length  140/10, alignment  3/15, fail:	24.875	49.9453
Length  140/10, alignment  9/ 0, found:	25.2266	54.4375
Length  140/10, alignment  9/ 0, fail:	22.3906	49.5938
Length  140/10, alignment  9/ 3, found:	24.1016	54.2578
Length  140/10, alignment  9/ 3, fail:	23.7734	49.5625
Length  140/10, alignment  9/ 9, found:	23.0547	54.0391
Length  140/10, alignment  9/ 9, fail:	25.3125	49.5938
Length  140/10, alignment  9/15, found:	22.7656	53.8672
Length  140/10, alignment  9/15, fail:	25.9297	49.5547
Length  140/10, alignment 15/ 0, found:	25.0234	54.2734
Length  140/10, alignment 15/ 0, fail:	22.1172	49.625
Length  140/10, alignment 15/ 3, found:	23.1875	54.0547
Length  140/10, alignment 15/ 3, fail:	23.3984	49.3594
Length  140/10, alignment 15/ 9, found:	26.25	54.0312
Length  140/10, alignment 15/ 9, fail:	24.7891	49.5938
Length  140/10, alignment 15/15, found:	26.875	81.3828
Length  140/10, alignment 15/15, fail:	25.3516	49.6719
Length  150/10, alignment  0/ 0, found:	23.5234	52.7109
Length  150/10, alignment  0/ 0, fail:	21.3047	47.5781
Length  150/10, alignment  0/ 3, found:	23.4766	52.1953
Length  150/10, alignment  0/ 3, fail:	23.3594	47.3125
Length  150/10, alignment  0/ 9, found:	24.8281	52.6484
Length  150/10, alignment  0/ 9, fail:	24.5703	47.4688
Length  150/10, alignment  0/15, found:	24.5781	52.5703
Length  150/10, alignment  0/15, fail:	24.6875	47.5234
Length  150/10, alignment  3/ 0, found:	22.6797	54.2812
Length  150/10, alignment  3/ 0, fail:	20.2969	50.1406
Length  150/10, alignment  3/ 3, found:	23.8594	54.0625
Length  150/10, alignment  3/ 3, fail:	23.3281	49.5469
Length  150/10, alignment  3/ 9, found:	24.2266	53.8906
Length  150/10, alignment  3/ 9, fail:	25.1172	49.8438
Length  150/10, alignment  3/15, found:	24.0703	53.9141
Length  150/10, alignment  3/15, fail:	24.9688	49.8672
Length  150/10, alignment  9/ 0, found:	25.0156	54.2422
Length  150/10, alignment  9/ 0, fail:	22.2891	49.6328
Length  150/10, alignment  9/ 3, found:	23.8828	54.1094
Length  150/10, alignment  9/ 3, fail:	23.75	49.5703
Length  150/10, alignment  9/ 9, found:	26	54.0859
Length  150/10, alignment  9/ 9, fail:	25.6875	49.6172
Length  150/10, alignment  9/15, found:	26.2422	53.9609
Length  150/10, alignment  9/15, fail:	25.6641	49.5625
Length  150/10, alignment 15/ 0, found:	24.4609	55.0703
Length  150/10, alignment 15/ 0, fail:	21.7344	49.5703
Length  150/10, alignment 15/ 3, found:	25.7812	54.7578
Length  150/10, alignment 15/ 3, fail:	25.1484	49.5078
