                       	strtok	oldstrtok
Length   10/2, alignment  3/ 3, found:	27.6641	60.6484
Length   10/2, alignment  3/ 3, fail:	27.0312	60.1719
Length   10/2, alignment  3/ 9, found:	27.0469	60.1797
Length   10/2, alignment  3/ 9, fail:	26.8594	60
Length   10/2, alignment  3/15, found:	25.8594	61.1172
Length   10/2, alignment  3/15, fail:	25.5234	60.3281
Length   10/2, alignment  9/ 0, found:	23.1406	60.2734
Length   10/2, alignment  9/ 0, fail:	23.1719	61.2656
Length   10/2, alignment  9/ 3, found:	26.2188	60.2812
Length   10/2, alignment  9/ 3, fail:	25.8281	60.4766
Length   10/2, alignment  9/ 9, found:	25.5078	60.0703
Length   10/2, alignment  9/ 9, fail:	26.375	60.4609
Length   10/2, alignment  9/15, found:	26.8516	60.6172
Length   10/2, alignment  9/15, fail:	26.1719	61.2109
Length   10/2, alignment 15/ 0, found:	21.9531	61.7656
Length   10/2, alignment 15/ 0, fail:	23.7812	60.4688
Length   10/2, alignment 15/ 3, found:	29.3438	61.1875
Length   10/2, alignment 15/ 3, fail:	28.4062	59.5703
Length   10/2, alignment 15/ 9, found:	27.8516	60.5234
Length   10/2, alignment 15/ 9, fail:	26.9766	59.3047
Length   10/2, alignment 15/15, found:	26.3828	61.4766
Length   10/2, alignment 15/15, fail:	28.9688	60.3281
Length   12/2, alignment  0/ 0, found:	23.1562	59.8516
Length   12/2, alignment  0/ 0, fail:	22.9141	59.3125
Length   12/2, alignment  0/ 3, found:	26.5312	58.9766
Length   12/2, alignment  0/ 3, fail:	26.5781	59.8984
Length   12/2, alignment  0/ 9, found:	26.5312	58.8438
Length   12/2, alignment  0/ 9, fail:	25.9219	59.7734
Length   12/2, alignment  0/15, found:	27.6172	59.1719
Length   12/2, alignment  0/15, fail:	26.3281	59.0781
Length   12/2, alignment  3/ 0, found:	22.5234	60.3359
Length   12/2, alignment  3/ 0, fail:	23.5078	60.0391
Length   12/2, alignment  3/ 3, found:	26.6719	60.2344
Length   12/2, alignment  3/ 3, fail:	26.3594	59.9375
Length   12/2, alignment  3/ 9, found:	25.9766	60.1797
Length   12/2, alignment  3/ 9, fail:	25.6406	59.9453
Length   12/2, alignment  3/15, found:	26.7812	60.2969
Length   12/2, alignment  3/15, fail:	26.4844	60.2266
Length   12/2, alignment  9/ 0, found:	23.4141	60.8828
Length   12/2, alignment  9/ 0, fail:	22.9375	61.2344
Length   12/2, alignment  9/ 3, found:	26.375	60.4844
Length   12/2, alignment  9/ 3, fail:	26.4922	60.4219
Length   12/2, alignment  9/ 9, found:	26.375	60.1875
Length   12/2, alignment  9/ 9, fail:	25.8984	60.4219
Length   12/2, alignment  9/15, found:	27.1797	60.7422
Length   12/2, alignment  9/15, fail:	27.2734	61.0078
Length   12/2, alignment 15/ 0, found:	23.7891	61.4922
Length   12/2, alignment 15/ 0, fail:	38.4141	60.375
Length   12/2, alignment 15/ 3, found:	25.3125	60.8906
Length   12/2, alignment 15/ 3, fail:	28.2578	59.3594
Length   12/2, alignment 15/ 9, found:	27.8906	60.5625
Length   12/2, alignment 15/ 9, fail:	28.1641	59.3516
Length   12/2, alignment 15/15, found:	27.7891	61.1953
Length   12/2, alignment 15/15, fail:	29.3594	60.25
Length   14/2, alignment  0/ 0, found:	23.5781	59.4688
Length   14/2, alignment  0/ 0, fail:	21.7031	59.3516
Length   14/2, alignment  0/ 3, found:	26.5625	58.8984
Length   14/2, alignment  0/ 3, fail:	26.3672	59.7266
Length   14/2, alignment  0/ 9, found:	27.9219	58.875
Length   14/2, alignment  0/ 9, fail:	26.4453	59.625
Length   14/2, alignment  0/15, found:	27.8594	59.3359
Length   14/2, alignment  0/15, fail:	26.6094	58.9688
Length   14/2, alignment  3/ 0, found:	22.4922	60.5
Length   14/2, alignment  3/ 0, fail:	21.5859	61.2891
Length   14/2, alignment  3/ 3, found:	26.4062	60.2812
Length   14/2, alignment  3/ 3, fail:	25.9062	60.5469
Length   14/2, alignment  3/ 9, found:	26.8125	60.3203
Length   14/2, alignment  3/ 9, fail:	26.4375	60.5781
Length   14/2, alignment  3/15, found:	27.6406	60.7266
Length   14/2, alignment  3/15, fail:	25.9375	60.6719
Length   14/2, alignment  9/ 0, found:	23.9531	60.3672
Length   14/2, alignment  9/ 0, fail:	22.3828	61.0703
Length   14/2, alignment  9/ 3, found:	26.3516	60.4609
Length   14/2, alignment  9/ 3, fail:	25.9062	60.2812
Length   14/2, alignment  9/ 9, found:	25.6641	60.4609
Length   14/2, alignment  9/ 9, fail:	25.2031	60.3984
Length   14/2, alignment  9/15, found:	24.9531	60.6797
Length   14/2, alignment  9/15, fail:	26.5391	60.875
Length   14/2, alignment 15/ 0, found:	23.3438	61.6172
Length   14/2, alignment 15/ 0, fail:	24.9922	60.5703
Length   14/2, alignment 15/ 3, found:	27.75	60.6484
Length   14/2, alignment 15/ 3, fail:	27.75	59.3984
Length   14/2, alignment 15/ 9, found:	27.2344	60.5703
Length   14/2, alignment 15/ 9, fail:	27.5391	59.4766
Length   14/2, alignment 15/15, found:	27.4453	61.3047
Length   14/2, alignment 15/15, fail:	28.3359	60.0859
Length   16/2, alignment  0/ 0, found:	23.8906	59.7578
Length   16/2, alignment  0/ 0, fail:	24.0469	58.8359
Length   16/2, alignment  0/ 3, found:	26.8203	59.1094
Length   16/2, alignment  0/ 3, fail:	25.4922	58.8438
Length   16/2, alignment  0/ 9, found:	27.3984	59.0938
Length   16/2, alignment  0/ 9, fail:	26.5156	57.9453
Length   16/2, alignment  0/15, found:	26.5234	59.4922
Length   16/2, alignment  0/15, fail:	25.4375	59.1797
Length   16/2, alignment  3/ 0, found:	22.2422	60.375
Length   16/2, alignment  3/ 0, fail:	23.3594	61.3828
Length   16/2, alignment  3/ 3, found:	26.5156	60.3125
Length   16/2, alignment  3/ 3, fail:	25.8828	60.5234
Length   16/2, alignment  3/ 9, found:	26.2422	60.2188
Length   16/2, alignment  3/ 9, fail:	26.4922	60.3828
Length   16/2, alignment  3/15, found:	28.3047	60.7656
Length   16/2, alignment  3/15, fail:	27.1484	60.7578
Length   16/2, alignment  9/ 0, found:	23.2031	61.4688
Length   16/2, alignment  9/ 0, fail:	22.9297	61.2344
Length   16/2, alignment  9/ 3, found:	26.6172	60.6406
Length   16/2, alignment  9/ 3, fail:	26.4375	60.2969
Length   16/2, alignment  9/ 9, found:	26.6016	60.5391
Length   16/2, alignment  9/ 9, fail:	35.5625	60.3516
Length   16/2, alignment  9/15, found:	27.4531	61.5234
Length   16/2, alignment  9/15, fail:	26.0625	60.9844
Length   16/2, alignment 15/ 0, found:	24.7109	61.4219
Length   16/2, alignment 15/ 0, fail:	26.6562	60.5
Length   16/2, alignment 15/ 3, found:	29.5703	60.5625
Length   16/2, alignment 15/ 3, fail:	30.5156	59.5312
Length   16/2, alignment 15/ 9, found:	29.0391	60.6719
Length   16/2, alignment 15/ 9, fail:	31.0781	59.3672
Length   16/2, alignment 15/15, found:	30.3281	61.2188
Length   16/2, alignment 15/15, fail:	31.2969	60.3359
Length   18/2, alignment  0/ 0, found:	25.0312	59.8594
Length   18/2, alignment  0/ 0, fail:	25.1328	58.5781
Length   18/2, alignment  0/ 3, found:	27.6953	59.1953
Length   18/2, alignment  0/ 3, fail:	28.6328	58.4688
Length   18/2, alignment  0/ 9, found:	29.6953	59.2031
Length   18/2, alignment  0/ 9, fail:	28.2266	58.6641
Length   18/2, alignment  0/15, found:	26.5156	59.5078
Length   18/2, alignment  0/15, fail:	26.6719	58.5547
Length   18/2, alignment  3/ 0, found:	25.6484	60.5469
Length   18/2, alignment  3/ 0, fail:	23.5547	61.3047
Length   18/2, alignment  3/ 3, found:	27.5625	60.3906
Length   18/2, alignment  3/ 3, fail:	26.5781	60.8516
Length   18/2, alignment  3/ 9, found:	26.2578	60.2656
Length   18/2, alignment  3/ 9, fail:	25.8438	60.8672
Length   18/2, alignment  3/15, found:	26.2031	60.7266
Length   18/2, alignment  3/15, fail:	26.0938	61.0781
Length   18/2, alignment  9/ 0, found:	23.4141	61.125
Length   18/2, alignment  9/ 0, fail:	23.0469	61.5859
Length   18/2, alignment  9/ 3, found:	27.7891	60.6172
Length   18/2, alignment  9/ 3, fail:	28.1016	60.4609
Length   18/2, alignment  9/ 9, found:	27.6875	60.6406
Length   18/2, alignment  9/ 9, fail:	27.4609	60.4297
Length   18/2, alignment  9/15, found:	27.8672	61.2422
Length   18/2, alignment  9/15, fail:	27.9375	61.0391
Length   18/2, alignment 15/ 0, found:	24.6641	61.5859
Length   18/2, alignment 15/ 0, fail:	26.5547	60.8438
Length   18/2, alignment 15/ 3, found:	29.5703	60.8906
