                       	__strcpy_chk	normal_strcpy	simple_strcpy_chk
Length 1024, alignment  6/ 7:	26.7645	22.218	584.334
Length 1024, alignment  7/ 7:	26.6725	18.8029	548.382
Length 1024, alignment  7/ 7:	26.1859	18.7975	616.08
Length    0, alignment  0/ 0:	8.83514	4.20905	2.91156
Length    0, alignment  0/ 0:	7.27435	3.89154	2.42621
Length    0, alignment  0/ 0:	7.479	3.39655	2.91022
Length    0, alignment  0/ 0:	8.2417	3.91168	3.39478
Length    1, alignment  0/ 0:	7.30566	4.31952	3.88165
Length    1, alignment  0/ 0:	7.42767	4.64661	4.21466
Length    1, alignment  0/ 1:	7.77942	4.57452	4.00146
Length    1, alignment  1/ 0:	8.18903	5.14362	4.00024
Length    2, alignment  0/ 0:	8.27661	4.57562	6.02777
Length    2, alignment  0/ 0:	8.00012	4.57336	6.01947
Length    2, alignment  0/ 2:	8.5708	4.77271	6.01794
Length    2, alignment  2/ 0:	8.00055	4.57819	6.0177
Length    3, alignment  0/ 0:	9.71539	4.57965	7.14447
Length    3, alignment  0/ 0:	9.26624	4.57831	7.42889
Length    3, alignment  0/ 3:	8.57092	5.14264	7.14203
Length    3, alignment  3/ 0:	9.82953	4.5766	7.14221
Length    4, alignment  0/ 0:	9.7132	4.57458	9.71411
Length    4, alignment  0/ 0:	9.14215	4.16772	9.71545
Length    4, alignment  0/ 4:	8.57062	4.57227	9.71942
Length    4, alignment  4/ 0:	9.14203	4.57166	9.87427
Length    5, alignment  0/ 0:	8.57062	4.58875	7.36584
Length    5, alignment  0/ 0:	8.5708	4.00073	7.63586
Length    5, alignment  0/ 5:	9.71338	4.77045	7.16626
Length    5, alignment  5/ 0:	9.71362	4.57147	7.1665
Length    6, alignment  0/ 0:	9.2865	4.00067	8.02972
Length    6, alignment  0/ 0:	9.14307	4.57178	8.0249
Length    6, alignment  0/ 6:	9.29144	4.00195	8.31549
Length    6, alignment  6/ 0:	9.14288	4.76837	8.31122
Length    7, alignment  0/ 0:	9.14307	4.79468	8.88397
Length    7, alignment  0/ 0:	8.00354	4.76898	8.32172
Length    7, alignment  0/ 7:	8.57092	4.57153	8.74384
Length    7, alignment  7/ 0:	9.14185	4.57184	8.32001
Length    8, alignment  0/ 0:	8.57117	4.57373	10.9213
Length    8, alignment  0/ 0:	8.57202	4.57269	10.8923
Length    8, alignment  0/ 0:	8.57166	4.57111	10.4714
Length    8, alignment  0/ 0:	8.00439	4.57239	10.8903
Length    9, alignment  0/ 0:	9.14233	4.7691	11.6027
Length    9, alignment  0/ 0:	8.57147	3.43567	11.456
Length    9, alignment  0/ 1:	8.5708	4.77106	11.6201
Length    9, alignment  1/ 0:	8.57117	4.76874	11.4548
Length   10, alignment  0/ 0:	8.57086	4.57172	12.0648
Length   10, alignment  0/ 0:	8.00446	4.16492	12.0352
Length   10, alignment  0/ 2:	9.15002	3.86414	11.3729
Length   10, alignment  2/ 0:	7.91333	3.39624	10.2069
Length   11, alignment  0/ 0:	7.75824	3.88007	12.2594
Length   11, alignment  0/ 0:	7.27271	3.39618	12.1212
Length   11, alignment  0/ 3:	7.75793	3.87988	12.1208
Length   11, alignment  3/ 0:	7.90692	3.87988	12.1218
Length   12, alignment  0/ 0:	7.27325	3.87958	13.5548
Length   12, alignment  0/ 0:	7.4801	3.39526	13.09
Length   12, alignment  0/ 4:	7.27295	3.3941	13.5535
Length   12, alignment  4/ 0:	7.54828	3.88007	13.5543
Length   13, alignment  0/ 0:	7.75726	3.39594	14.65
Length   13, alignment  0/ 0:	7.74152	4.30786	14.4304
Length   13, alignment  0/ 5:	8.2572	4.13068	14.5798
Length   13, alignment  5/ 0:	7.74249	3.47205	14.0602
Length   14, alignment  0/ 0:	7.7569	3.87976	10.6091
Length   14, alignment  0/ 0:	7.27283	3.39618	10.6976
Length   14, alignment  0/ 6:	7.75702	3.87958	10.6971
Length   14, alignment  6/ 0:	7.40643	3.39642	10.6982
Length   15, alignment  0/ 0:	7.75861	3.87897	10.6993
Length   15, alignment  0/ 0:	8.19244	3.88013	11.1838
Length   15, alignment  0/ 7:	7.7572	4.04645	11.1837
Length   15, alignment  7/ 0:	7.9386	3.56158	10.6292
Length   16, alignment  0/ 0:	7.35742	3.87982	11.2792
Length   16, alignment  7/ 2:	8.25739	3.28046	12.2026
Length   32, alignment  0/ 0:	10.0896	6.28741	23.0101
Length   32, alignment  6/ 4:	10.2847	6.28638	22.8549
Length   64, alignment  0/ 0:	9.90631	5.72638	41.4293
Length   64, alignment  5/ 6:	9.71509	6.28864	42.2593
Length  128, alignment  0/ 0:	12.1633	7.70959	80.9294
Length  128, alignment  4/ 0:	11.8545	7.70862	80.6777
Length  256, alignment  0/ 0:	14.8739	11.0826	191.577
Length  256, alignment  3/ 2:	15.7224	9.71832	169.062
Length  512, alignment  0/ 0:	15.7314	12.394	309.87
Length  512, alignment  2/ 4:	20.1187	15.41	349.129
Length 1024, alignment  0/ 0:	26.243	20.7434	536.657
Length 1024, alignment  1/ 6:	27.0191	24.2585	607.832
Length   16, alignment  1/ 2:	9.14337	3.43665	12.0814
Length   16, alignment  2/ 1:	8.24341	3.87988	12.1167
Length   16, alignment  1/ 1:	9.18011	4.16364	13.8022
Length   16, alignment  1/ 1:	10.0732	4.15088	13.9134
Length   32, alignment  2/ 4:	10.0739	4.74341	23.3938
Length   32, alignment  4/ 2:	9.48682	5.33691	23.7697
Length   32, alignment  2/ 2:	10.243	5.33496	23.7018
Length   32, alignment  2/ 2:	10.0752	4.74255	23.85
Length   64, alignment  3/ 6:	10.6736	6.52362	42.4987
Length   64, alignment  6/ 3:	10.6738	7.10089	41.58
Length   64, alignment  3/ 3:	10.1575	5.72162	41.4146
Length   64, alignment  3/ 3:	10.2861	5.71985	41.4261
Length  128, alignment  4/ 0:	11.4308	6.86432	71.1459
Length  128, alignment  0/ 4:	9.69757	6.30469	66.2711
Length  128, alignment  4/ 4:	9.70172	5.6864	70.936
Length  128, alignment  4/ 4:	10.1108	5.16687	70.6665
Length  256, alignment  5/ 2:	14.5289	9.02527	184.259
Length  256, alignment  2/ 5:	16.1154	10.8376	189.029
Length  256, alignment  5/ 5:	16.1028	9.78229	172.393
Length  256, alignment  5/ 5:	14.8405	9.14667	185.532
Length  512, alignment  6/ 4:	19.9773	15.5512	328.349
Length  512, alignment  4/ 6:	17.4055	12.9996	321.78
Length  512, alignment  6/ 6:	18.3732	13.3964	314.658
Length  512, alignment  6/ 6:	15.5991	11.4617	321.19
Length 1024, alignment  7/ 6:	32.4179	29.8574	616.075
Length 1024, alignment  6/ 7:	31.0906	28.7151	652.508
Length 1024, alignment  7/ 7:	28.0248	21.2465	608.953
Length 1024, alignment  7/ 7:	27.8382	21.8833	607.742
Length    0, alignment  0/ 0:	9.52008	3.86584	3.86334
Length    0, alignment  0/ 0:	9.37976	4.41589	3.31342
Length    0, alignment  0/ 0:	9.37976	3.90118	3.3125
Length    1, alignment  0/ 0:	8.43604	4.97656	4.41479
Length    1, alignment  0/ 1:	8.2757	4.46918	3.8653
Length    1, alignment  1/ 0:	8.27612	4.41559	3.31793
Length    2, alignment  0/ 0:	7.89331	5.06433	6.28259
Length    2, alignment  0/ 2:	8.00104	4.57281	6.57086
Length    2, alignment  2/ 0:	8.57056	4.5755	6.73407
Length    3, alignment  0/ 0:	8.57086	4.5744	6.57324
Length    3, alignment  0/ 3:	9.71484	4.57471	7.57513
Length    3, alignment  3/ 0:	9.71332	4.57263	7.42828
Length    4, alignment  0/ 0:	9.14227	4.57446	9.71436
Length    4, alignment  0/ 4:	8.71771	4.00122	9.71417
Length    4, alignment  4/ 0:	9.14325	4.57263	9.15601
Length    5, alignment  0/ 0:	9.31421	4.00195	10.2849
Length    5, alignment  0/ 5:	9.14136	4.00079	7.2265
Length    5, alignment  5/ 0:	9.29718	4.13342	7.4646
Length    6, alignment  0/ 0:	10.0734	4.15308	8.58972
Length    6, alignment  0/ 6:	10.0738	4.47137	8.65125
Length    6, alignment  6/ 0:	10.0734	4.74249	8.61835
Length    7, alignment  0/ 0:	8.88843	4.14923	9.84613
Length    7, alignment  0/ 7:	9.47528	5.62952	9.19281
Length    7, alignment  7/ 0:	8.88959	4.94678	9.39899
Length    8, alignment  0/ 0:	8.88873	4.94513	10.6682
Length    8, alignment  0/ 0:	9.48163	4.15186	10.9897
Length    8, alignment  0/ 0:	8.888	4.15002	11.2982
Length    9, alignment  0/ 0:	8.88837	4.14923	15.582
