                    	simple_strrchr	__strrchr_avx2	__strrchr_avx2_rtm	__strrchr_evex	__strrchr_sse2
Length   25, alignment in bytes  0:	16.6087	3.86316	4.42017	3.31134	5.99976
Length   26, alignment in bytes  0:	17.3859	3.86334	4.41895	3.31104	5.99451
Length   26, alignment in bytes  0:	17.1606	3.31195	4.61908	2.76251	5.99109
Length   27, alignment in bytes  0:	17.7172	3.86279	4.41565	3.31128	6.00214
Length   27, alignment in bytes  0:	17.9012	3.86353	4.41949	3.3114	5.99725
Length   28, alignment in bytes  0:	18.5012	3.86359	4.42035	3.3111	6.00317
Length   28, alignment in bytes  0:	18.3177	3.31073	4.60815	3.31171	5.99933
Length   29, alignment in bytes  0:	18.8377	3.86285	4.41467	3.31201	6.00342
Length   29, alignment in bytes  0:	18.0372	3.61438	4.13422	3.09772	5.6167
Length   30, alignment in bytes  0:	18.619	3.86255	4.41968	2.76306	6.00262
Length   30, alignment in bytes  0:	18.2487	3.61365	4.13416	3.27576	5.61853
Length   31, alignment in bytes  0:	18.6475	3.61407	4.13434	2.58441	5.61652
Length   31, alignment in bytes  0:	18.8267	3.61444	4.13379	3.09735	5.61383
Length   32, alignment in bytes  0:	19.0981	4.30328	5.16394	3.39764	5.61444
Length   32, alignment in bytes  0:	19.0967	4.13129	4.13623	3.396	5.76666
Length 2048, alignment in bytes  0:	19.0976	5.68237	6.71429	5.16571	5.80896
Length 2048, alignment in bytes  1:	19.0978	4.65808	6.19977	5.16345	5.62006
Length 2048, alignment in bytes  0:	38.2168	5.68091	6.16498	5.17078	11.2684
Length 2048, alignment in bytes  2:	39.9064	5.52386	8.2757	5.52344	11.9945
Length 2048, alignment in bytes  0:	73.7887	6.90906	7.34711	6.7901	15.8665
Length 2048, alignment in bytes  3:	77.944	7.74725	8.57275	7.0329	16.2327
Length 2048, alignment in bytes  0:	173.52	10.8632	10.9255	11.0326	24.0934
Length 2048, alignment in bytes  4:	171.12	10.8634	11.088	10.8591	23.9759
Length 2048, alignment in bytes  0:	322.568	20.0023	20.0011	20.1055	38.9626
Length 2048, alignment in bytes  5:	270.639	19.4714	19.7541	19.998	38.3976
Length 2048, alignment in bytes  0:	612.155	38.4072	38.2847	38.3898	69.86
Length 2048, alignment in bytes  6:	595.176	33.1558	34.5792	34.7777	65.0742
Length 2048, alignment in bytes  0:	983.811	61.528	58.352	64.4431	136.838
Length 2048, alignment in bytes  7:	1189.18	77.7631	76.1069	74.9802	136.579
Length  256, alignment in bytes  1:	41.9031	5.71918	8.01038	5.72412	12.6086
Length  256, alignment in bytes  1:	41.7172	6.44513	8.57361	5.23376	12.5405
Length  256, alignment in bytes  2:	41.8723	6.28723	8.00769	5.2243	12.6614
Length  256, alignment in bytes  2:	41.8443	6.28662	6.87732	5.22882	12.5178
Length  256, alignment in bytes  3:	39.712	5.71704	6.87701	5.22668	12.5873
Length  256, alignment in bytes  3:	42.1437	6.42365	6.87885	5.22668	12.4685
Length  256, alignment in bytes  4:	42.2946	5.28131	6.29712	5.22571	12.5417
Length  256, alignment in bytes  4:	42.1432	5.73798	6.86377	5.22858	12.5256
Length  256, alignment in bytes  5:	42.2722	5.71582	6.29755	5.2276	12.6271
Length  256, alignment in bytes  5:	42.1425	5.42657	9.42871	5.22723	12.4238
Length  256, alignment in bytes  6:	41.8792	5.716	9.42847	5.22711	12.6421
Length  256, alignment in bytes  6:	42.2537	5.71564	7.7218	5.22632	12.4693
Length  256, alignment in bytes  7:	39.6626	5.72052	7.7215	5.22595	12.5043
Length  256, alignment in bytes  7:	42.2637	5.72137	6.87726	5.22772	12.5172
Length    1, alignment in bytes  0:	2.85901	4	4.57635	2.8642	2.97162
Length    1, alignment in bytes  0:	2.85822	4.0014	4.57733	3.43127	2.8584
Length    2, alignment in bytes  0:	2.28876	4.00079	4.57367	2.86279	2.85828
Length    2, alignment in bytes  0:	2.28796	4	4.57501	3.68036	2.9649
Length    3, alignment in bytes  0:	2.96686	4.14923	4.74591	2.96844	2.96417
Length    3, alignment in bytes  0:	2.96484	3.55713	4.742	3.55939	2.96429
Length    4, alignment in bytes  0:	5.33575	3.85114	4.74683	2.96716	2.96484
Length    4, alignment in bytes  0:	5.03839	4.14917	4.74689	2.96698	2.96423
Length    5, alignment in bytes  0:	6.22388	4.14886	4.74396	3.69794	2.96448
Length    5, alignment in bytes  0:	6.22272	4.14984	4.69031	2.86169	2.85901
Length    6, alignment in bytes  0:	8.57422	4.00153	4.5719	2.86194	2.97028
Length    6, alignment in bytes  0:	9.14294	4.00037	4.5769	2.86206	2.8584
Length    7, alignment in bytes  0:	6.30182	3.99994	4.57715	2.86108	2.8584
Length    7, alignment in bytes  0:	7.40765	3.99976	4.57672	2.86121	2.85883
Length    8, alignment in bytes  0:	7.15851	4.00037	4.57147	3.42981	2.85858
Length    8, alignment in bytes  0:	7.14502	4.12115	4.57837	2.86157	2.85846
Length    9, alignment in bytes  0:	7.71716	4.00146	4.57239	3.42969	2.85852
Length    9, alignment in bytes  0:	7.71564	4.00049	4.70563	2.86084	2.85846
Length   10, alignment in bytes  0:	9.71649	4.00037	4.57159	2.86115	2.85785
Length   10, alignment in bytes  0:	9.71393	4.00037	4.72144	2.86078	2.85852
Length   11, alignment in bytes  0:	10.2928	4.00061	4.57257	3.4295	2.85846
Length   11, alignment in bytes  0:	9.60083	3.61353	4.30444	3.09753	2.58173
Length   12, alignment in bytes  0:	9.70782	3.11212	3.55554	2.66766	2.22351
Length   12, alignment in bytes  0:	8.44458	3.11139	3.5556	2.44458	2.2229
Length   13, alignment in bytes  0:	8.89026	3.11139	3.55963	2.66748	2.22284
Length   13, alignment in bytes  0:	8.88989	3.36237	3.88019	2.4278	2.42572
Length   14, alignment in bytes  0:	11.8416	3.39429	3.88257	2.42737	2.42609
Length   14, alignment in bytes  0:	11.6542	3.39398	3.87891	2.55151	2.58197
Length   15, alignment in bytes  0:	14.08	3.61346	4.13422	3.09778	2.58197
Length   15, alignment in bytes  0:	13.9353	3.09814	4.12994	2.58466	2.76343
