                    	generic_wcsnlen	wcschr_wcsnlen	__wcsnlen_avx2	__wcsnlen_avx2_rtm	__wcsnlen_evex	__wcsnlen_sse4_1	__wcsnlen_sse2
Length    7, alignment  0:	4.64517	4.79845	2.54515	3.89938	2.6255	5.2961	4.64574
Length    1, alignment  1:	4.6886	4.64525	2.58083	4.14288	2.4245	4.97523	4.39894
Length    2, alignment  2:	4.36345	4.36345	2.46751	3.49135	2.42436	5.19772	4.70448
Length    3, alignment  3:	4.64546	4.68814	2.58066	3.47966	2.42441	5.01286	4.36371
Length    4, alignment  4:	4.36359	4.4167	2.42464	3.39395	2.45651	5.33511	4.6452
Length    5, alignment  5:	5.00462	4.96545	2.7589	4.45752	2.75894	5.66174	5.00374
Length    6, alignment  6:	4.96571	5.01137	2.759	4.41394	2.75883	5.81654	4.96547
Length    7, alignment  7:	5.01271	4.96567	2.75879	4.45872	2.7589	5.66124	5.12968
Length    4, alignment  0:	5.14275	5.1904	2.85762	4.57141	2.91231	5.96745	5.17499
Length    4, alignment  1:	5.14273	5.1429	2.8949	4.57124	2.85721	5.9021	5.14275
Length    8, alignment  0:	6.90361	6.85751	4.03596	5.27364	4.01289	5.70857	6.62119
Length    8, alignment  1:	6.6642	6.62119	3.66469	4.96544	3.34029	5.70552	6.62115
Length   16, alignment  0:	6.78128	6.65208	4.19484	5.51764	3.85785	7.93297	6.61697
Length   16, alignment  1:	6.33868	6.23744	3.9249	4.81285	3.76057	7.97691	6.19388
Length   32, alignment  0:	6.2386	6.19409	4.93161	5.53093	4.70145	8.8609	6.86012
Length   32, alignment  1:	6.19398	6.23228	4.93143	6.24142	5.16351	10.0621	7.70389
Length   64, alignment  0:	11.2937	11.4216	8.88672	9.54276	9.33344	12.7544	12.5275
Length   64, alignment  1:	10.9578	10.8566	8.56587	9.77658	9.00284	12.4228	12.0336
Length  128, alignment  0:	14.8851	12.7934	11.0787	12.1455	10.7395	17.8762	14.8834
Length  128, alignment  1:	14.8438	14.8816	11.0793	12.1894	10.7527	17.9043	15.9428
Length  256, alignment  0:	19.7435	19.8856	17.9024	18.3823	16.3823	30.6938	19.7306
Length  256, alignment  1:	18.6283	15.5401	14.8561	14.8767	12.8276	24.9638	16.5882
Length  512, alignment  0:	29.0451	27.2199	24.9932	25.4784	22.0091	43.2168	27.3109
Length  512, alignment  1:	27.4129	29.0099	25.7154	28.2092	26.0975	51.6416	33.2853
Length 1024, alignment  0:	60.9624	61.9541	54.9605	56.5013	50.8219	104.209	62.9546
Length 1024, alignment  1:	61.8465	63.9244	48.8732	43.3595	36.9447	75.2694	49.8896
