                            	generic_strncat	__strncat_avx2	__strncat_avx2_rtm	__strncat_evex	__strncat_ssse3	__strncat_sse2_unaligned	__strncat_sse2
Length  256/ 256, alignment  0/ 0, N  512:	25.4271	29.5691	30.1573	28.0477	28.73	30.3698	25.1871
Length  256/ 256, alignment  3/ 2, N  512:	27.9368	28.0022	27.6648	26.9371	31.6967	26.9758	23.9465
Length  256/  64, alignment  0/ 0, N  512:	20.3532	30.1149	30.0705	29.4537	24.53	30.0533	21.3262
Length  256/  64, alignment  3/ 2, N  512:	24.6834	29.7259	29.5943	29.6622	28.5788	32.5309	26.2625
Length  512/ 512, alignment  0/ 0, N  512:	28.9256	24.7266	25.4212	25.097	45.895	31.5549	28.8549
Length  512/ 512, alignment  2/ 4, N  512:	33.4302	34.7859	37.6086	38.4613	61.1492	44.22	39.2928
Length  512/ 128, alignment  0/ 0, N  512:	30.5472	34.3309	34.0609	34.9833	40.4899	38.1442	28.259
Length  512/ 128, alignment  2/ 4, N  512:	33.3866	31.3583	29.4789	30.7747	35.3104	31.9013	27.9133
Length 1024/1024, alignment  0/ 0, N  512:	28.9755	25.4191	26.3918	26.9286	56.6708	35.1513	28.6184
Length 1024/1024, alignment  1/ 6, N  512:	30.5224	33.6326	34.669	29.7598	59.3021	35.9105	30.8229
Length 1024/ 256, alignment  0/ 0, N  512:	24.633	24.9795	28.754	32.8714	42.3313	35.7354	31.7094
Length 1024/ 256, alignment  1/ 6, N  512:	37.702	36.3904	36.2933	38.187	50.2755	39.8078	37.7393
Length   16/   1, alignment  1/ 2, N  512:	19.7279	17.2071	17.0114	17.0665	9.06946	13.9516	16.5426
Length   16/   1, alignment  2/ 1, N  512:	16.5286	14.3633	14.2621	14.6921	8.17126	13.8254	16.5541
Length   16/  10, alignment  1/ 1, N  512:	16.6054	14.2449	14.2572	14.6913	10.1425	13.8344	16.475
Length   32/   1, alignment  2/ 4, N  512:	16.6487	15.1443	15.1213	15.757	11.6251	21.7902	16.6174
Length   32/   1, alignment  4/ 2, N  512:	16.5291	15.1273	15.1236	15.7648	10.718	22.2809	22.7135
Length   32/  10, alignment  2/ 2, N  512:	19.1408	17.7275	17.5756	18.0939	17.1226	27.0511	20.1627
Length   64/   1, alignment  3/ 6, N  512:	22.7469	26.3669	27.0772	27.9106	16.0736	27.3994	23.2281
Length   64/   1, alignment  6/ 3, N  512:	24.6332	28.2122	28.3558	29.4234	16.0672	28.2755	25.3409
Length   64/  10, alignment  3/ 3, N  512:	25.1784	27.3526	28.208	28.7147	20.3358	28.2108	24.2124
Length  128/   1, alignment  4/ 0, N  512:	25.8168	32.4371	32.1762	33.4122	21.7115	33.4794	25.977
Length  128/   1, alignment  0/ 4, N  512:	24.1168	30.2284	30.5355	31.698	20.5204	32.2558	24.2912
Length  128/  10, alignment  4/ 4, N  512:	25.1911	30.5245	30.4925	31.5709	25.3224	33.5468	25.2375
Length  256/   1, alignment  5/ 2, N  512:	28.8444	29.1812	29.2683	29.7342	22.8216	31.5925	24.7322
Length  256/   1, alignment  2/ 5, N  512:	24.5408	29.3502	29.3813	29.6094	23.1057	36.1791	29.111
Length  256/  10, alignment  5/ 5, N  512:	29.7844	35.6407	35.7124	35.8309	31.6534	37.8712	29.3211
Length  512/   1, alignment  6/ 4, N  512:	38.0765	38.884	38.8009	39.3829	38.0435	43.5796	33.3981
Length  512/   1, alignment  4/ 6, N  512:	33.0279	33.3909	33.5876	34.4464	36.7354	43.1767	35.6202
Length  512/  10, alignment  6/ 6, N  512:	35.2933	35.6854	35.8129	35.9525	39.7286	44.006	35.6823
Length 1024/   1, alignment  7/ 6, N  512:	35.4075	33.1245	33.2889	33.7073	28.5281	38.8599	35.6768
Length 1024/   1, alignment  6/ 7, N  512:	35.4733	34.98	34.1162	38.6121	39.4434	46.0611	36.8032
Length 1024/  10, alignment  7/ 7, N  512:	36.7521	36.993	36.967	38.0942	40.0351	44.7641	36.9106
Length    2/   2, alignment  0/ 2, N 2048:	20.0061	17.8019	17.7025	18.2633	5.7467	15.5709	17.9663
Length    4/   4, alignment  0/ 0, N 2048:	17.1387	17.5427	17.549	18.1436	5.39917	14.5898	17.972
Length    4/   4, alignment  4/ 0, N 2048:	17.598	18.6371	18.738	19.122	5.38556	14.6408	18.1139
Length    8/   8, alignment  0/ 0, N 2048:	17.0009	15.5552	15.6823	16.038	6.83813	14.6285	17.5998
Length    8/   8, alignment  0/ 0, N 2048:	17.0003	15.7264	16.0292	16.1426	7.19788	15.665	17.4852
Length   16/  16, alignment  0/ 0, N 2048:	17.0061	15.6881	15.5585	16.0295	14.7937	15.2137	17.485
Length   16/  16, alignment  7/ 2, N 2048:	18.1353	15.5404	15.5573	16.186	15.5271	17.6253	22.1175
Length   16/   4, alignment  0/ 0, N 2048:	21.8319	19.159	19.0181	19.5872	11.2702	18.4446	21.9703
Length   16/   4, alignment  7/ 2, N 2048:	22.18	18.9943	19.1723	19.5886	13.1597	18.6147	22.0716
Length   32/  32, alignment  0/ 0, N 2048:	21.5849	20.1838	20.2043	20.996	19.5572	28.1734	20.7239
Length   32/  32, alignment  6/ 4, N 2048:	24.7585	22.8898	22.4147	22.7225	20.8838	25.7274	23.9186
Length   32/   8, alignment  0/ 0, N 2048:	20.4594	18.8217	18.9059	19.3329	15.0985	25.9475	20.5718
Length   32/   8, alignment  6/ 4, N 2048:	20.4732	17.5979	17.7261	18.0943	16.1017	24.3813	19.1398
Length   64/  64, alignment  0/ 0, N 2048:	19.2878	25.7982	26.1738	26.3229	18.1625	24.965	19.2496
Length   64/  64, alignment  5/ 6, N 2048:	22.33	26.3941	25.0975	26.1055	22.7913	24.1445	20.9935
Length   64/  16, alignment  0/ 0, N 2048:	19.8562	22.7613	22.8156	24.2028	16.1677	22.2794	18.6994
Length   64/  16, alignment  5/ 6, N 2048:	19.571	22.9224	22.7349	25.5508	23.7426	26.3295	21.7212
Length  128/ 128, alignment  0/ 0, N 2048:	19.4669	26.5805	26.8947	27.5977	23.3859	28.5402	19.3818
Length  128/ 128, alignment  4/ 0, N 2048:	19.3518	30.0148	29.8253	30.6708	27.4837	28.1584	18.402
Length  128/  32, alignment  0/ 0, N 2048:	20.9299	26.9762	29.9907	31.2657	22.717	32.2689	23.8293
Length  128/  32, alignment  4/ 0, N 2048:	24.0727	29.5298	29.3562	31.0813	26.1078	32.5993	23.8923
Length  256/ 256, alignment  0/ 0, N 2048:	27.1749	31.5801	32.1076	31.4409	32.0423	30.342	23.912
Length  256/ 256, alignment  3/ 2, N 2048:	26.0811	27.1307	27.5161	27.2948	33.4543	30.9161	26.9043
Length  256/  64, alignment  0/ 0, N 2048:	21.8196	32.1917	31.9662	31.347	26.3288	31.7455	22.8521
Length  256/  64, alignment  3/ 2, N 2048:	26.287	33.7786	33.6432	33.9335	30.9215	35.8359	29.0833
Length  512/ 512, alignment  0/ 0, N 2048:	41.7418	36.2645	36.4631	36.764	52.4307	43.8422	42.791
Length  512/ 512, alignment  2/ 4, N 2048:	40.5096	37.664	37.8878	38.7422	59.2876	45.6995	40.2304
Length  512/ 128, alignment  0/ 0, N 2048:	30.0757	37.412	37.6094	35.4153	36.9533	40.9088	29.2413
Length  512/ 128, alignment  2/ 4, N 2048:	33.5345	38.1011	38.2632	39.2184	44.8873	45.8668	32.8956
Length 1024/1024, alignment  0/ 0, N 2048:	47.688	45.9028	46.2379	43.8897	87.8227	59.6359	48.1514
Length 1024/1024, alignment  1/ 6, N 2048:	57.4456	52.2509	52.1211	52.246	96.3015	56.6442	57.9682
Length 1024/ 256, alignment  0/ 0, N 2048:	42.1013	43.0791	42.729	41.079	60.8594	53.7114	41.9788
Length 1024/ 256, alignment  1/ 6, N 2048:	51.1028	51.8162	51.0779	50.7661	68.3861	57.9813	50.4714
Length   16/   1, alignment  1/ 2, N 2048:	21.0944	17.6849	17.7054	18.3822	9.99622	17.1747	20.705
Length   16/   1, alignment  2/ 1, N 2048:	20.5182	17.8313	17.6996	18.2372	10.5397	17.4828	20.5577
Length   16/  10, alignment  1/ 1, N 2048:	21.1145	17.6876	17.7059	18.4464	12.1424	16.2366	19.3077
Length   32/   1, alignment  2/ 4, N 2048:	20.3165	18.9935	18.7742	19.3425	15.0437	28.0169	21.3436
Length   32/   1, alignment  4/ 2, N 2048:	21.2513	19.624	18.921	19.4311	13.7117	26.8729	25.183
Length   32/  10, alignment  2/ 2, N 2048:	21.1853	19.4989	19.6229	19.7064	17.2877	27.0511	20.5571
Length   64/   1, alignment  3/ 6, N 2048:	24.3118	26.4131	27.0621	27.9156	16.6222	27.1143	21.7103
Length   64/   1, alignment  6/ 3, N 2048:	23.3487	28.1992	28.3312	29.2937	16.0268	28.2792	23.2438
Length   64/  10, alignment  3/ 3, N 2048:	21.3661	23.1804	23.784	24.5308	16.4882	23.942	21.0999
Length  128/   1, alignment  4/ 0, N 2048:	26.3317	34.5295	34.504	35.8194	22.6248	34.8427	26.7878
Length  128/   1, alignment  0/ 4, N 2048:	25.1091	31.1922	31.4294	31.7944	20.6454	32.3882	24.1366
Length  128/  10, alignment  4/ 4, N 2048:	25.3317	30.3702	29.8189	29.1683	23.3542	29.918	21.8835
Length  256/   1, alignment  5/ 2, N 2048:	26.2214	31.0632	31.14	31.7293	23.1693	35.9473	28.2019
Length  256/   1, alignment  2/ 5, N 2048:	27.59	33.5665	33.2495	33.8628	26.0238	37.1879	27.2302
Length  256/  10, alignment  5/ 5, N 2048:	27.7502	33.1911	33.2507	33.4245	28.3266	35.3381	27.1383
Length  512/   1, alignment  6/ 4, N 2048:	31.9424	34.5627	34.5376	34.661	32.0297	42.1009	31.9512
Length  512/   1, alignment  4/ 6, N 2048:	30.9599	34.2516	37.8899	37.2358	36.2793	45.7704	34.8878
Length  512/  10, alignment  6/ 6, N 2048:	34.092	38.1455	38.1208	37.4072	39.5403	45.4829	34.598
Length 1024/   1, alignment  7/ 6, N 2048:	42.0807	33.7726	33.3665	34.1321	39.7217	35.6312	35.8019
Length 1024/   1, alignment  6/ 7, N 2048:	38.956	43.2721	43.3348	44.9724	48.2737	50.1294	39.6826
Length 1024/  10, alignment  7/ 7, N 2048:	39.2938	45.7837	46.3225	47.7372	52.8029	54.8272	40.1796
