                            	generic_strncat	__strncat_avx2	__strncat_avx2_rtm	__strncat_evex	__strncat_ssse3	__strncat_sse2_unaligned	__strncat_sse2
Length    2/   2, alignment  0/ 2, N    8:	15.5831	14.2671	14.4158	14.7066	4.93433	13.3732	16.6392
Length    4/   4, alignment  0/ 0, N    8:	15.5837	16.185	16.2706	16.6321	5.78235	13.3782	16.593
Length    4/   4, alignment  4/ 0, N    8:	16.0297	17.2817	18.7441	19.1313	6.30316	14.7623	17.97
Length    8/   8, alignment  0/ 0, N    8:	17.001	16.1767	16.0224	16.5137	7.89716	14.5868	17.4864
Length    8/   8, alignment  0/ 0, N    8:	17.1345	16.0288	16.0192	16.6719	7.2749	14.5936	17.9746
Length   16/  16, alignment  0/ 0, N    8:	18.2706	17.064	17.0534	17.6971	14.6807	14.6357	17.6546
Length   16/  16, alignment  7/ 2, N    8:	17.6384	17.0605	17.2011	17.5751	15.5063	15.919	18.6141
Length   16/   4, alignment  0/ 0, N    8:	18.7913	17.0652	17.0531	17.869	7.18823	16.5806	20.602
Length   16/   4, alignment  7/ 2, N    8:	19.9814	18.2328	18.3847	18.7856	13.5746	17.366	21.2802
Length   32/  32, alignment  0/ 0, N    8:	20.7325	18.9136	18.8898	19.9313	15.1414	17.144	20.758
Length   32/  32, alignment  6/ 4, N    8:	20.6108	19.144	18.8931	19.7516	17.1348	17.83	22.2021
Length   32/   8, alignment  0/ 0, N    8:	20.7795	19.9402	20.1333	20.3289	9.59784	17.8286	21.3737
Length   32/   8, alignment  6/ 4, N    8:	21.5016	19.9408	20.111	20.3268	8.89111	17.9592	21.973
Length   64/  64, alignment  0/ 0, N    8:	21.3548	19.7656	19.6838	20.447	16.2878	17.9498	21.4647
Length   64/  64, alignment  5/ 6, N    8:	21.5301	19.8393	19.729	20.0864	18.2426	17.1701	20.6844
Length   64/  16, alignment  0/ 0, N    8:	20.0359	19.2365	19.3784	19.6008	17.2587	17.2424	20.6089
Length   64/  16, alignment  5/ 6, N    8:	20.132	19.2233	19.3689	19.5984	18.0176	17.5002	20.6086
Length  128/ 128, alignment  0/ 0, N    8:	20.6721	19.3324	18.9016	19.8691	16.2777	17.926	21.452
Length  128/ 128, alignment  4/ 0, N    8:	21.3345	19.9113	19.6034	20.7997	16.4286	17.92	21.4464
Length  128/  32, alignment  0/ 0, N    8:	21.5322	19.7198	19.5898	20.5426	15.8305	17.7779	21.5316
Length  128/  32, alignment  4/ 0, N    8:	21.4808	19.702	19.7246	20.4551	15.6989	17.9641	22.0547
Length  256/ 256, alignment  0/ 0, N    8:	23.9483	19.784	19.7725	20.4453	21.3201	17.9518	23.8242
Length  256/ 256, alignment  3/ 2, N    8:	23.9389	20.4769	19.8022	20.5236	21.9854	18.3409	23.8229
Length  256/  64, alignment  0/ 0, N    8:	21.5267	19.6888	19.8753	20.7593	14.8496	15.6186	18.7535
Length  256/  64, alignment  3/ 2, N    8:	18.5435	16.8011	16.6371	17.0343	14.4451	15.1212	17.6155
Length  512/ 512, alignment  0/ 0, N    8:	20.1639	16.0027	16.0217	16.9178	25.2188	17.6912	19.9472
Length  512/ 512, alignment  2/ 4, N    8:	19.9546	15.9998	16.0652	16.7422	26.0897	17.5159	20.1235
Length  512/ 128, alignment  0/ 0, N    8:	17.4557	15.446	15.9197	16.8837	13.4532	14.7873	17.4552
Length  512/ 128, alignment  2/ 4, N    8:	17.4544	16.5026	16.0351	17.1149	14.8253	14.6767	17.4544
Length 1024/1024, alignment  0/ 0, N    8:	22.3848	18.8568	18.0737	17.0082	38.7806	26.9124	22.1785
Length 1024/1024, alignment  1/ 6, N    8:	20.8495	18.575	17.8342	17.0319	40.0067	27.0718	22.3106
Length 1024/ 256, alignment  0/ 0, N    8:	19.6213	16.5321	16.0795	16.9236	17.4431	14.5674	19.6481
Length 1024/ 256, alignment  1/ 6, N    8:	19.4912	16.4009	16.249	16.7266	18.9769	14.8741	19.4919
Length   16/   1, alignment  1/ 2, N    8:	17.7189	16.0356	16.0181	16.6831	8.70282	14.5679	18.0558
Length   16/   1, alignment  2/ 1, N    8:	19.9423	16.0258	16.0184	16.8248	8.12665	13.3522	16.7109
Length   16/  10, alignment  1/ 1, N    8:	16.0308	14.6912	14.7994	15.288	8.00983	13.3603	16.6044
Length   32/   1, alignment  2/ 4, N    8:	16.0308	14.9625	15.1492	15.2419	5.46051	13.6362	16.6328
Length   32/   1, alignment  4/ 2, N    8:	16.0875	14.9483	15.1702	15.2225	7.70026	13.3522	16.7238
Length   32/  10, alignment  2/ 2, N    8:	15.5831	14.9505	15.1275	15.5427	8.24774	14.6287	17.626
Length   64/   1, alignment  3/ 6, N    8:	17.4882	17.0017	17.5578	17.7017	7.19135	16.9019	21.9472
Length   64/   1, alignment  6/ 3, N    8:	22.0817	19.9471	19.9913	20.5272	10.3743	17.8024	22.2439
Length   64/  10, alignment  3/ 3, N    8:	20.7795	20.1318	19.9806	20.3266	10.2512	17.8422	21.5459
Length  128/   1, alignment  4/ 0, N    8:	21.4505	19.9472	20.1674	20.2969	10.2728	17.9741	22.0624
Length  128/   1, alignment  0/ 4, N    8:	21.6205	19.9461	19.991	20.5027	7.27649	17.8024	22.1083
Length  128/  10, alignment  4/ 4, N    8:	20.7781	20.0832	19.9661	20.4437	9.57013	17.8374	21.5031
Length  256/   1, alignment  5/ 2, N    8:	21.4524	19.9522	20.1069	20.2957	10.4803	17.9315	22.0746
Length  256/   1, alignment  2/ 5, N    8:	21.2117	19.2396	19.2767	19.7254	7.06598	17.1666	21.3476
Length  256/  10, alignment  5/ 5, N    8:	20.6122	19.3644	19.2703	19.5982	9.28381	17.1837	21.1854
Length  512/   1, alignment  6/ 4, N    8:	20.7983	19.2291	19.3823	19.5698	10.4767	17.2755	21.2827
Length  512/   1, alignment  4/ 6, N    8:	20.6102	19.3315	19.2698	19.7053	7.1839	17.1661	21.3001
Length  512/  10, alignment  6/ 6, N    8:	20.0358	19.636	20.103	20.3262	9.51129	17.9554	21.3709
Length 1024/   1, alignment  7/ 6, N    8:	21.5696	19.9332	19.9868	20.5057	10.328	17.8036	22.1826
Length 1024/   1, alignment  6/ 7, N    8:	21.3749	20.0499	19.9772	20.421	7.12909	17.803	22.0911
Length 1024/  10, alignment  7/ 7, N    8:	20.778	19.9327	20.084	20.3274	9.50299	17.9423	21.3714
Length    2/   2, alignment  0/ 2, N   32:	20.9008	19.013	19.0022	19.713	5.99097	17.8596	22.0765
