                                	wcspbrk	simple_wcspbrk
Length   32, alignment  0, rej len  6:	136.286	144.038
Length   33, alignment  0, rej len  6:	143.548	174.285
Length   34, alignment  0, rej len  6:	138.024	195.294
Length   35, alignment  0, rej len  6:	141.875	199.913
Length   36, alignment  0, rej len  6:	148.476	188.438
Length   37, alignment  0, rej len  6:	147.899	191.438
Length   38, alignment  0, rej len  6:	153.435	208.755
Length   39, alignment  0, rej len  6:	158.087	216.628
Length   40, alignment  0, rej len  6:	186.084	198.201
Length   41, alignment  0, rej len  6:	181.73	204.635
Length   42, alignment  0, rej len  6:	202.818	218.854
Length   43, alignment  0, rej len  6:	185.749	211.341
Length   44, alignment  0, rej len  6:	178.507	212.329
Length   45, alignment  0, rej len  6:	195.31	216.015
Length   46, alignment  0, rej len  6:	201.337	230.464
Length   47, alignment  0, rej len  6:	198.203	222.956
Length   48, alignment  0, rej len  6:	192.603	230.168
Length   49, alignment  0, rej len  6:	207.431	244.36
Length   50, alignment  0, rej len  6:	230.704	270.211
Length   51, alignment  0, rej len  6:	246.872	276.485
Length   52, alignment  0, rej len  6:	239.747	284.529
Length   53, alignment  0, rej len  6:	290.514	285.601
Length   54, alignment  0, rej len  6:	292.341	299.415
Length   55, alignment  0, rej len  6:	263.037	303.832
Length   56, alignment  0, rej len  6:	266.595	305.826
Length   57, alignment  0, rej len  6:	269.433	306.351
Length   58, alignment  0, rej len  6:	280.68	332.129
Length   59, alignment  0, rej len  6:	264.195	318.901
Length   60, alignment  0, rej len  6:	325.868	327.919
Length   61, alignment  0, rej len  6:	322.928	326.487
Length   62, alignment  0, rej len  6:	278.963	331.693
Length   63, alignment  0, rej len  6:	297.213	314.871
