                                	simple_strcspn	__strcspn_sse42	__strcspn_sse2
Length   15, alignment  0, rej len  6:	85.0176	5.02832	37.5986
Length   16, alignment  0, rej len  6:	90.2734	7.80371	35.6621
Length   17, alignment  0, rej len  6:	94.4131	7.76953	36.3008
Length   18, alignment  0, rej len  6:	101.909	6.46484	38.1201
Length   19, alignment  0, rej len  6:	106.919	7.76367	38.0996
Length   20, alignment  0, rej len  6:	110.672	6.43848	38.4678
Length   21, alignment  0, rej len  6:	113.868	8.97266	38.9756
Length   22, alignment  0, rej len  6:	123.484	6.70703	41.1758
Length   23, alignment  0, rej len  6:	130.095	8.05176	41.1562
Length   24, alignment  0, rej len  6:	133.784	6.65332	42.4824
Length   25, alignment  0, rej len  6:	139.109	8.05664	43.4443
Length   26, alignment  0, rej len  6:	142.731	7.80762	44.7158
Length   27, alignment  0, rej len  6:	152.612	6.6416	45.498
Length   28, alignment  0, rej len  6:	158	6.68359	45.1943
Length   29, alignment  0, rej len  6:	198.646	6.64941	46.0596
Length   30, alignment  0, rej len  6:	177.751	9.24902	46.2627
Length   31, alignment  0, rej len  6:	208.815	8.05078	47.3672
Length   32, alignment  0, rej len  6:	190.468	11.542	47.1162
Length   33, alignment  0, rej len  6:	194.552	9.99805	49.2842
Length   34, alignment  0, rej len  6:	214.614	8.71484	50.3018
Length   35, alignment  0, rej len  6:	215.9	8.91016	51.2109
Length   36, alignment  0, rej len  6:	224.146	8.85938	51.6162
Length   37, alignment  0, rej len  6:	228.381	8.81738	52.1904
Length   38, alignment  0, rej len  6:	242.201	10.2939	50.8281
Length   39, alignment  0, rej len  6:	227.497	10.1953	51.3887
Length   40, alignment  0, rej len  6:	252.984	9.16211	54.1191
Length   41, alignment  0, rej len  6:	257.946	10.2002	54.4336
Length   42, alignment  0, rej len  6:	258.277	8.84473	58.0957
Length   43, alignment  0, rej len  6:	266.173	8.84766	55.6807
Length   44, alignment  0, rej len  6:	272.752	8.83789	55.9746
Length   45, alignment  0, rej len  6:	262.381	11.5137	56.543
Length   46, alignment  0, rej len  6:	268.55	10.207	55.2725
Length   47, alignment  0, rej len  6:	292.416	10.2041	58.1152
Length   48, alignment  0, rej len  6:	279.412	11.1494	58.2334
Length   49, alignment  0, rej len  6:	300.203	10.9717	59.1914
Length   50, alignment  0, rej len  6:	303.405	10.958	59.4961
Length   51, alignment  0, rej len  6:	293.173	13.6641	60.9951
Length   52, alignment  0, rej len  6:	311.582	10.9424	58.5303
Length   53, alignment  0, rej len  6:	309.788	8.55176	47.7285
Length   54, alignment  0, rej len  6:	253.498	8.64062	47.7627
Length   55, alignment  0, rej len  6:	248.426	9.71777	48.0791
Length   56, alignment  0, rej len  6:	269.214	8.60645	48.4414
Length   57, alignment  0, rej len  6:	268.368	8.48926	48.5156
Length   58, alignment  0, rej len  6:	273.344	8.43555	48.4121
Length   59, alignment  0, rej len  6:	275.764	8.60254	48.6699
Length   60, alignment  0, rej len  6:	278.976	8.38867	50.958
Length   61, alignment  0, rej len  6:	287.33	8.625	48.5156
Length   62, alignment  0, rej len  6:	287.743	9.21973	53.1768
Length   63, alignment  0, rej len  6:	315.382	10.5518	53.0947
