                       	basic_memmem	twoway_memmem	memmem
String abc0, offset 21:	20.4844	8.09375	37.0312
String abc0, offset 28:	24.0078	8.1875	38.0469
String abc0, offset 35:	28.25	9.08594	42.0078
String abc0, offset 42:	31.8047	10.4531	42.0547
String abc0, offset 49:	35.4219	9.10156	45.0391
String abc0, offset 56:	39.0391	9.09375	48.7578
String abc0, offset 63:	42.7656	9.01562	48.6953
String abc0, offset 70:	93.3984	10.1406	52.0859
String abc0, offset 77:	50	10.3125	55.5312
String abc0, offset 84:	53.7109	9.96875	56.0859
String abc0, offset 91:	57.3203	10.0859	65.5391
String abc0, offset 98:	60.9922	9.40625	67.0625
String abc0, offset 105:	64.6562	9.625	69.1953
String abc0, offset 112:	67.9531	9.59375	72.2734
String abc0, offset 119:	71.5156	9.5625	74.1172
String aaaa0, offset 0:	9.22656	8.03906	29.3516
String aaaa0, offset 7:	13.5547	8.03125	33.5156
String aaaa0, offset 14:	20.8906	8.05469	34.6172
String aaaa0, offset 21:	20.4141	8.07031	35.4453
String aaaa0, offset 28:	26.0781	7.92188	37.9141
String aaaa0, offset 35:	30.0391	9.08594	44.2578
String aaaa0, offset 42:	33.5625	9.10156	42.3672
String aaaa0, offset 49:	37.3203	9.01562	43.5156
String aaaa0, offset 56:	40.7969	9.01562	44.2578
String aaaa0, offset 63:	44.3906	9.07031	51.8359
String aaaa0, offset 70:	48.0078	10.1562	52.6172
String aaaa0, offset 77:	51.7109	10.1484	50.8828
String aaaa0, offset 84:	55.0859	10.0781	49.5
String aaaa0, offset 91:	62.7344	10.7734	64.7188
String aaaa0, offset 98:	67.1641	10.1328	63.875
String aaaa0, offset 105:	71.3125	10.0781	65.0156
String aaaa0, offset 112:	74.6094	10.1875	62.1641
String aaaa0, offset 119:	78.2344	9.71094	77.75
String abcabc0, offset 0:	13.8125	8.63281	34.2188
String abcabc0, offset 7:	17.1016	8.69531	35.1484
String abcabc0, offset 14:	25.2891	8.64062	36.3125
String abcabc0, offset 21:	27.5703	8.60938	37.9297
String abcabc0, offset 28:	28.8047	8.57812	41.3672
String abcabc0, offset 35:	49.5938	9.8125	43.0078
String abcabc0, offset 42:	39.0078	9.70312	40.4922
String abcabc0, offset 49:	43.3125	9.6875	45.0234
String abcabc0, offset 56:	46.9922	9.73438	44.75
String abcabc0, offset 63:	50.8203	9.71094	45.9375
String abcabc0, offset 70:	54.875	10.8203	54.2188
String abcabc0, offset 77:	55.9297	10.875	54.7188
String abcabc0, offset 84:	62.1484	10.7422	51.1641
String abcabc0, offset 91:	66.0078	10.7422	64.2812
String abcabc0, offset 98:	69.8672	10.1328	65.6094
String abcabc0, offset 105:	71.5156	9.71094	66.5469
String abcabc0, offset 112:	77.8047	9.70312	62.875
String abcabc0, offset 119:	81.7266	10.1172	74.6562
String NNRU4PI6P<5FJZJWL130ZETW, offset 2685:	1716.69	138.023	264.258
String HTXA6FB0O4SV<QW3CM[PWH2WMZF4IY, offset 79898:	109403	40649.1	5524.99
String 6, offset 163838:	75913.4	2926.86	2895.97
String [T4EJE89MDSP1Q9MJ4W?5@X77CROZ2, offset 1079:	687.016	116.945	99.9688
String I1BCBA[EIFMFHQ@XFJV[U>Q3F7, offset 999:	611.07	336.984	105
String 9, offset 163838:	83051.7	2490.41	2518.56
String 7, offset 807:	396.633	13.7578	13.4141
String G<SYZM886>3J?@><7HDHYUA>=07EYBQ, offset 18632:	15123.9	320.891	896.406
String F?02JRNBMYMI<TIZN[NA?VAES, offset 2731:	1657.16	902.211	198.164
String 4, offset 163838:	89896.5	3344.09	3395.23
String 1GLDC@6[?ZDXW@APOVAZG68WL@@MZE2, offset 137:	155.68	12.25	73.3906
String WVU[0AH07J, offset 1381:	961.805	91.8906	232.695
String 0UYV, offset 49301:	29093.6	703.445	17225.7
String YR5DM[FIQDFCZ=EOBQSWY, offset 931:	516.062	224.062	89.1094
String 6, offset 163838:	76409	2867.83	2805.41
String 8, offset 163838:	81770.3	2707.84	2632.8
String 7BE4[2UF5MDRT1T, offset 7449:	3719.53	114.547	685.523
String DXW@APO2AZ, offset 147:	92.7031	76.875	48.3828
String QM3J@OE3PY413DBMG, offset 3775:	2209.95	102.562	319.141
String FBD9RJ, offset 4458:	2594.65	1556.12	991.047
String QXVG<8VKH, offset 91649:	125213	1469.23	14058
String 1, offset 2166:	990.969	26.1797	25.7188
String 51TN, offset 9384:	4238.76	104.422	3229.63
String SLU8@<77JUVP6, offset 11601:	8523.89	175.531	1055.28
String 0, offset 163838:	73458.5	2486.62	2487.24
String 4, offset 163838:	75700.7	2874.98	2854.73
String BT98HTDMY[, offset 1755:	1064.68	560.828	304.93
String =C3TYG61=@?KNN89GQ=Q9MHOY>XSIZ, offset 710:	600.406	280.609	110.188
String JRN3MYMI2TIZN[N9?, offset 2735:	1942.62	1109.4	296.125
String Y6, offset 18239:	21163.7	312.398	32040.4
String E=<X7S5<FAOI4, offset 2503:	1851.02	103.93	318.18
String 52BS3CUPU3KU@W2, offset 11268:	6415.93	163.781	987.312
String Z6, offset 22605:	24151.1	310.758	33560.9
String N4G4=QQMH48>2SIZOKA<C>GY@8=6, offset 724:	429.516	425.008	76.2578
String 2, offset 611:	348.883	12.7578	11.8359
String 6[GPB, offset 41469:	20376.7	507.555	11196.7
String DCZCEDI2, offset 3838:	1933.2	75.7188	550.648
String F2LVAHH5, offset 59813:	73620.3	31822.9	13829.2
String 6KJI04X9PW40HJ1IPRIT=>=V3>, offset 2393:	1408.17	41.6016	209.664
String AYESVW[9AU9O, offset 43093:	45182	547.805	4241.59
String N1PJ@V0, offset 1961:	1012.95	51.6875	320.93
String JAPZ@SHK7, offset 5306:	3104.67	92.1797	706.57
String Y>WH@OQ7<<KG, offset 5489:	2809.71	97.0938	539.906
String 8YK9Y4AX, offset 3077:	1402.42	37.6562	449.453
String >Y9, offset 841:	420.336	31.1953	422.484
String @QPQGLZPSF5T[=PJ[RNLP[@<BD, offset 6803:	3858.26	2123.18	396.742
String 5, offset 163838:	73995.8	2500.13	3078.2
String 0, offset 163838:	93135.2	2488.75	2467.92
String BO>@>1HVD9K=P4B, offset 1113:	554.117	430.75	134.281
String X2R, offset 5662:	3227.85	80.6094	2929.74
String AS7947JGV@, offset 84947:	100036	37820.3	12566.7
String N3USCOC@WE, offset 1455:	746.664	644.125	186.609
String 5, offset 163838:	81998.7	2750.86	2647.3
String F0MWMCH, offset 119294:	158760	61338.1	23875.3
String QQ@GR57X?<ZTYJJX8YC?AU[>WG, offset 9995:	6341.55	3214.36	555.602
String Q9U<[0SRMH>K@Q2LXTSQLE@Z2<L, offset 46965:	53363.4	883.32	3610.66
String 1, offset 163838:	86561.5	2487.25	2481.99
String 0TSTU424R[QXX?18I5B6MV4KR, offset 1178:	569.781	18.375	93.2812
String 7F3OJV?004YJ@37=B4[S5R, offset 71437:	31988.4	1119.04	6238.51
String 39UVL, offset 1426:	668.602	21.1797	384.164
String 8=Y, offset 4750:	2176.79	54.7578	2467.57
String VGHAHB4GFVQ>1LQ, offset 220:	134.57	64.3047	51.0781
String <PFR0P=8FD5K, offset 1049:	528.93	56.8047	121.352
String @0SDV?GEHT>E<EC8NK6M4V>O, offset 3857:	2000.29	1309.38	256.672
String K[[FRKMV=EFLXBJBGCU[7, offset 51868:	60200.2	888.5	4434.57
String 5, offset 45105:	20973.1	512.617	502.547
String KDJ>=PADGH6RTYG?YF, offset 90440:	120359	37193.8	8504.7
String KNN==39, offset 1989:	1068.66	60.0156	350.695
String 0, offset 163838:	74585.5	2547.7	2480.49
String UP86DSC2<400WWQ4Y>=<[96KVJJX0L0, offset 28985:	26634.3	9214.88	1358.47
String 2, offset 163838:	73439.6	2492.48	2449.37
String V5, offset 134:	74.5234	23.5547	110.219
String LB=@H>OZUI7S0SE>2KMT[26<U=F>C, offset 154088:	204825	91513.3	14762
String >DNAI<7R2=7KS, offset 80494:	96336.4	27386	9614.52
String FZ52=G=Y4?WC[9E, offset 612:	361.547	154.258	87.1875
String 1, offset 163838:	90510.3	3325.95	3347.51
String GW0J=5640F1GEP, offset 14142:	13114.8	202.875	1132.45
String MUGIB[<>Y2U83D[F8TIG2I?7C20, offset 85162:	97351	1546.84	7073.02
String @OKI?1[IIPRCZ9XH, offset 284:	174.406	83.2891	57.875
String 1Z0, offset 5676:	2813.45	71.0781	3171.25
String [S=SVINNH1?WXSEW3O6XF38?P2QARRU, offset 15579:	12989.3	247.539	736.211
String R<58, offset 303:	174.656	33.7734	129.5
String 1>QG79OA55IUOD<9?1?K, offset 138567:	76400.3	2859.08	17136.4
String 804S@ERR@FE@L, offset 58219:	34930	1248.02	9784.34
String Z8, offset 20884:	25135.8	273.57	27707.6
String 1, offset 163838:	79061.1	3356.3	3389.93
String G=9, offset 192:	141.711	38.3125	164.133
String JKZE5FVUNVTA5QCV2QL3NU[Y>N, offset 144816:	192377	73023.3	14557
String 4, offset 163838:	97462.4	3364.48	3353.95
String K37<GE0P=EAC[U5, offset 97404:	149730	47018.9	11099.1
String DC9Y7?ZDXW@AP6V8Z, offset 140:	91.1953	76	49.3359
String 9, offset 163838:	87216.9	3230.66	3254.52
String OY2BY64YX@1BIE=5C39G5, offset 160474:	222608	3163.38	17768.9
String OPW6Y>4LK1HIAM<E>NH=EVQEFI>, offset 19406:	18841.1	328.203	1134.52
String DINR@WHLWAHNFB@[C9M=PXI, offset 24871:	24036.9	441.461	1937.77
String G8K>X?PEKV[6CRO99[21, offset 454:	315.633	113.523	88.4062
String D[KZIJIJH2D>RIMM@YH=[6, offset 1808:	1213.12	116.883	179.273
String 14C7=EOB, offset 940:	605.922	24.2109	202.031
String 2[E, offset 574:	394.562	17.625	415.367
String 6INY>8, offset 7757:	4874.27	156.695	2091.69
