                            	generic_strcat	__strcat_avx2	__strcat_avx2_rtm	__strcat_evex	__strcat_ssse3	__strcat_sse2_unaligned	__strcat_sse2
Length   14/  14, alignment  0/ 6:	14.7428	14.3272	15.6123	16.05	8.65491	14.6031	14.2797
Length   14/  14, alignment  6/ 0:	16.9404	15.6898	15.5723	16.057	8.76588	16.6654	17.0977
Length   15/  15, alignment  0/ 0:	18.9399	18.4053	18.3559	18.956	10.8931	16.6085	14.2888
Length   15/  15, alignment  0/ 0:	18.6517	19.0414	19.0699	19.6601	11.3036	17.8539	17.2223
Length   15/  15, alignment  0/ 7:	16.947	17.4812	18.3941	18.9184	10.898	17.2536	16.2514
Length   15/  15, alignment  7/ 0:	18.9318	16.7927	14.2665	15.4524	8.5258	13.4664	13.6906
Length   16/  16, alignment  0/ 0:	14.7372	14.3275	16.595	18.9653	16.106	17.9994	12.132
Length   16/  16, alignment  7/ 2:	18.9648	18.3605	16.7581	14.7317	14.0503	14.0793	12.6847
Length   16/   4, alignment  0/ 0:	14.7608	14.2847	15.0688	16.2465	8.00551	17.3513	14.6726
Length   16/   4, alignment  7/ 2:	18.9314	18.7062	19.0461	19.0432	10.3329	17.8235	16.7846
Length   32/  32, alignment  0/ 0:	20.1249	18.6118	17.0884	15.8177	13.5042	21.0999	10.1801
Length   32/  32, alignment  6/ 4:	19.9774	20.5701	20.4259	20.6471	19.3075	24.9968	15.9862
Length   32/   8, alignment  0/ 0:	16.5482	16.7299	17.67	17.6035	11.4117	24.3337	10.9151
Length   32/   8, alignment  6/ 4:	18.902	18.6531	20.4744	20.4178	14.8607	27.9633	19.2222
Length   64/  64, alignment  0/ 0:	30.9541	29.5294	29.2798	30.5008	18.7888	24.406	13.2246
Length   64/  64, alignment  5/ 6:	24.2578	22.9987	24.8355	25.8386	20.3452	24.1956	19.1622
Length   64/  16, alignment  0/ 0:	24.3876	23.7371	24.6563	25.393	15.8054	24.1972	10.2785
Length   64/  16, alignment  5/ 6:	26.7231	26.7052	26.4774	27.4488	21.4975	25.4023	18.6161
Length  128/ 128, alignment  0/ 0:	27.2888	26.6034	26.2172	30.0459	22.9425	29.0273	25.3783
Length  128/ 128, alignment  4/ 0:	31.3461	29.0805	30.2584	34.0057	27.5662	31.399	31.7144
Length  128/  32, alignment  0/ 0:	26.0019	26.9033	27.7262	30.181	21.552	32.8067	20.0786
Length  128/  32, alignment  4/ 0:	31.0023	29.8162	29.3765	29.4563	25.5059	32.8984	23.149
