                                	wcsspn	simple_wcsspn
Length   34, alignment  0, acc len  6:	201.775	177.857
Length   35, alignment  0, acc len  6:	181.222	176.064
Length   36, alignment  0, acc len  6:	180.638	184.336
Length   37, alignment  0, acc len  6:	204.647	206.338
Length   38, alignment  0, acc len  6:	204.314	191.649
Length   39, alignment  0, acc len  6:	210.404	190.357
Length   40, alignment  0, acc len  6:	212.037	194.263
Length   41, alignment  0, acc len  6:	218.347	222.904
Length   42, alignment  0, acc len  6:	222.335	217.797
Length   43, alignment  0, acc len  6:	232.596	211.53
Length   44, alignment  0, acc len  6:	246.432	212.74
Length   45, alignment  0, acc len  6:	240.032	203.494
Length   46, alignment  0, acc len  6:	238.388	235.645
Length   47, alignment  0, acc len  6:	268.195	234.362
Length   48, alignment  0, acc len  6:	255.5	229.356
Length   49, alignment  0, acc len  6:	241.876	240.03
Length   50, alignment  0, acc len  6:	274.913	260.147
Length   51, alignment  0, acc len  6:	221.692	214.843
Length   52, alignment  0, acc len  6:	241.731	238.119
Length   53, alignment  0, acc len  6:	231.808	229.19
Length   54, alignment  0, acc len  6:	255.118	256.517
Length   55, alignment  0, acc len  6:	243.393	222.227
Length   56, alignment  0, acc len  6:	249.285	241.053
Length   57, alignment  0, acc len  6:	250.194	226.514
Length   58, alignment  0, acc len  6:	263.344	233.524
Length   59, alignment  0, acc len  6:	272.057	260.943
Length   60, alignment  0, acc len  6:	282.816	235.73
Length   61, alignment  0, acc len  6:	266.816	274.192
Length   62, alignment  0, acc len  6:	290.187	297.172
Length   63, alignment  0, acc len  6:	274.694	298.409
