                    	wcschrnul	simple_WCSCHRNUL
Length    0, alignment in bytes  0:	3.61072	3.42882
Length    1, alignment in bytes  0:	5.14381	2.90871
Length    1, alignment in bytes  0:	4.85748	2.85751
Length    2, alignment in bytes  0:	7.29913	3.40991
Length    2, alignment in bytes  0:	7.18834	3.45177
Length    3, alignment in bytes  0:	8.92441	5.41513
Length    3, alignment in bytes  0:	8.2032	5.44115
Length    4, alignment in bytes  0:	9.57666	6.60878
Length    4, alignment in bytes  0:	9.42787	6.61584
Length    5, alignment in bytes  0:	8.18066	8.89664
Length    5, alignment in bytes  0:	8.47256	8.87848
Length    6, alignment in bytes  0:	9.43741	7.17018
Length    6, alignment in bytes  0:	10.8319	7.17308
Length    7, alignment in bytes  0:	10.371	7.93352
Length    7, alignment in bytes  0:	10.7164	7.78784
Length    8, alignment in bytes  0:	11.2597	8.66524
Length    8, alignment in bytes  0:	11.8706	8.68742
Length    9, alignment in bytes  0:	12.4109	9.91295
Length    9, alignment in bytes  0:	10.9168	9.35446
Length   10, alignment in bytes  0:	12.4022	10.5907
Length   10, alignment in bytes  0:	13.459	10.5992
Length   11, alignment in bytes  0:	13.7782	10.2494
Length   11, alignment in bytes  0:	13.1263	10.35
Length   12, alignment in bytes  0:	14.4878	12.4684
Length   12, alignment in bytes  0:	13.956	11.7043
Length   13, alignment in bytes  0:	15.1283	13.5669
Length   13, alignment in bytes  0:	16.035	13.9611
Length   14, alignment in bytes  0:	12.4862	14.4759
Length   14, alignment in bytes  0:	13.9812	16.6708
Length   15, alignment in bytes  0:	15.1996	12.5788
Length   15, alignment in bytes  0:	14.9597	12.58
Length   16, alignment in bytes  0:	15.4546	12.9472
Length   16, alignment in bytes  0:	14.9515	12.1282
Length   17, alignment in bytes  0:	14.9991	12.8261
Length   17, alignment in bytes  0:	15.8812	13.2608
Length   18, alignment in bytes  0:	15.565	13.6805
Length   18, alignment in bytes  0:	16.6901	14.364
Length   19, alignment in bytes  0:	18.4765	14.9551
Length   19, alignment in bytes  0:	17.7156	14.9454
Length   20, alignment in bytes  0:	17.9038	13.9936
Length   20, alignment in bytes  0:	17.5582	15.5512
Length   21, alignment in bytes  0:	18.7149	16.1132
Length   21, alignment in bytes  0:	18.5277	16.1693
Length   22, alignment in bytes  0:	18.9554	14.6608
Length   22, alignment in bytes  0:	16.0992	14.1407
Length   23, alignment in bytes  0:	17.0205	15.0682
Length   23, alignment in bytes  0:	18.7063	16.1477
Length   24, alignment in bytes  0:	20.013	16.7875
Length   24, alignment in bytes  0:	18.8135	16.7464
Length   25, alignment in bytes  0:	19.1658	18.2619
Length   25, alignment in bytes  0:	20.5376	18.5004
Length   26, alignment in bytes  0:	22.6058	19.2799
Length   26, alignment in bytes  0:	22.2908	17.3582
Length   27, alignment in bytes  0:	20.2715	17.2519
Length   27, alignment in bytes  0:	20.3461	16.9322
Length   28, alignment in bytes  0:	19.477	16.6434
Length   28, alignment in bytes  0:	19.4381	16.6897
Length   29, alignment in bytes  0:	19.4102	17.1441
Length   29, alignment in bytes  0:	20.8683	17.8733
Length   30, alignment in bytes  0:	20.5549	17.6006
Length   30, alignment in bytes  0:	20.6462	21.5525
Length   31, alignment in bytes  0:	24.5256	22.0935
Length   31, alignment in bytes  0:	24.6704	21.703
