                    	simple_STRCHR	__wcschr_avx2	__wcschr_avx2_rtm	__wcschr_evex	__wcschr_sse2
Length   23, alignment in bytes  0:	18.1566	3.64391	4.64558	4.12891	6.74074
Length   24, alignment in bytes  0:	18.6152	4.31573	4.97614	4.12987	7.56648
Length   24, alignment in bytes  0:	18.398	4.1293	4.64574	4.1682	7.73262
Length   25, alignment in bytes  0:	17.4402	3.66467	4.14647	3.91054	7.757
Length   25, alignment in bytes  0:	19.1268	4.12932	4.67943	4.1292	8.28691
Length   26, alignment in bytes  0:	19.6662	4.32224	4.64586	4.12898	8.29341
Length   26, alignment in bytes  0:	19.6787	4.12915	4.6459	4.0601	7.58771
Length   27, alignment in bytes  0:	19.1385	4.00763	4.77731	4.12892	7.77837
Length   27, alignment in bytes  0:	20.2361	4.41118	5.33412	4.74072	8.98668
Length   28, alignment in bytes  0:	22.1408	4.57918	5.532	4.57109	9.09724
Length   28, alignment in bytes  0:	20.7142	4.12915	4.64561	4.15741	9.0321
Length   29, alignment in bytes  0:	22.0855	4.61926	5.05359	4.12898	9.06075
Length   29, alignment in bytes  0:	21.23	4.1291	4.76447	4.12894	9.07932
Length   30, alignment in bytes  0:	24.8094	4.91154	6.1709	4.92265	10.8074
Length   30, alignment in bytes  0:	25.8223	4.9313	5.57213	4.92287	10.8062
Length   31, alignment in bytes  0:	23.4252	4.13251	5.09822	4.12907	8.81694
Length   31, alignment in bytes  0:	20.369	4.12907	5.16113	4.16743	9.28992
Length   64, alignment in bytes  4:	35.6355	9.45264	9.6516	11.0851	21.8414
Length   64, alignment in bytes  4:	45.2996	11.7929	11.8008	10.4402	21.7079
Length   64, alignment in bytes  8:	45.3089	11.7766	11.7945	10.7184	21.6642
Length   64, alignment in bytes  8:	45.3134	11.7619	11.7974	10.6412	21.6698
Length   64, alignment in bytes 12:	45.2792	11.7627	11.7966	10.3567	21.6948
Length   64, alignment in bytes 12:	45.3043	11.7362	11.8003	10.3008	19.7626
Length   64, alignment in bytes 16:	35.4285	9.56149	9.46359	8.10825	17.2509
Length   64, alignment in bytes 16:	40.2801	10.9411	10.7918	9.71405	18.5736
Length   64, alignment in bytes 20:	39.4823	10.0484	9.91411	8.77417	18.3984
Length   64, alignment in bytes 20:	42.4467	11.3507	11.3741	10.5662	20.6219
Length   64, alignment in bytes 24:	41.5412	10.1702	9.91748	9.30765	21.8416
Length   64, alignment in bytes 24:	45.3057	11.7693	11.7966	10.3708	21.6866
Length   64, alignment in bytes 28:	45.2826	11.7652	11.7976	10.4669	21.6869
Length   64, alignment in bytes 28:	45.3136	11.7648	11.7961	11.0394	21.6381
Length  256, alignment in bytes  0:	190.684	20.4894	22.1679	18.7106	65.535
Length  256, alignment in bytes  0:	143.338	20.2828	20.174	17.083	59.8261
Length  256, alignment in bytes 64:	174.928	28.9839	29.0102	25.3689	78.2369
Length  256, alignment in bytes 64:	191.032	28.9887	29.0222	25.4896	59.1839
Length  256, alignment in bytes 128:	158.311	25.3409	25.7934	22.1295	74.9617
Length  256, alignment in bytes 128:	188.776	27.8001	27.8833	23.633	78.7101
Length  256, alignment in bytes 192:	191.999	28.9955	29.0461	21.6987	64.4842
Length  256, alignment in bytes 192:	175.491	23.8105	21.5675	17.9783	58.9547
Length  256, alignment in bytes 256:	179.966	27.9332	27.7556	23.8779	78.2582
Length  256, alignment in bytes 256:	188.784	25.0367	26.3971	22.8081	75.3852
Length  256, alignment in bytes 320:	166.77	24.5276	24.3635	21.3661	66.6978
Length  256, alignment in bytes 320:	160.649	23.1583	22.8409	19.6382	64.0185
Length  256, alignment in bytes 384:	172.743	25.876	25.7957	22.1205	72.8386
Length  256, alignment in bytes 384:	178.039	25.8115	26.2379	20.2456	70.86
Length  256, alignment in bytes 448:	174.068	26.9741	27.0041	23.0949	72.9624
Length  256, alignment in bytes 448:	178.191	26.95	26.9588	23.8223	72.9533
Length    0, alignment in bytes  0:	3.36308	2.75937	4.41437	2.7597	3.93573
Length    0, alignment in bytes  0:	3.3103	2.75902	4.45706	2.75882	3.86232
Length    1, alignment in bytes  0:	5.57048	2.75864	4.41377	2.75867	3.91078
Length    1, alignment in bytes  0:	5.51706	2.75891	4.45663	2.75877	3.86209
Length    2, alignment in bytes  0:	7.22949	2.75885	4.48015	2.75877	3.862
Length    2, alignment in bytes  0:	7.7791	2.75883	4.41365	2.80891	3.86226
Length    3, alignment in bytes  0:	9.42886	2.75882	4.41357	2.75887	3.93336
Length    3, alignment in bytes  0:	9.44705	2.75861	3.86212	2.75867	3.35658
Length    4, alignment in bytes  0:	10.4823	2.80376	4.96478	2.75876	3.98607
Length    4, alignment in bytes  0:	10.5496	2.75885	4.41354	2.75882	3.98436
Length    5, alignment in bytes  0:	12.2448	2.75873	4.15303	2.75871	3.99182
Length    5, alignment in bytes  0:	12.734	2.75858	4.41374	2.81302	4.41382
Length    6, alignment in bytes  0:	13.8304	2.75842	4.45113	2.7587	3.93024
Length    6, alignment in bytes  0:	13.8316	2.7981	4.41359	2.7589	3.9799
Length    7, alignment in bytes  0:	15.4867	2.75883	4.41341	2.7979	4.414
Length    7, alignment in bytes  0:	12.0928	2.75887	4.24907	2.75882	3.93628
Length    8, alignment in bytes  0:	13.2855	3.35286	4.96646	3.86325	5.00089
Length    8, alignment in bytes  0:	11.2568	3.31042	4.41559	3.89705	4.7541
Length    9, alignment in bytes  0:	11.6299	3.31064	4.4498	3.86224	4.75311
Length    9, alignment in bytes  0:	11.626	3.31056	5.01094	3.86215	4.77794
Length   10, alignment in bytes  0:	12.2877	3.4288	4.57262	4.03712	4.925
Length   10, alignment in bytes  0:	13.0702	3.42863	5.1772	3.99971	4.92401
Length   11, alignment in bytes  0:	13.2298	3.4287	5.14243	4.03722	4.92108
Length   11, alignment in bytes  0:	13.1759	3.42867	4.99837	4.00005	4.95668
Length   12, alignment in bytes  0:	13.75	3.42868	4.8483	3.89439	5.64143
Length   12, alignment in bytes  0:	13.2725	3.31053	5.00146	3.86223	5.68388
Length   13, alignment in bytes  0:	15.4892	3.31065	5.00621	3.86365	5.63885
Length   13, alignment in bytes  0:	15.0444	3.3105	4.41513	3.90948	5.64301
Length   14, alignment in bytes  0:	16.4185	3.37204	4.96539	3.86205	5.67462
Length   14, alignment in bytes  0:	17.0753	3.34981	4.41524	3.862	5.69617
Length   15, alignment in bytes  0:	17.1553	3.31059	5.01085	3.86194	5.68835
Length   15, alignment in bytes  0:	20.998	3.36325	4.41493	3.86191	5.68251
Length   16, alignment in bytes  0:	14.3825	3.86351	5.18478	5.79385	6.58324
