                    	simple_memchr	__memchr_avx2	__memchr_avx2_rtm	__memchr_evex	__memchr_evex_rtm	__memchr_sse2
Length  512, position  224, alignment  7:	160.904	7.43924	7.85675	7.32697	7.61722	11.9951
Length  512, position  224, alignment  7:	160.039	6.41237	6.9424	6.78368	7.12616	11.2323
Length    2, position    1, alignment  0:	7.6714	3.35577	3.31262	3.31094	3.34064	3.86293
Length    2, position    1, alignment  0:	7.72394	4.41409	3.86258	3.31065	3.34666	3.3107
Length    2, position    1, alignment  1:	7.76604	4.41399	4.414	3.0155	2.77861	3.42888
Length    2, position    1, alignment  1:	8.03378	4.57144	4.62378	2.85739	3.42874	4.00014
Length    0, position    1, alignment  0:	4.0537	3.42888	2.85768	3.47922	3.42896	3.42892
Length    0, position    1, alignment  0:	4.00761	3.13533	3.31079	3.31093	3.31082	3.35095
Length    0, position    1, alignment  1:	3.86212	3.31062	3.35309	3.31059	3.86226	3.31046
Length    0, position    1, alignment  1:	3.89938	3.3105	3.31059	3.35074	3.86206	3.31059
Length    3, position    2, alignment  0:	7.76823	4.03973	4.33336	2.73213	2.832	2.43102
Length    3, position    2, alignment  0:	6.81514	3.87889	3.87885	2.9684	2.92377	3.39418
Length    3, position    2, alignment  2:	6.82832	2.90945	3.87894	2.42459	2.9547	3.39415
Length    3, position    2, alignment  2:	8.76138	3.87877	3.87907	2.60387	2.90924	3.57996
Length    1, position    2, alignment  0:	4.96931	4.41397	3.31219	3.32727	3.35245	3.86238
Length    1, position    2, alignment  0:	4.9657	4.45737	4.41408	3.30815	3.35428	3.8625
Length    1, position    2, alignment  2:	4.96552	4.44658	4.41399	3.32736	3.17587	3.86234
Length    1, position    2, alignment  2:	4.96544	4.45477	3.31238	2.75903	3.39745	4.00018
Length    4, position    3, alignment  0:	11.2641	4.57129	3.42894	3.42003	3.4288	4.00018
Length    4, position    3, alignment  0:	10.8971	4.61115	3.42889	2.85736	3.42868	3.58562
Length    4, position    3, alignment  3:	11.0764	4.41408	4.41396	2.81259	3.09695	3.88457
Length    4, position    3, alignment  3:	10.3695	4.12987	3.58011	3.10768	3.09726	3.61304
Length    2, position    3, alignment  0:	5.13101	3.87871	2.91064	2.96492	2.42453	3.87929
Length    2, position    3, alignment  0:	5.03636	4.12918	3.09842	2.58086	2.77493	3.61334
Length    2, position    3, alignment  3:	5.43198	4.16852	3.09834	3.1122	3.13249	4.12907
Length    2, position    3, alignment  3:	5.43185	4.17233	3.09833	2.58096	3.097	4.16942
Length    5, position    4, alignment  0:	7.76808	4.17574	4.12918	2.58093	3.09686	3.65631
Length    5, position    4, alignment  0:	7.74977	4.16568	4.12935	2.58092	3.13245	3.6131
Length    5, position    4, alignment  4:	7.78452	4.12897	3.09846	2.58098	3.0023	3.6131
Length    5, position    4, alignment  4:	9.75845	4.12894	3.09839	3.13531	3.09698	3.61316
Length    3, position    4, alignment  0:	6.42259	4.12891	3.09824	3.11288	3.13881	4.12915
Length    3, position    4, alignment  0:	6.71271	4.12901	4.12936	2.58089	3.14116	4.1291
Length    3, position    4, alignment  4:	6.20744	3.87871	2.91077	2.92422	2.95294	3.87897
Length    3, position    4, alignment  4:	6.30284	3.9175	2.90936	2.42448	2.90927	3.90616
Length    6, position    5, alignment  0:	7.53981	3.62744	3.55563	2.22246	2.22272	2.7124
Length    6, position    5, alignment  0:	7.55507	3.55569	3.6918	2.42458	2.92598	3.00017
Length    6, position    5, alignment  5:	6.9722	3.55539	2.70767	2.68004	2.66675	2.66696
Length    6, position    5, alignment  5:	7.59613	3.55559	3.55556	2.55417	2.66684	3.11116
Length    4, position    5, alignment  0:	7.58794	3.55551	3.55554	2.71765	2.66679	3.11136
Length    4, position    5, alignment  0:	8.04759	3.55573	3.55554	2.68008	2.67766	3.26054
Length    4, position    5, alignment  5:	8.75742	3.87888	2.90964	2.62791	3.34125	4.41388
Length    4, position    5, alignment  5:	9.96469	4.41399	3.59663	2.75897	3.31065	4.41399
Length    7, position    6, alignment  0:	9.13428	4.44225	3.31081	3.32811	3.31055	3.55916
Length    7, position    6, alignment  0:	9.37943	4.45773	3.31068	2.759	3.34659	3.86232
Length    7, position    6, alignment  6:	9.74611	4.41388	3.3121	3.36858	2.75938	3.86253
Length    7, position    6, alignment  6:	9.19412	2.91049	3.8788	2.86755	2.90939	3.39423
Length    5, position    6, alignment  0:	6.23196	3.87901	3.87877	2.96086	2.90927	3.87883
Length    5, position    6, alignment  0:	6.10645	3.87883	3.87885	2.58478	2.73341	3.11115
Length    5, position    6, alignment  6:	5.77765	3.59969	2.66805	2.67989	2.66676	3.45724
Length    5, position    6, alignment  6:	5.77756	3.55553	3.9971	2.22247	2.22279	3.55562
Length    8, position    7, alignment  0:	9.38893	3.59259	3.55563	2.67987	2.66682	3.14999
Length    8, position    7, alignment  0:	9.33278	3.59064	2.66817	2.68011	2.66676	3.11127
Length    8, position    7, alignment  7:	9.59952	3.92616	2.90929	2.92433	2.90935	3.43762
Length    8, position    7, alignment  7:	10.692	4.15759	4.12914	2.96216	3.13858	3.09702
Length    6, position    7, alignment  0:	7.50868	4.12886	4.12912	3.11377	3.05618	3.61316
Length    6, position    7, alignment  0:	7.52214	4.12904	3.09833	3.11389	3.13231	4.12903
Length    6, position    7, alignment  7:	7.33636	4.12917	3.09691	3.12958	3.09695	4.12909
Length    6, position    7, alignment  7:	8.50455	4.1196	4.52853	3.32698	3.31068	4.41405
Length    9, position    8, alignment  0:	12.2313	4.48778	4.41379	3.3277	3.2308	3.86224
Length    9, position    8, alignment  0:	12.1764	4.41399	3.67218	2.75905	3.31067	3.3111
Length    9, position    8, alignment  0:	12.1828	4.4455	4.41396	2.75899	3.16083	3.86238
Length    9, position    8, alignment  0:	15.4912	4.44685	3.31055	3.32706	3.31061	3.90448
Length    7, position    8, alignment  0:	8.55206	4.45749	4.41373	3.32719	3.3042	3.8623
Length    7, position    8, alignment  0:	8.38506	4.4138	3.31204	3.08522	3.31055	4.41391
Length    7, position    8, alignment  0:	8.23436	4.25122	3.14305	3.11241	2.97639	3.87871
Length    7, position    8, alignment  0:	7.09247	3.87875	2.98386	2.42453	2.91835	4.12895
Length   10, position    9, alignment  0:	11.9083	4.17223	4.38539	3.11259	3.09705	3.65558
Length   10, position    9, alignment  0:	11.9004	4.12936	4.12915	3.02475	2.58144	3.61313
Length   10, position    9, alignment  1:	11.9121	4.17076	4.12923	3.09695	3.09697	3.65129
Length   10, position    9, alignment  1:	11.9144	4.46727	3.42903	3.47148	3.42873	4.00003
Length    8, position    9, alignment  0:	10.533	4.5714	4.39638	3.42876	3.42865	4.24115
Length    8, position    9, alignment  0:	10.351	4.57132	4.57146	3.0329	2.85789	4.57155
Length    8, position    9, alignment  1:	10.5449	4.5714	3.47549	3.42879	3.42877	4.61436
Length    8, position    9, alignment  1:	10.8752	4.57156	4.35571	2.80338	3.31064	4.41374
Length   11, position   10, alignment  0:	13.3632	4.46117	4.41374	2.75931	3.3105	3.90706
Length   11, position   10, alignment  0:	13.2829	4.41386	4.49039	2.75906	2.75938	3.31113
Length   11, position   10, alignment  2:	13.2864	4.46722	4.57086	2.85736	3.4946	4.00009
Length   11, position   10, alignment  2:	15.4699	4.61336	3.43042	2.85738	3.42874	4.03886
Length    9, position   10, alignment  0:	11.3351	4.57123	3.43047	3.47162	3.42871	4.57138
Length    9, position   10, alignment  0:	10.9024	4.61407	4.5714	3.42879	2.85779	4.60524
Length    9, position   10, alignment  2:	11.2203	4.41382	3.3121	3.17592	3.31055	4.41397
Length    9, position   10, alignment  2:	10.6263	4.46066	4.41389	2.75902	3.31053	4.02394
Length   12, position   11, alignment  0:	13.8343	4.41371	4.45284	3.31052	3.31059	3.86224
Length   12, position   11, alignment  0:	13.8668	4.41394	4.41377	3.29912	2.90932	3.39426
Length   12, position   11, alignment  3:	12.1541	3.87894	3.92226	2.90936	2.42491	3.39418
Length   12, position   11, alignment  3:	12.1586	3.91901	3.87894	2.42447	2.93645	3.39426
Length   10, position   11, alignment  0:	10.1236	3.87874	3.87892	3.0426	3.09703	4.12912
Length   10, position   11, alignment  0:	10.8689	3.87898	3.37753	2.90923	2.90936	3.39433
