                    	simple_memchr	__memchr_avx2	__memchr_avx2_rtm	__memchr_evex	__memchr_evex_rtm	__memchr_sse2
Length   30, position   29, alignment  5:	21.5054	4.19881	4.18491	2.58093	3.09706	4.21234
Length   30, position   29, alignment  5:	20.8385	4.41396	4.45747	2.75897	3.31058	4.71764
Length   28, position   29, alignment  0:	19.6989	4.45605	4.41386	2.75899	3.31056	5.55373
Length   28, position   29, alignment  0:	19.4338	4.57138	4.57143	2.98996	2.85774	5.14348
Length   28, position   29, alignment  5:	20.6902	4.41403	4.45073	3.31058	3.31068	5.22462
Length   28, position   29, alignment  5:	20.6782	4.60852	4.57129	2.85738	3.47276	5.15199
Length   31, position   30, alignment  0:	23.1956	4.12898	3.94418	2.5809	3.09695	4.64557
Length   31, position   30, alignment  0:	21.2403	4.12933	4.09689	2.42462	2.98723	4.28389
Length   31, position   30, alignment  6:	19.9174	3.92424	3.87878	2.42453	2.90924	4.19322
Length   31, position   30, alignment  6:	19.427	3.58875	3.55559	2.2224	2.22272	3.67876
Length   29, position   30, alignment  0:	16.4117	3.5555	2.66805	2.41266	2.66675	4.53409
Length   29, position   30, alignment  0:	17.6864	3.87895	3.87895	2.56186	3.13313	4.64598
Length   29, position   30, alignment  6:	18.8407	4.12909	4.12915	3.13	3.09688	4.64621
Length   29, position   30, alignment  6:	18.8009	4.12904	4.12915	3.13458	3.09688	5.16138
Length   32, position   31, alignment  0:	20.9064	4.12903	3.94337	2.4245	2.42497	4.39085
Length   32, position   31, alignment  0:	20.5172	3.91629	2.90933	2.90929	2.90936	3.91068
Length   32, position   31, alignment  7:	20.682	4.17084	4.12918	3.097	3.09708	4.80107
Length   32, position   31, alignment  7:	21.3206	4.414	3.31219	3.31067	2.81422	4.59657
Length   30, position   31, alignment  0:	23.561	4.5714	4.60403	3.4287	3.42859	5.18631
Length   30, position   31, alignment  0:	23.5156	4.57143	3.95004	3.2562	3.4288	5.14369
Length   30, position   31, alignment  7:	23.5175	4.60567	3.75214	2.85735	3.37727	4.96707
Length   30, position   31, alignment  7:	22.6993	4.41397	4.44958	3.31062	3.31064	4.5045
