                                	wcscspn	simple_wcscspn
Length   32, alignment  0, rej len  6:	140.573	205.925
Length   33, alignment  0, rej len  6:	184.36	210.721
Length   34, alignment  0, rej len  6:	168.429	221.225
Length   35, alignment  0, rej len  6:	195.041	222.596
Length   36, alignment  0, rej len  6:	200.388	224.149
Length   37, alignment  0, rej len  6:	202.115	229.206
Length   38, alignment  0, rej len  6:	211.032	225.745
Length   39, alignment  0, rej len  6:	216.38	227.561
Length   40, alignment  0, rej len  6:	227.825	243.951
Length   41, alignment  0, rej len  6:	234.221	241.09
Length   42, alignment  0, rej len  6:	257.179	247.396
Length   43, alignment  0, rej len  6:	265.315	259.74
Length   44, alignment  0, rej len  6:	260.514	269.576
Length   45, alignment  0, rej len  6:	230.602	277.24
Length   46, alignment  0, rej len  6:	225.485	271.652
Length   47, alignment  0, rej len  6:	206.149	228.455
Length   48, alignment  0, rej len  6:	181.21	235.581
Length   49, alignment  0, rej len  6:	222.277	238.521
Length   50, alignment  0, rej len  6:	261.161	257.445
Length   51, alignment  0, rej len  6:	269.187	254.792
Length   52, alignment  0, rej len  6:	244.813	262.884
Length   53, alignment  0, rej len  6:	229.474	271.362
Length   54, alignment  0, rej len  6:	282.789	278.702
Length   55, alignment  0, rej len  6:	261.341	284.489
Length   56, alignment  0, rej len  6:	286.541	274.088
Length   57, alignment  0, rej len  6:	278.657	272.188
Length   58, alignment  0, rej len  6:	257.443	287.126
Length   59, alignment  0, rej len  6:	271.502	285.351
Length   60, alignment  0, rej len  6:	237.286	284.251
Length   61, alignment  0, rej len  6:	295.628	290.555
Length   62, alignment  0, rej len  6:	284.602	301.317
Length   63, alignment  0, rej len  6:	302.048	293.465
