                    	simple_memrchr	__memrchr_avx2	__memrchr_avx2_rtm	__memrchr_evex	__memrchr_sse2
Length   26, position   25, alignment  0:	5.1675	4.57263	6.18533	4.26968	3.09698
Length   26, position   25, alignment  0:	4.04808	3.55528	4.68578	3.11098	2.70355
Length   26, position   25, alignment  1:	3.99942	4.4445	5.35765	2.97086	2.2224
Length   26, position   25, alignment  1:	4.02637	4.44427	5.33315	3.00801	2.6666
Length   24, position   25, alignment  0:	15.8689	3.88013	3.93932	4.36363	3.88013
Length   24, position   25, alignment  0:	15.241	3.87971	5.33353	3.91949	3.879
Length   24, position   25, alignment  1:	15.4575	4.41006	5.81792	3.9052	3.87883
Length   24, position   25, alignment  1:	18.2587	4.60138	6.85663	4.60034	4.57239
Length   26, position    1, alignment  0:	19.9278	4.57433	6.2011	4.32425	5.14268
Length   26, position    2, alignment  0:	18.5542	4.57109	6.0127	4.00006	4.57268
Length   27, position   26, alignment  0:	4.18723	4.3512	4.11696	3.48944	3.09688
Length   27, position   26, alignment  0:	4.64464	4.22017	4.36565	3.39398	2.94977
Length   27, position   26, alignment  2:	4.36307	4.84871	5.85628	3.24091	2.42447
Length   27, position   26, alignment  2:	4.4108	4.36368	5.856	3.24084	2.42442
Length   25, position   26, alignment  0:	15.7914	4.87801	4.84956	4.36372	3.56749
Length   25, position   26, alignment  0:	17.0709	5.21162	5.1622	3.62811	4.17261
Length   25, position   26, alignment  2:	18.6787	4.23099	6.19345	4.12939	4.17578
Length   25, position   26, alignment  2:	18.674	4.17	6.19334	4.12941	4.174
Length   27, position    1, alignment  0:	20.1735	4.17313	5.33315	3.43149	3.87994
Length   27, position    2, alignment  0:	16.742	4.16217	5.5011	3.86174	3.91878
Length   28, position   27, alignment  0:	3.87871	3.87866	5.09877	2.91013	2.42441
Length   28, position   27, alignment  0:	6.33696	3.8788	5.33315	3.42726	2.42448
Length   28, position   27, alignment  3:	6.57693	5.19461	6.19342	3.49162	3.09137
Length   28, position   27, alignment  3:	6.30202	4.87926	5.81793	3.28397	2.90907
Length   26, position   27, alignment  0:	18.0195	3.92168	4.84958	3.88005	4.14642
Length   26, position   27, alignment  0:	18.1144	3.87993	4.89558	4.36365	3.92477
Length   26, position   27, alignment  3:	17.3288	3.99998	5.10936	3.88327	4.36357
Length   26, position   27, alignment  3:	20.7	5.30724	5.92773	4.74109	5.21954
Length   28, position    1, alignment  0:	22.0576	4.74014	4.57257	4.62537	5.14268
Length   28, position    2, alignment  0:	19.5711	4.57245	4.65073	4.57101	5.03606
Length   29, position   28, alignment  0:	5.05046	4.48547	3.881	3.89229	2.90923
Length   29, position   28, alignment  0:	6.34074	3.87883	4.0143	4.13963	3.09698
Length   29, position   28, alignment  4:	6.70918	4.67841	4.13229	4.13087	3.13129
Length   29, position   28, alignment  4:	6.70885	4.25342	4.1315	4.13002	2.95779
Length   27, position   28, alignment  0:	18.4918	4.84842	3.91615	3.88016	3.87997
Length   27, position   28, alignment  0:	18.4943	4.84825	3.91776	3.87982	3.87985
Length   27, position   28, alignment  4:	18.5027	4.36411	4.91859	3.87932	3.87871
Length   27, position   28, alignment  4:	18.4954	4.36362	4.8485	3.91046	3.881
Length   29, position    1, alignment  0:	20.0299	3.87878	4.8484	3.5376	3.55626
Length   29, position    2, alignment  0:	18.6185	3.88002	4.36348	3.394	3.92424
Length   30, position   29, alignment  0:	6.30246	3.92287	3.87984	3.39381	2.4245
Length   30, position   29, alignment  0:	6.33952	3.87975	4.25427	2.95265	3.09688
Length   30, position   29, alignment  5:	6.97177	5.16092	4.60132	5.14261	3.4285
Length   30, position   29, alignment  5:	7.45288	4.57266	4.76184	4.57265	3.4286
Length   28, position   29, alignment  0:	21.7012	5.74397	5.14343	4.57271	4.88078
Length   28, position   29, alignment  0:	20.67	5.74878	5.14462	4.03957	4.60771
Length   28, position   29, alignment  5:	19.6566	4.3647	4.99196	3.54109	3.5571
Length   28, position   29, alignment  5:	15.9184	4.5723	4.22157	3.88023	4.16734
Length   30, position    1, alignment  0:	18.7254	3.92343	5.33304	3.39394	3.91383
Length   30, position    2, alignment  0:	19.5896	3.99135	4.87012	3.39774	4.01471
Length   31, position   30, alignment  0:	4.20174	4.13049	5.56372	3.61618	3.09694
Length   31, position   30, alignment  0:	6.75064	4.13031	5.20668	4.12508	3.09697
Length   31, position   30, alignment  6:	6.22453	4.64519	4.13271	4.43637	3.09682
Length   31, position   30, alignment  6:	6.75224	4.1301	4.41414	4.24782	3.31049
Length   29, position   30, alignment  0:	21.162	5.16124	5.67746	3.67654	4.13243
Length   29, position   30, alignment  0:	19.1969	5.69537	6.14551	3.98128	4.5723
Length   29, position   30, alignment  6:	20.8726	5.67459	4.97395	5.14285	5.1787
Length   29, position   30, alignment  6:	20.9092	4.61197	4.97424	4.89731	5.14325
Length   31, position    1, alignment  0:	22.9508	4.57243	4.9863	4.08026	4.00201
Length   31, position    2, alignment  0:	18.5161	3.88	4.6698	3.39395	3.8799
Length   32, position   31, alignment  0:	4.89172	3.87868	3.87996	3.5878	2.90918
Length   32, position   31, alignment  0:	4.84792	4.28535	4.3634	3.87912	2.90927
Length   32, position   31, alignment  7:	5.09076	4.64519	4.59154	4.82477	3.31042
Length   32, position   31, alignment  7:	5.55707	4.41519	4.73647	4.64516	2.58096
Length   30, position   31, alignment  0:	21.2237	5.161	4.95056	4.13042	4.15312
Length   30, position   31, alignment  0:	21.2316	5.20525	5.6777	3.61967	4.18379
Length   30, position   31, alignment  7:	20.0939	3.88242	4.4445	3.55598	3.45952
Length   30, position   31, alignment  7:	18.2634	4.00053	4.32397	3.55688	3.41801
Length   32, position    1, alignment  0:	18.8136	3.87859	3.91344	3.87886	3.88066
Length   32, position    2, alignment  0:	18.7206	4.12898	4.1302	3.94289	4.1302
