                    	simple_memrchr	__memrchr_avx2	__memrchr_avx2_rtm	__memrchr_evex	__memrchr_sse2
Length  512, position  128, alignment  4:	248.645	9.94942	10.7754	10.159	16.1842
Length  512, position  128, alignment  4:	256.947	10.3008	11.1522	10.1427	16.7651
Length  192, position  160, alignment  5:	25.8007	4.00101	5.47287	3.42917	4.57173
Length  192, position  160, alignment  5:	25.8049	4.04808	4.5726	2.85738	4.61668
Length  256, position  160, alignment  5:	62.2198	4.65227	5.76289	4.64728	6.8087
Length  256, position  160, alignment  5:	56.8074	4.24063	4.98155	4.48427	6.66351
Length  512, position  160, alignment  5:	231.026	10.3896	11.7641	10.0544	15.8337
Length  512, position  160, alignment  5:	207.692	9.28004	9.90999	9.52751	14.3661
Length  192, position  192, alignment  6:	112.867	9.12224	9.65791	8.47148	10.3824
Length  192, position  192, alignment  6:	97.5016	8.10521	8.72296	7.70576	11.5821
Length  256, position  192, alignment  6:	42.5385	4.40877	5.92604	4.74132	5.52237
Length  256, position  192, alignment  6:	43.4608	4.77206	5.70782	4.16228	4.36311
Length  512, position  192, alignment  6:	182.444	9.72981	11.1254	9.26244	14.9151
Length  512, position  192, alignment  6:	188.674	8.78613	10.3569	8.76385	13.5952
Length  192, position  224, alignment  7:	113.369	9.49306	9.96114	9.36684	12.2199
Length  192, position  224, alignment  7:	90.9209	7.09096	7.50136	6.99142	9.49963
Length  256, position  224, alignment  7:	20.0661	3.11131	3.9998	2.70518	3.55568
Length  256, position  224, alignment  7:	21.256	3.11127	3.99998	2.66682	3.59947
Length  512, position  224, alignment  7:	184.636	8.04057	7.7234	7.54984	12.2671
Length  512, position  224, alignment  7:	181.985	9.38622	9.77809	9.28291	14.4082
Length    2, position    1, alignment  0:	6.90965	4.41499	5.89075	3.88565	3.86295
Length    2, position    1, alignment  0:	5.75838	4.12914	5.62807	4.1367	4.64502
Length    2, position    1, alignment  1:	5.05089	4.12939	5.2711	3.68864	3.78589
Length    2, position    1, alignment  1:	6.11507	4.41379	5.51723	3.72771	3.79497
Length    0, position    1, alignment  0:	3.31061	3.90005	3.86343	3.33766	4.01128
Length    0, position    1, alignment  0:	3.31076	3.86293	3.09879	3.15331	4.64531
Length    0, position    1, alignment  1:	2.58078	3.93538	3.09789	3.09814	4.13118
Length    0, position    1, alignment  1:	3.13374	4.30809	3.43065	3.48172	3.99992
Length    2, position    1, alignment  0:	5.71408	4.61629	6.2856	3.87247	5.14287
Length    2, position    2, alignment  0:	4.5755	4.61295	6.29036	4.04562	5.14337
Length    3, position    2, alignment  0:	5.82495	4.57281	6.28575	4.53763	5.14297
Length    3, position    2, alignment  0:	6.32675	4.57277	5.61845	3.99992	4.00035
Length    3, position    2, alignment  2:	6.31853	4.54034	5.41507	3.24245	3.37125
Length    3, position    2, alignment  2:	5.37482	3.87891	5.81795	3.2775	3.33092
Length    1, position    2, alignment  0:	3.87898	4.89423	5.34254	4.36394	4.32559
Length    1, position    2, alignment  0:	3.87891	4.88496	5.33316	4.58766	3.88689
Length    1, position    2, alignment  2:	4.12915	4.76057	6.08737	4.12979	3.65675
Length    1, position    2, alignment  2:	4.41006	4.41406	6.26704	4.56491	3.46936
Length    3, position    1, alignment  0:	7.76199	4.4149	5.1015	4.41373	4.70071
Length    3, position    2, alignment  0:	6.62025	4.41512	5.62927	4.57153	4.03546
Length    4, position    3, alignment  0:	6.85641	4.60559	5.71114	3.99997	5.32043
Length    4, position    3, alignment  0:	7.1106	4.7841	4.74214	4.18259	5.33311
Length    4, position    3, alignment  3:	7.13705	4.74123	5.92819	3.99771	4.07135
Length    4, position    3, alignment  3:	7.15166	4.741	7.14886	3.96146	4.07925
Length    2, position    3, alignment  0:	6.94313	4.53148	3.91417	4.36377	4.33043
Length    2, position    3, alignment  0:	5.3763	3.55646	4.44418	3.38126	4.00012
Length    2, position    3, alignment  3:	5.33289	4.50598	4.446	3.55591	3.14886
Length    2, position    3, alignment  3:	5.33286	3.55554	4.90666	2.94402	3.11119
Length    4, position    1, alignment  0:	8.31949	3.8802	5.05963	3.6591	4.5571
Length    4, position    2, alignment  0:	6.81976	3.87883	4.39789	3.89638	3.39384
Length    5, position    4, alignment  0:	5.86272	3.87874	4.74391	3.39369	4.36346
Length    5, position    4, alignment  0:	5.86031	3.87851	4.94461	4.06395	4.64507
Length    5, position    4, alignment  4:	5.188	4.87822	5.81824	3.27626	3.33237
Length    5, position    4, alignment  4:	3.39699	4.92267	6.19351	3.4501	3.59427
Length    3, position    4, alignment  0:	7.01172	5.13057	6.28526	4.02655	5.10866
Length    3, position    4, alignment  0:	6.92271	5.58797	6.14267	5.1739	5.05432
Length    3, position    4, alignment  4:	5.87112	6.06891	7.01273	4.41429	4.0006
Length    3, position    4, alignment  4:	7.17175	5.55524	6.62053	4.44539	3.86224
Length    5, position    1, alignment  0:	10.5177	4.41496	6.00768	4.52646	3.11099
Length    5, position    2, alignment  0:	6.2627	3.5555	4.44496	3.58803	3.99963
Length    6, position    5, alignment  0:	3.99977	3.59447	4.00162	2.66821	3.99962
Length    6, position    5, alignment  0:	4.03387	3.55542	4.44524	3.54382	3.11108
Length    6, position    5, alignment  5:	4.44403	4.17065	5.33313	3.20779	3.37085
Length    6, position    5, alignment  5:	4.36336	4.36401	6.20833	3.82132	3.96347
Length    4, position    5, alignment  0:	8.29448	5.75111	6.20171	4.04228	5.14447
Length    4, position    5, alignment  0:	8.60333	5.71484	6.12325	4.57149	4.00719
Length    4, position    5, alignment  5:	8.80226	4.74112	7.73123	3.92569	4.69702
Length    4, position    5, alignment  5:	8.92073	5.22644	6.95395	4.43259	3.69682
Length    6, position    1, alignment  0:	7.94	3.55652	4.0491	3.55537	4.07089
Length    6, position    2, alignment  0:	9.49998	3.87975	4.71034	3.18736	3.99977
Length    7, position    6, alignment  0:	3.59947	3.5555	4.44525	3.14293	3.32828
Length    7, position    6, alignment  0:	3.99968	3.55551	4.4754	3.11122	3.99977
Length    7, position    6, alignment  6:	3.75334	4.44446	5.33324	2.99927	3.06247
Length    7, position    6, alignment  6:	3.99963	4.36383	5.33307	2.97078	3.08481
Length    5, position    6, alignment  0:	5.57349	4.44437	5.36154	3.33063	3.87891
Length    5, position    6, alignment  0:	7.27824	3.87875	5.58788	3.6201	4.64246
Length    5, position    6, alignment  6:	6.4848	5.90547	5.67427	3.65486	3.95316
Length    5, position    6, alignment  6:	7.06421	6.25916	5.714	4.52191	4.38536
Length    7, position    1, alignment  0:	8.99954	4.57123	4.57271	4.02826	5.14262
Length    7, position    2, alignment  0:	11.4704	4.57109	4.31871	4.57135	5.05482
Length    8, position    7, alignment  0:	6.85654	4.5713	6.28952	4.57121	5.16106
Length    8, position    7, alignment  0:	6.62007	4.45691	5.59135	3.88805	2.98183
Length    8, position    7, alignment  7:	5.81786	4.75519	5.81793	3.2419	3.42288
Length    8, position    7, alignment  7:	5.81776	4.84831	5.85542	3.24199	3.42741
Length    6, position    7, alignment  0:	8.94638	4.47092	5.33304	3.11855	4.03055
Length    6, position    7, alignment  0:	9.49333	4.88722	5.56404	3.67336	4.64528
Length    6, position    7, alignment  7:	10.3681	4.12914	5.88445	3.61316	3.67451
Length    6, position    7, alignment  7:	11.0723	4.45863	5.97391	4.21147	4.21213
Length    8, position    1, alignment  0:	14.4127	4.41487	4.45944	3.86223	4.96529
Length    8, position    2, alignment  0:	12.7412	4.61433	5.71492	4.42706	5.1425
Length    9, position    8, alignment  0:	5.14256	4.61211	6.28506	4.04179	5.14243
Length    9, position    8, alignment  0:	5.18001	4.68326	5.9269	4.58046	5.33307
Length    9, position    8, alignment  0:	5.37666	4.74077	5.97549	4.15764	5.3331
Length    9, position    8, alignment  0:	5.55649	4.5713	5.89783	3.38116	4.6449
Length    7, position    8, alignment  0:	7.8055	5.16132	5.71184	3.62117	4.64525
Length    7, position    8, alignment  0:	7.25868	4.1291	3.95251	3.62173	4.64517
Length    7, position    8, alignment  0:	7.7809	5.16129	5.12262	3.418	3.39607
Length    7, position    8, alignment  0:	7.31023	4.84845	4.40996	3.4055	2.91086
Length    9, position    1, alignment  0:	10.2336	3.92029	4.36356	3.39369	4.35406
Length    9, position    2, alignment  0:	7.9998	3.87982	3.91982	3.87611	4.36342
Length   10, position    9, alignment  0:	3.9189	3.87842	5.29114	3.62384	4.36354
Length   10, position    9, alignment  0:	4.39339	3.87863	4.36566	3.59464	4.88947
Length   10, position    9, alignment  1:	4.96489	5.55788	6.54274	3.68756	3.61028
Length   10, position    9, alignment  1:	5.16061	5.19284	6.20471	3.78372	3.92743
Length    8, position    9, alignment  0:	10.3301	5.71399	5.41808	5.14279	5.17398
Length    8, position    9, alignment  0:	10.0263	5.75728	5.71472	4.91472	5.14275
Length    8, position    9, alignment  1:	10.0018	4.57167	6.4608	4.57147	4.03384
Length    8, position    9, alignment  1:	9.80933	4.76982	6.31758	4.25737	4.00006
Length   10, position    1, alignment  0:	12.6427	4.57123	4.61345	4.57124	5.1758
Length   10, position    2, alignment  0:	12.0574	4.5712	5.71507	4.03185	5.14264
Length   11, position   10, alignment  0:	5.18085	4.57237	6.28502	4.61453	4.23421
Length   11, position   10, alignment  0:	4.02754	3.82028	3.88188	3.39394	4.39243
Length   11, position   10, alignment  2:	4.36343	4.87415	4.85001	3.24074	3.36217
Length   11, position   10, alignment  2:	4.36337	4.84846	4.89893	3.24062	3.53836
Length    9, position   10, alignment  0:	9.0909	5.16121	4.30916	4.13054	4.64513
Length    9, position   10, alignment  0:	8.37621	5.21309	5.16234	4.13016	4.68269
Length    9, position   10, alignment  2:	8.77879	4.64848	4.84842	3.84058	3.0529
Length    9, position   10, alignment  2:	9.82578	4.36375	5.36148	3.90735	3.05078
Length   11, position    1, alignment  0:	8.7905	3.87975	4.28961	3.58699	3.55536
Length   11, position    2, alignment  0:	9.83929	3.55528	3.55676	3.0498	3.9998
Length   12, position   11, alignment  0:	3.99971	3.59612	3.55745	3.55539	3.99974
Length   12, position   11, alignment  0:	3.63936	3.55531	4.0002	3.33075	4
Length   12, position   11, alignment  3:	4.25368	4.89294	4.84984	3.24051	3.35875
Length   12, position   11, alignment  3:	4.23885	4.44441	5.36647	2.97076	3.06116
Length   10, position   11, alignment  0:	8.26399	3.88002	4.88368	3.40381	4.36356
Length   10, position   11, alignment  0:	8.7713	3.87996	5.3746	3.4122	2.91182
Length   10, position   11, alignment  3:	8.37714	4.36383	5.45689	3.21178	3.39398
Length   10, position   11, alignment  3:	8.69017	4.25478	4.88936	3.55548	3.12206
Length   12, position    1, alignment  0:	12.8087	4.60207	5.7137	3.49384	5.1427
Length   12, position    2, alignment  0:	10.6369	4.57341	4.60529	4.5713	4.00053
Length   13, position   12, alignment  0:	5.36255	4.57103	5.33989	3.99307	5.14275
Length   13, position   12, alignment  0:	4.40634	4.57109	4.57265	4.04359	5.14243
Length   13, position   12, alignment  4:	5.18643	5.6369	5.98665	3.68956	4.2961
Length   13, position   12, alignment  4:	4.40587	4.56909	4.44547	3.01624	3.5555
Length   11, position   12, alignment  0:	9.29559	3.55659	4.00163	4.03934	4.29277
Length   11, position   12, alignment  0:	9.74158	4.84856	4.79889	3.42065	4.40685
Length   11, position   12, alignment  4:	10.6753	4.1942	6.15024	3.86284	4.57147
Length   11, position   12, alignment  4:	11.5705	4.96552	6.09166	3.91872	3.474
Length   13, position    1, alignment  0:	15.5859	4.61179	5.1425	4.0209	4.00066
Length   13, position    2, alignment  0:	13.506	4.12904	4.44827	3.95145	4.64497
Length   14, position   13, alignment  0:	5.2	4.12895	4.12999	3.98007	4.36346
Length   14, position   13, alignment  0:	4.40753	3.39424	3.88213	3.39423	4.29996
Length   14, position   13, alignment  5:	3.99937	4.44429	4.47786	2.97057	4.44461
Length   14, position   13, alignment  5:	4.04205	4.44414	4.44566	3.00275	4.00014
Length   12, position   13, alignment  0:	11.1532	4.44432	5.09302	3.55658	3.99982
Length   12, position   13, alignment  0:	13.1719	5.74861	6.68813	4.28464	5.33327
Length   12, position   13, alignment  5:	14.8502	4.80383	7.11076	4.17885	5.92688
Length   12, position   13, alignment  5:	14.8401	4.74077	7.11087	4.76851	5.88942
Length   14, position    1, alignment  0:	17.1956	4.57272	4.58549	4.25624	4
Length   14, position    2, alignment  0:	14.0283	3.59317	3.55858	3.55544	4.03619
Length   15, position   14, alignment  0:	3.99971	3.55542	3.55751	3.15009	3.99965
Length   15, position   14, alignment  0:	3.9994	3.60025	4.00175	3.55553	4.04266
Length   15, position   14, alignment  6:	3.99934	4.44446	5.3779	2.97046	4.44431
Length   15, position   14, alignment  6:	4.05045	4.4442	5.36397	2.97018	3.99979
Length   13, position   14, alignment  0:	12.9144	4.48135	5.33315	3.99994	4.04277
Length   13, position   14, alignment  0:	12.9231	4.4444	5.33298	3.58414	4.00002
Length   13, position   14, alignment  6:	12.9182	3.99998	4.51053	2.94475	4.44434
