                    	simple_STRCHR	__strchr_avx2	__strchr_avx2_rtm	__strchr_evex	__strchr_sse2_no_bsf	__strchr_sse2
Length    5, alignment in bytes  0:	10.5712	2.75896	4.41353	2.82594	4.66826	2.85745
Length    6, alignment in bytes  0:	12.6716	2.85721	4.61526	2.85709	5.14328	2.88705
Length    6, alignment in bytes  0:	13.7524	2.85719	4.57092	2.90575	5.14275	2.85742
Length    7, alignment in bytes  0:	14.3882	2.88951	4.571	2.85712	5.61121	2.85747
Length    7, alignment in bytes  0:	15.4593	2.85709	4.60719	2.85713	5.75549	2.85748
Length    8, alignment in bytes  0:	17.7573	2.85721	4.0262	2.85733	4.5733	2.88727
Length    8, alignment in bytes  0:	17.7482	2.85724	4.03828	2.85709	4.57289	2.888
Length    9, alignment in bytes  0:	19.4706	2.85707	4.60577	2.85722	4.57335	2.89302
Length    9, alignment in bytes  0:	19.457	2.8573	4.61237	2.85716	4.57248	2.90121
Length   10, alignment in bytes  0:	21.2397	2.89171	4.57115	2.85721	5.42439	2.85732
Length   10, alignment in bytes  0:	21.2566	2.85715	4.57108	2.89355	5.14284	2.85736
Length   11, alignment in bytes  0:	23.2726	2.96306	4.49287	2.96317	5.6301	3.00697
Length   11, alignment in bytes  0:	23.8904	2.90915	4.57091	2.85719	5.76001	2.85753
Length   12, alignment in bytes  0:	25.3402	2.96321	4.77582	2.96312	5.3764	2.9632
Length   12, alignment in bytes  0:	24.8878	2.85713	4.57123	2.90121	5.14252	2.85728
Length   13, alignment in bytes  0:	26.3807	2.9558	4.14828	2.96313	5.3672	2.96352
Length   13, alignment in bytes  0:	26.7377	2.92982	4.60706	2.85716	5.18565	2.85765
Length   14, alignment in bytes  0:	28.0819	2.85715	4.60388	2.85715	5.77907	3.00777
Length   14, alignment in bytes  0:	28.6647	2.85728	4.61325	2.85713	5.71432	2.88872
Length   15, alignment in bytes  0:	29.7924	2.85716	4.60231	2.85718	5.20782	2.86038
Length   15, alignment in bytes  0:	29.8323	2.85712	4.61877	2.85719	5.20552	2.85768
Length   16, alignment in bytes  0:	30.9745	2.75879	4.45229	2.75868	5.02756	4.75708
Length   16, alignment in bytes  0:	31.4414	2.85704	4.45876	2.85713	5.20386	4.9257
Length   17, alignment in bytes  0:	33.2654	2.85722	4.571	2.85718	5.75194	4.88698
Length   17, alignment in bytes  0:	33.9108	2.96312	4.786	2.96297	5.92656	5.12387
Length   18, alignment in bytes  0:	35.8057	2.85721	4.57095	2.89497	6.40549	4.91562
Length   18, alignment in bytes  0:	33.9404	2.91612	4.57086	2.85715	6.44569	4.88689
Length   19, alignment in bytes  0:	36.857	2.85721	4.60941	2.85718	6.65126	4.72055
Length   19, alignment in bytes  0:	36.3516	2.85721	4.62074	2.85727	6.69708	4.9346
Length   20, alignment in bytes  0:	38.4513	2.8571	4.57109	2.90204	5.4906	5.00455
Length   20, alignment in bytes  0:	37.2515	2.85718	4.571	2.85722	5.52431	4.8649
Length   21, alignment in bytes  0:	39.026	2.85715	4.57089	2.85715	6.1615	4.88809
Length   21, alignment in bytes  0:	38.9888	2.8979	4.57104	2.85712	6.15155	4.88748
Length   22, alignment in bytes  0:	40.1933	2.85707	4.57109	2.85716	6.86543	4.88902
Length   22, alignment in bytes  0:	39.5194	2.7588	4.41368	2.75871	6.52675	4.71942
Length   23, alignment in bytes  0:	40.9788	2.7588	4.50406	2.90231	7.00188	4.88739
Length   23, alignment in bytes  0:	42.3767	2.85712	4.61531	2.85718	6.9976	5.11182
Length   24, alignment in bytes  0:	43.6781	2.89388	4.57101	2.85719	6.33081	4.88747
Length   24, alignment in bytes  0:	45.2956	2.85724	4.57097	2.89854	6.28523	5.01035
Length   25, alignment in bytes  0:	47.0503	2.85716	4.57115	2.85725	6.32774	4.88063
Length   25, alignment in bytes  0:	47.0156	2.85719	4.61626	2.85713	6.28543	4.93208
