                                	simple_strpbrk	__strpbrk_sse42	__strpbrk_sse2
Length   14, alignment  0, rej len  6:	105.49	5.82031	34.6191
Length   15, alignment  0, rej len  6:	75.9014	5.03125	35.04
Length   16, alignment  0, rej len  6:	80.0254	7.81934	35.3848
Length   17, alignment  0, rej len  6:	85.0947	8.0498	35.668
Length   18, alignment  0, rej len  6:	93.7627	6.75879	38.0244
Length   19, alignment  0, rej len  6:	101.017	8.03516	38.4766
Length   20, alignment  0, rej len  6:	102.159	6.69727	38.7559
Length   21, alignment  0, rej len  6:	106.055	8.38281	39.3945
Length   22, alignment  0, rej len  6:	110.907	6.64551	40.2344
Length   23, alignment  0, rej len  6:	115.727	8.0293	40.6143
Length   24, alignment  0, rej len  6:	122.882	6.6582	42.4365
Length   25, alignment  0, rej len  6:	127.978	8.03613	43.209
Length   26, alignment  0, rej len  6:	130.34	6.96387	44.0371
Length   27, alignment  0, rej len  6:	136.617	6.64746	44.4922
Length   28, alignment  0, rej len  6:	143.319	6.68457	44.2451
Length   29, alignment  0, rej len  6:	147.442	6.65527	45.8496
Length   30, alignment  0, rej len  6:	149.763	8.61426	45.873
Length   31, alignment  0, rej len  6:	158.277	8.03125	46.6709
Length   32, alignment  0, rej len  6:	155.997	10.1426	45.8408
Length   33, alignment  0, rej len  6:	145.919	6.97852	37.4316
Length   34, alignment  0, rej len  6:	157.801	6.73047	38.3545
Length   35, alignment  0, rej len  6:	160.705	6.8252	38.8262
Length   36, alignment  0, rej len  6:	155.252	6.7666	39.2275
Length   37, alignment  0, rej len  6:	154.221	6.90625	39.0986
Length   38, alignment  0, rej len  6:	178.05	8.24316	40.5664
Length   39, alignment  0, rej len  6:	168.209	7.95605	39.1025
Length   40, alignment  0, rej len  6:	178.658	6.75	41.1104
Length   41, alignment  0, rej len  6:	172.447	7.9541	41.3906
Length   42, alignment  0, rej len  6:	175.988	6.75977	42.4717
Length   43, alignment  0, rej len  6:	182.597	6.7998	41.7139
Length   44, alignment  0, rej len  6:	195.989	7.36328	43.1963
Length   45, alignment  0, rej len  6:	184.435	7.62109	42.3887
Length   46, alignment  0, rej len  6:	193	7.93652	43.043
Length   47, alignment  0, rej len  6:	203.887	7.94727	43.3584
Length   48, alignment  0, rej len  6:	197.531	8.59863	44.7148
Length   49, alignment  0, rej len  6:	205.348	8.57031	44.9395
Length   50, alignment  0, rej len  6:	214.961	8.55371	45.8662
Length   51, alignment  0, rej len  6:	213.598	9.78613	45.7021
