                            	generic_wcsncat	wcsncat
Length  256/   1, alignment  2/ 5, N    8:	21.3317	21.3913
Length  256/  10, alignment  5/ 5, N    8:	26.2701	26.1356
Length  512/   1, alignment  6/ 4, N    8:	20.7288	20.6238
Length  512/   1, alignment  4/ 6, N    8:	20.5702	18.7122
Length  512/  10, alignment  6/ 6, N    8:	19.0994	19.0486
Length 1024/   1, alignment  7/ 6, N    8:	18.6332	18.4426
Length 1024/   1, alignment  6/ 7, N    8:	17.4987	17.4533
Length 1024/  10, alignment  7/ 7, N    8:	17.9391	17.9845
Length    2/   2, alignment  0/ 2, N   32:	17.455	17.4938
Length    4/   4, alignment  0/ 0, N   32:	17.5063	17.4531
Length    4/   4, alignment  4/ 0, N   32:	17.4651	16.9545
Length    8/   8, alignment  0/ 0, N   32:	16.889	17.0599
Length    8/   8, alignment  0/ 0, N   32:	18.4823	18.4231
Length   16/  16, alignment  0/ 0, N   32:	18.5945	18.4629
Length   16/  16, alignment  7/ 2, N   32:	21.4397	21.382
Length   16/   4, alignment  0/ 0, N   32:	20.8483	20.9105
Length   16/   4, alignment  7/ 2, N   32:	20.8475	21.0484
Length   32/  32, alignment  0/ 0, N   32:	22.088	22.571
Length   32/  32, alignment  6/ 4, N   32:	25.5157	25.9814
Length   32/   8, alignment  0/ 0, N   32:	27.022	26.4016
Length   32/   8, alignment  6/ 4, N   32:	26.1724	27.157
Length   64/  64, alignment  0/ 0, N   32:	25.8521	26.1605
Length   64/  64, alignment  5/ 6, N   32:	29.9582	29.4194
Length   64/  16, alignment  0/ 0, N   32:	22.5201	22.8312
Length   64/  16, alignment  5/ 6, N   32:	26.0732	26.1288
Length  128/ 128, alignment  0/ 0, N   32:	25.8074	25.6503
Length  128/ 128, alignment  4/ 0, N   32:	25.8391	24.5206
Length  128/  32, alignment  0/ 0, N   32:	20.0138	18.4227
Length  128/  32, alignment  4/ 0, N   32:	18.5585	18.5532
Length  256/ 256, alignment  0/ 0, N   32:	24.0946	23.4152
Length  256/ 256, alignment  3/ 2, N   32:	24.2117	22.5746
Length  256/  64, alignment  0/ 0, N   32:	19.3185	19.5219
Length  256/  64, alignment  3/ 2, N   32:	22.5901	22.1429
Length  512/ 512, alignment  0/ 0, N   32:	28.0499	25.9055
Length  512/ 512, alignment  2/ 4, N   32:	27.5537	28.4182
Length  512/ 128, alignment  0/ 0, N   32:	19.3017	19.3055
Length  512/ 128, alignment  2/ 4, N   32:	22.2051	22.0889
Length 1024/ 256, alignment  0/ 0, N   32:	20.9531	21.465
Length 1024/ 256, alignment  1/ 6, N   32:	22.6194	22.5549
Length   16/   1, alignment  1/ 2, N   32:	19.1099	19.1571
Length   16/   1, alignment  2/ 1, N   32:	19.1092	19.1639
Length   16/  10, alignment  1/ 1, N   32:	19.5532	19.5555
Length   32/   1, alignment  2/ 4, N   32:	19.1629	19.6434
Length   32/   1, alignment  4/ 2, N   32:	19.1582	19.3752
Length   32/  10, alignment  2/ 2, N   32:	19.6301	20.5953
Length   64/   1, alignment  3/ 6, N   32:	24.2123	25.7955
Length   64/   1, alignment  6/ 3, N   32:	25.4797	25.8932
Length   64/  10, alignment  3/ 3, N   32:	26.1737	26.8698
Length  128/   1, alignment  4/ 0, N   32:	25.6541	25.835
Length  128/   1, alignment  0/ 4, N   32:	26.0295	25.48
Length  128/  10, alignment  4/ 4, N   32:	26.3312	26.5848
Length  256/   1, alignment  5/ 2, N   32:	25.6102	25.8347
Length  256/   1, alignment  2/ 5, N   32:	25.6481	26.1904
Length  256/  10, alignment  5/ 5, N   32:	26.3506	25.6972
Length  512/   1, alignment  6/ 4, N   32:	24.7402	24.4682
Length  512/   1, alignment  4/ 6, N   32:	22.3891	22.8103
Length  512/  10, alignment  6/ 6, N   32:	19.8424	19.6161
Length 1024/   1, alignment  7/ 6, N   32:	21.7268	21.4274
Length 1024/   1, alignment  6/ 7, N   32:	20.8471	21.5649
Length 1024/  10, alignment  7/ 7, N   32:	21.3336	21.4778
Length    2/   2, alignment  0/ 2, N  128:	17.4564	17.6285
Length    4/   4, alignment  0/ 0, N  128:	17.534	17.4534
Length    4/   4, alignment  4/ 0, N  128:	17.7986	17.9669
Length    8/   8, alignment  0/ 0, N  128:	17.9396	17.5802
Length    8/   8, alignment  0/ 0, N  128:	16.6276	16.9133
Length   16/  16, alignment  0/ 0, N  128:	17.4955	16.9832
Length   16/  16, alignment  7/ 2, N  128:	19.7407	19.5535
Length   16/   4, alignment  0/ 0, N  128:	19.1114	19.2867
Length   16/   4, alignment  7/ 2, N  128:	19.1088	19.183
Length   32/  32, alignment  0/ 0, N  128:	20.1035	22.5178
Length   32/  32, alignment  6/ 4, N  128:	25.8185	25.141
Length   32/   8, alignment  0/ 0, N  128:	25.5814	26.0721
Length   32/   8, alignment  6/ 4, N  128:	26.541	26.25
Length   64/  64, alignment  0/ 0, N  128:	30.2205	30.4303
Length   64/  64, alignment  5/ 6, N  128:	32.8066	33.0154
Length   64/  16, alignment  0/ 0, N  128:	26.8597	26.6749
Length   64/  16, alignment  5/ 6, N  128:	29.4387	29.5012
Length  128/ 128, alignment  0/ 0, N  128:	32.0834	31.7789
Length  128/ 128, alignment  4/ 0, N  128:	29.587	27.1343
Length  128/  32, alignment  0/ 0, N  128:	23.5208	23.5952
Length  128/  32, alignment  4/ 0, N  128:	22.7001	22.7985
Length  256/ 256, alignment  0/ 0, N  128:	27.9778	27.5625
Length  256/ 256, alignment  3/ 2, N  128:	30.5293	30.5184
Length  256/  64, alignment  0/ 0, N  128:	25.8296	25.5677
Length  256/  64, alignment  3/ 2, N  128:	30.0627	32.3092
Length  512/ 512, alignment  0/ 0, N  128:	37.1629	40.6017
Length  512/ 512, alignment  2/ 4, N  128:	44.8384	44.6934
Length  512/ 128, alignment  0/ 0, N  128:	32.7942	32.6152
