                    	simple_STRCHRNUL	__strchrnul_avx2	__strchrnul_avx2_rtm	__strchrnul_evex	__strchrnul_sse2
Length    9, alignment in bytes  0:	11.5034	2.42433	2.90942	2.45232	2.42438
Length   10, alignment in bytes  0:	10.7714	2.61081	3.42747	2.85689	2.89549
Length   10, alignment in bytes  0:	12.68	2.85713	3.42909	2.85699	2.90785
Length   11, alignment in bytes  0:	14.3201	2.85715	3.99985	2.9006	2.85719
Length   11, alignment in bytes  0:	14.3236	2.85808	3.47696	2.85716	2.85719
Length   12, alignment in bytes  0:	16.0376	2.90308	3.98029	2.85713	2.85709
Length   12, alignment in bytes  0:	15.5087	2.58061	3.09711	2.58055	2.58054
Length   13, alignment in bytes  0:	16.1154	2.7587	3.85521	2.80496	2.75873
Length   13, alignment in bytes  0:	16.1137	2.5807	3.13493	2.58086	2.58072
Length   14, alignment in bytes  0:	15.5303	2.62737	3.09682	2.5807	2.58073
Length   14, alignment in bytes  0:	15.52	2.62524	3.09679	2.5807	2.58083
Length   15, alignment in bytes  0:	12.2704	2.81181	3.31062	2.7587	2.75876
Length   15, alignment in bytes  0:	12.2011	2.62363	3.61302	2.58073	2.58081
Length   16, alignment in bytes  0:	12.4839	2.49402	2.90913	2.42436	3.912
Length   16, alignment in bytes  0:	11.9337	2.42436	3.34048	2.4243	3.88167
Length   17, alignment in bytes  0:	13.2174	2.51248	2.90924	2.42435	3.88004
Length   17, alignment in bytes  0:	12.5614	2.62003	3.09686	2.58069	4.12914
Length   18, alignment in bytes  0:	13.4856	2.605	3.61298	2.58072	4.17477
Length   18, alignment in bytes  0:	13.496	2.74745	3.42854	2.85725	4.62125
Length   19, alignment in bytes  0:	15.524	2.85704	4.02184	2.8571	4.57413
Length   19, alignment in bytes  0:	15.5383	2.89314	3.42845	2.85718	4.61809
Length   20, alignment in bytes  0:	17.1739	2.85712	3.52379	2.85713	4.57242
Length   20, alignment in bytes  0:	16.7506	2.85718	3.71417	2.58095	4.17499
Length   21, alignment in bytes  0:	15.6098	2.58067	3.09737	2.62437	4.12891
Length   21, alignment in bytes  0:	15.6032	2.74925	3.88451	2.75871	4.41539
Length   22, alignment in bytes  0:	16.4575	2.58069	3.60762	2.58066	4.16425
Length   22, alignment in bytes  0:	15.5714	2.58084	3.64096	2.58064	4.12935
Length   23, alignment in bytes  0:	16.0905	2.61313	3.08949	2.42433	3.87996
Length   23, alignment in bytes  0:	14.2314	2.22224	2.66685	2.25999	3.55824
Length   24, alignment in bytes  0:	14.3339	2.22221	2.66693	2.22224	3.5578
Length   24, alignment in bytes  0:	16.1062	2.22226	2.66655	2.22217	3.82082
Length   25, alignment in bytes  0:	17.0072	2.58073	3.28221	2.58066	4.13023
Length   25, alignment in bytes  0:	23.458	2.58083	3.14713	2.58063	4.19365
Length   26, alignment in bytes  0:	21.4722	2.85721	3.42896	2.90474	4.57269
Length   26, alignment in bytes  0:	21.8933	2.85709	3.42876	2.88518	4.57135
Length   27, alignment in bytes  0:	20.1277	2.8573	3.42859	2.8571	4.59747
Length   27, alignment in bytes  0:	20.2157	2.90051	3.42856	2.85718	4.40024
Length   28, alignment in bytes  0:	18.0751	2.42444	2.90915	2.45941	3.88162
Length   28, alignment in bytes  0:	18.5621	2.58893	3.39133	2.42435	4.04974
Length   29, alignment in bytes  0:	19.2132	2.58067	3.09705	2.62344	4.1337
Length   29, alignment in bytes  0:	18.9361	2.58076	3.61284	2.58054	4.16937
Length   30, alignment in bytes  0:	18.5452	2.42429	3.42464	2.42426	3.87953
Length   30, alignment in bytes  0:	18.6155	2.42433	2.9093	2.42424	3.91089
Length   31, alignment in bytes  0:	19.5923	2.58084	3.12971	2.58087	4.13147
Length   31, alignment in bytes  0:	19.9242	2.58067	3.09654	2.74243	4.57248
Length   32, alignment in bytes  0:	21.8559	4.00053	4.0005	4.0329	4.57382
Length   32, alignment in bytes  1:	21.8537	3.42986	4.04288	3.99994	4.57295
Length   64, alignment in bytes  0:	40.2229	3.61365	4.87715	3.60043	7.09875
Length   64, alignment in bytes  2:	33.1372	3.39407	3.39862	4.09319	8.26219
Length  128, alignment in bytes  0:	65.9113	4.50677	4.47667	4.36386	9.79584
Length  128, alignment in bytes  3:	73.8486	5.33762	5.38075	5.3338	11.9637
Length  256, alignment in bytes  0:	168.51	9.67015	10.3931	9.56454	17.2514
Length  256, alignment in bytes  4:	169.316	8.7487	9.29831	7.86797	14.197
Length  512, alignment in bytes  0:	304.216	15.4202	15.4725	13.5292	26.6124
Length  512, alignment in bytes  5:	301.363	13.3164	13.1689	11.4468	23.6641
Length 1024, alignment in bytes  0:	591.656	26.7467	26.1672	19.9445	42.9497
