                       	strcasestr	simple_strcasestr
Length   48/4, alignment 15/15, found:	57.7734	98.0547
Length   48/4, alignment 15/15, fail:	52.4453	96.5859
Length   52/4, alignment  0/ 0, found:	61.1016	103.234
Length   52/4, alignment  0/ 0, fail:	55.4375	101.711
Length   52/4, alignment  0/ 3, found:	58.375	102.281
Length   52/4, alignment  0/ 3, fail:	54.9062	100
Length   52/4, alignment  0/ 9, found:	60.7969	102.445
Length   52/4, alignment  0/ 9, fail:	54.9922	100.562
Length   52/4, alignment  0/15, found:	61.3281	102.266
Length   52/4, alignment  0/15, fail:	55.2188	100.375
Length   52/4, alignment  3/ 0, found:	60.6484	103.297
Length   52/4, alignment  3/ 0, fail:	54.8203	100.477
Length   52/4, alignment  3/ 3, found:	61.0156	103.344
Length   52/4, alignment  3/ 3, fail:	54.7969	101.25
Length   52/4, alignment  3/ 9, found:	60.9141	103.391
Length   52/4, alignment  3/ 9, fail:	54.8594	99.8516
Length   52/4, alignment  3/15, found:	60.6328	101.586
Length   52/4, alignment  3/15, fail:	54.9141	99.8672
Length   52/4, alignment  9/ 0, found:	60.1328	102.477
Length   52/4, alignment  9/ 0, fail:	54.8906	99.8516
Length   52/4, alignment  9/ 3, found:	60.6953	101.938
Length   52/4, alignment  9/ 3, fail:	54.8359	100.258
Length   52/4, alignment  9/ 9, found:	60.6953	103.336
Length   52/4, alignment  9/ 9, fail:	54.9141	100.484
Length   52/4, alignment  9/15, found:	60.5234	102.305
Length   52/4, alignment  9/15, fail:	55.0078	101.406
Length   52/4, alignment 15/ 0, found:	59.3906	102.891
Length   52/4, alignment 15/ 0, fail:	78.3125	100.383
Length   52/4, alignment 15/ 3, found:	61.9297	102.211
Length   52/4, alignment 15/ 3, fail:	55.0156	100.633
Length   52/4, alignment 15/ 9, found:	60.6953	102.227
Length   52/4, alignment 15/ 9, fail:	54.7109	100.477
Length   52/4, alignment 15/15, found:	60.7344	102.125
Length   52/4, alignment 15/15, fail:	55.2891	101.383
Length   56/4, alignment  0/ 0, found:	63.625	108.586
Length   56/4, alignment  0/ 0, fail:	57.4531	104.953
Length   56/4, alignment  0/ 3, found:	63.2422	106.773
Length   56/4, alignment  0/ 3, fail:	57.2266	104.781
Length   56/4, alignment  0/ 9, found:	63.0156	107.453
Length   56/4, alignment  0/ 9, fail:	57.7969	104.078
Length   56/4, alignment  0/15, found:	62.7109	106.211
Length   56/4, alignment  0/15, fail:	57.4922	105.734
Length   56/4, alignment  3/ 0, found:	64.0078	106.219
Length   56/4, alignment  3/ 0, fail:	57.5625	104.031
Length   56/4, alignment  3/ 3, found:	62.9219	106
Length   56/4, alignment  3/ 3, fail:	57.2188	104.742
Length   56/4, alignment  3/ 9, found:	62.875	106.133
Length   56/4, alignment  3/ 9, fail:	56.9609	103.961
Length   56/4, alignment  3/15, found:	62.6719	106.055
Length   56/4, alignment  3/15, fail:	57.5	104.562
Length   56/4, alignment  9/ 0, found:	63.0625	107.812
Length   56/4, alignment  9/ 0, fail:	57.5078	104.836
Length   56/4, alignment  9/ 3, found:	62.9453	106.578
Length   56/4, alignment  9/ 3, fail:	56.7734	104.562
Length   56/4, alignment  9/ 9, found:	62.7656	106.406
Length   56/4, alignment  9/ 9, fail:	56.9219	104.711
Length   56/4, alignment  9/15, found:	63.8828	106.219
Length   56/4, alignment  9/15, fail:	58.1875	104.703
Length   56/4, alignment 15/ 0, found:	62.8516	107.531
Length   56/4, alignment 15/ 0, fail:	57.6484	104.469
Length   56/4, alignment 15/ 3, found:	63.8047	106
Length   56/4, alignment 15/ 3, fail:	57	122.945
Length   56/4, alignment 15/ 9, found:	62.5938	107.211
Length   56/4, alignment 15/ 9, fail:	58.1562	104.75
Length   56/4, alignment 15/15, found:	61.8672	106.859
Length   56/4, alignment 15/15, fail:	55.6641	104.578
Length   60/4, alignment  0/ 0, found:	65.25	110.719
Length   60/4, alignment  0/ 0, fail:	61.1953	109.633
Length   60/4, alignment  0/ 3, found:	64.5078	111.781
Length   60/4, alignment  0/ 3, fail:	59.3125	108.68
Length   60/4, alignment  0/ 9, found:	66.2891	110.664
Length   60/4, alignment  0/ 9, fail:	58.7344	109.719
Length   60/4, alignment  0/15, found:	64.8906	110.68
Length   60/4, alignment  0/15, fail:	59.2188	108.602
Length   60/4, alignment  3/ 0, found:	64.8438	112.102
Length   60/4, alignment  3/ 0, fail:	58.8984	108.633
Length   60/4, alignment  3/ 3, found:	66.2578	111.758
Length   60/4, alignment  3/ 3, fail:	60.25	108.945
Length   60/4, alignment  3/ 9, found:	66.3047	110.547
Length   60/4, alignment  3/ 9, fail:	59.1641	108.992
Length   60/4, alignment  3/15, found:	64.4844	110.961
Length   60/4, alignment  3/15, fail:	58.9297	108.773
Length   60/4, alignment  9/ 0, found:	65.1719	112.258
Length   60/4, alignment  9/ 0, fail:	59.1797	109.117
Length   60/4, alignment  9/ 3, found:	65.2344	111.703
Length   60/4, alignment  9/ 3, fail:	60.1562	108.781
Length   60/4, alignment  9/ 9, found:	64.8906	111.078
Length   60/4, alignment  9/ 9, fail:	59.3594	108.703
Length   60/4, alignment  9/15, found:	64.6953	110.852
Length   60/4, alignment  9/15, fail:	59.3516	108.703
Length   60/4, alignment 15/ 0, found:	64.2266	110.648
Length   60/4, alignment 15/ 0, fail:	59.4141	108.586
Length   60/4, alignment 15/ 3, found:	65.0312	111.859
Length   60/4, alignment 15/ 3, fail:	58.9062	113.5
Length   60/4, alignment 15/ 9, found:	60.7422	103.945
Length   60/4, alignment 15/ 9, fail:	75.9062	102.469
Length   60/4, alignment 15/15, found:	61.1016	104.148
Length   60/4, alignment 15/15, fail:	55.4688	101.867
Length   10/5, alignment  0/ 0, found:	36.2578	64.5312
Length   10/5, alignment  0/ 0, fail:	31.6797	61.5078
Length   10/5, alignment  0/ 3, found:	40.1328	63.7344
Length   10/5, alignment  0/ 3, fail:	34.7266	61.2109
Length   10/5, alignment  0/ 9, found:	36.0703	63.3125
Length   10/5, alignment  0/ 9, fail:	35.5	61.0781
Length   10/5, alignment  0/15, found:	39.3984	64.1562
Length   10/5, alignment  0/15, fail:	34.4688	61.9922
Length   10/5, alignment  3/ 0, found:	39.5312	63.7031
Length   10/5, alignment  3/ 0, fail:	35.9297	60.9219
Length   10/5, alignment  3/ 3, found:	39.4453	63.6172
Length   10/5, alignment  3/ 3, fail:	34.4375	60.8203
Length   10/5, alignment  3/ 9, found:	36.9531	63.3828
Length   10/5, alignment  3/ 9, fail:	32.4219	61.1172
Length   10/5, alignment  3/15, found:	39.7891	63.7109
Length   10/5, alignment  3/15, fail:	35.0156	61.3984
Length   10/5, alignment  9/ 0, found:	39.3828	63.2891
Length   10/5, alignment  9/ 0, fail:	34.5781	61.9375
Length   10/5, alignment  9/ 3, found:	39.6016	63.6094
Length   10/5, alignment  9/ 3, fail:	31.9219	60.7578
Length   10/5, alignment  9/ 9, found:	38.7266	63.9688
Length   10/5, alignment  9/ 9, fail:	32.3984	62.7109
Length   10/5, alignment  9/15, found:	47.375	65.9766
Length   10/5, alignment  9/15, fail:	36.1484	63.4766
Length   10/5, alignment 15/ 0, found:	46.5391	65.625
Length   10/5, alignment 15/ 0, fail:	36.125	63.375
Length   10/5, alignment 15/ 3, found:	47	64.9609
Length   10/5, alignment 15/ 3, fail:	36.1094	62.8828
Length   10/5, alignment 15/ 9, found:	46.8828	65.3203
Length   10/5, alignment 15/ 9, fail:	35.7031	63.3516
Length   10/5, alignment 15/15, found:	46.9609	65.9922
Length   10/5, alignment 15/15, fail:	36.1172	63.7734
Length   15/5, alignment  0/ 0, found:	48.8516	71.9219
Length   15/5, alignment  0/ 0, fail:	37.0469	68.375
Length   15/5, alignment  0/ 3, found:	47.5703	73.7188
Length   15/5, alignment  0/ 3, fail:	36.2578	70.7734
Length   15/5, alignment  0/ 9, found:	43.2266	73.1641
Length   15/5, alignment  0/ 9, fail:	38.9062	70.9062
Length   15/5, alignment  0/15, found:	43.6094	73.3359
Length   15/5, alignment  0/15, fail:	37.5234	69.9453
Length   15/5, alignment  3/ 0, found:	41.7344	73.7109
Length   15/5, alignment  3/ 0, fail:	38.1484	70.0078
Length   15/5, alignment  3/ 3, found:	43.9219	73.5938
Length   15/5, alignment  3/ 3, fail:	38.5	70.3672
Length   15/5, alignment  3/ 9, found:	43.8672	72.5859
Length   15/5, alignment  3/ 9, fail:	37.2578	70.8672
Length   15/5, alignment  3/15, found:	44.1406	73.3828
Length   15/5, alignment  3/15, fail:	38.9688	93.9453
Length   15/5, alignment  9/ 0, found:	42.9609	72.0234
Length   15/5, alignment  9/ 0, fail:	36.625	69.1328
Length   15/5, alignment  9/ 3, found:	42.8125	71.9453
Length   15/5, alignment  9/ 3, fail:	37.8828	69.2188
Length   15/5, alignment  9/ 9, found:	43.7891	72.4766
Length   15/5, alignment  9/ 9, fail:	38.1562	69.5
Length   15/5, alignment  9/15, found:	44.1875	72.0234
Length   15/5, alignment  9/15, fail:	38.9844	69.4844
Length   15/5, alignment 15/ 0, found:	43.8672	71.7578
Length   15/5, alignment 15/ 0, fail:	37.8359	69.1953
Length   15/5, alignment 15/ 3, found:	43.2656	72.0234
Length   15/5, alignment 15/ 3, fail:	37.4062	69.6797
Length   15/5, alignment 15/ 9, found:	43.2422	71.9688
Length   15/5, alignment 15/ 9, fail:	38.1797	68.8984
Length   15/5, alignment 15/15, found:	43.6016	72.0547
Length   15/5, alignment 15/15, fail:	39.3594	68.9766
Length   20/5, alignment  0/ 0, found:	48.0703	80.4453
Length   20/5, alignment  0/ 0, fail:	40.25	74.6016
Length   20/5, alignment  0/ 3, found:	48.4141	78.1953
Length   20/5, alignment  0/ 3, fail:	39.0781	76.8984
Length   20/5, alignment  0/ 9, found:	50.3281	78.3984
Length   20/5, alignment  0/ 9, fail:	39.3594	76.0469
Length   20/5, alignment  0/15, found:	48.7422	77.2344
Length   20/5, alignment  0/15, fail:	38.0625	73.9219
Length   20/5, alignment  3/ 0, found:	50.1797	77.3125
Length   20/5, alignment  3/ 0, fail:	38.1016	74.3281
Length   20/5, alignment  3/ 3, found:	50.25	77.1406
Length   20/5, alignment  3/ 3, fail:	37.8281	73.2656
Length   20/5, alignment  3/ 9, found:	50.1797	76.7109
Length   20/5, alignment  3/ 9, fail:	38.1875	74.1484
Length   20/5, alignment  3/15, found:	47.8203	76.9922
Length   20/5, alignment  3/15, fail:	38.2734	73.3203
Length   20/5, alignment  9/ 0, found:	50.0469	77.3359
Length   20/5, alignment  9/ 0, fail:	38.9922	73.9609
Length   20/5, alignment  9/ 3, found:	50.0312	77.2344
Length   20/5, alignment  9/ 3, fail:	39.5234	73.6797
Length   20/5, alignment  9/ 9, found:	49.1484	76.9219
Length   20/5, alignment  9/ 9, fail:	39.1406	73.8125
Length   20/5, alignment  9/15, found:	51.1641	77.3438
Length   20/5, alignment  9/15, fail:	40.2422	73.8906
Length   20/5, alignment 15/ 0, found:	50.1641	77.9141
Length   20/5, alignment 15/ 0, fail:	39.2656	75.4609
Length   20/5, alignment 15/ 3, found:	49.6562	77.2422
Length   20/5, alignment 15/ 3, fail:	38.3828	74.1406
Length   20/5, alignment 15/ 9, found:	49.9297	76.8438
Length   20/5, alignment 15/ 9, fail:	39.9141	74.4219
Length   20/5, alignment 15/15, found:	51.1172	93.8906
Length   20/5, alignment 15/15, fail:	40.0234	73.8281
Length   25/5, alignment  0/ 0, found:	48.5234	82.3516
Length   25/5, alignment  0/ 0, fail:	42.7031	78.7891
Length   25/5, alignment  0/ 3, found:	47.2734	82.125
Length   25/5, alignment  0/ 3, fail:	43.25	78.8516
Length   25/5, alignment  0/ 9, found:	46.3594	83.3359
Length   25/5, alignment  0/ 9, fail:	42.1484	80.3281
Length   25/5, alignment  0/15, found:	47.75	85.6406
Length   25/5, alignment  0/15, fail:	41.8828	80.2891
Length   25/5, alignment  3/ 0, found:	49.3359	83.8906
Length   25/5, alignment  3/ 0, fail:	41.9531	81.6953
Length   25/5, alignment  3/ 3, found:	49.75	83.0078
Length   25/5, alignment  3/ 3, fail:	42.3047	81.4453
Length   25/5, alignment  3/ 9, found:	49.2266	83.5703
Length   25/5, alignment  3/ 9, fail:	42.1875	80.3203
Length   25/5, alignment  3/15, found:	47.8281	83.3125
Length   25/5, alignment  3/15, fail:	41.4922	80.5703
Length   25/5, alignment  9/ 0, found:	46.4531	83.5547
Length   25/5, alignment  9/ 0, fail:	41.1953	79.9531
Length   25/5, alignment  9/ 3, found:	46.4609	83.0391
Length   25/5, alignment  9/ 3, fail:	41.5469	80.1953
Length   25/5, alignment  9/ 9, found:	46.7969	83.1016
Length   25/5, alignment  9/ 9, fail:	42.6406	80.1719
Length   25/5, alignment  9/15, found:	46.5156	82.5703
Length   25/5, alignment  9/15, fail:	41.4688	80.3125
Length   25/5, alignment 15/ 0, found:	47.2422	83.3906
Length   25/5, alignment 15/ 0, fail:	43.0156	79.7891
Length   25/5, alignment 15/ 3, found:	49.7344	83.2188
Length   25/5, alignment 15/ 3, fail:	43.0234	80.0078
Length   25/5, alignment 15/ 9, found:	47.9375	83.4609
Length   25/5, alignment 15/ 9, fail:	41.2031	80.3281
Length   25/5, alignment 15/15, found:	47.9688	82.9844
Length   25/5, alignment 15/15, fail:	41.9922	80.4297
Length   30/5, alignment  0/ 0, found:	50.9531	89.3906
Length   30/5, alignment  0/ 0, fail:	44.3594	86.0156
Length   30/5, alignment  0/ 3, found:	50.6562	105.852
Length   30/5, alignment  0/ 3, fail:	44.0781	85.7109
Length   30/5, alignment  0/ 9, found:	50.0156	108.688
Length   30/5, alignment  0/ 9, fail:	43.6641	86.8672
Length   30/5, alignment  0/15, found:	51.4062	108.68
Length   30/5, alignment  0/15, fail:	45.5938	84.625
Length   30/5, alignment  3/ 0, found:	50.2344	112.391
Length   30/5, alignment  3/ 0, fail:	64.9844	86.6719
Length   30/5, alignment  3/ 3, found:	52.4531	109.969
Length   30/5, alignment  3/ 3, fail:	45.3047	84.9062
Length   30/5, alignment  3/ 9, found:	52.3438	110.812
Length   30/5, alignment  3/ 9, fail:	46.3203	85.2578
Length   30/5, alignment  3/15, found:	52.5938	113.289
Length   30/5, alignment  3/15, fail:	44.3125	84.4375
Length   30/5, alignment  9/ 0, found:	51.3281	103.18
Length   30/5, alignment  9/ 0, fail:	44.7031	84.3516
Length   30/5, alignment  9/ 3, found:	50.2109	107.617
Length   30/5, alignment  9/ 3, fail:	45.3594	89.9062
Length   30/5, alignment  9/ 9, found:	48.0781	102.305
Length   30/5, alignment  9/ 9, fail:	42.8984	79.3047
Length   30/5, alignment  9/15, found:	48.3828	98.3906
Length   30/5, alignment  9/15, fail:	41.7891	79.2031
Length   30/5, alignment 15/ 0, found:	48.2969	102.242
Length   30/5, alignment 15/ 0, fail:	42.875	79.25
Length   30/5, alignment 15/ 3, found:	49.1797	99.7578
Length   30/5, alignment 15/ 3, fail:	42.8594	79.2031
Length   30/5, alignment 15/ 9, found:	47.3359	102.727
Length   30/5, alignment 15/ 9, fail:	41.5703	78.8359
Length   30/5, alignment 15/15, found:	49.3047	99.7891
Length   30/5, alignment 15/15, fail:	40.1094	78.9844
Length   35/5, alignment  0/ 0, found:	52.5859	88.5
Length   35/5, alignment  0/ 0, fail:	45.1562	85.6172
Length   35/5, alignment  0/ 3, found:	49.6875	88.7188
Length   35/5, alignment  0/ 3, fail:	45.625	85.6484
Length   35/5, alignment  0/ 9, found:	51.3438	87.9375
Length   35/5, alignment  0/ 9, fail:	45.0938	85.1797
Length   35/5, alignment  0/15, found:	51.8672	87.8828
Length   35/5, alignment  0/15, fail:	45.4375	85.6094
Length   35/5, alignment  3/ 0, found:	51.3203	88.2734
Length   35/5, alignment  3/ 0, fail:	45.5312	85.1016
Length   35/5, alignment  3/ 3, found:	50.7422	88.2812
Length   35/5, alignment  3/ 3, fail:	44.1172	85.5469
Length   35/5, alignment  3/ 9, found:	51.7031	87.9375
Length   35/5, alignment  3/ 9, fail:	48.3516	91.0312
Length   35/5, alignment  3/15, found:	53.8594	94.0469
Length   35/5, alignment  3/15, fail:	48.3594	90.7188
Length   35/5, alignment  9/ 0, found:	54.375	94.0781
Length   35/5, alignment  9/ 0, fail:	48.2266	113.891
Length   35/5, alignment  9/ 3, found:	59.1953	102.68
Length   35/5, alignment  9/ 3, fail:	54.0312	98.5859
Length   35/5, alignment  9/ 9, found:	59.4141	101.75
Length   35/5, alignment  9/ 9, fail:	53.8516	97.9375
Length   35/5, alignment  9/15, found:	58.7188	102.969
Length   35/5, alignment  9/15, fail:	56.0625	102.57
Length   35/5, alignment 15/ 0, found:	62.1328	106.773
Length   35/5, alignment 15/ 0, fail:	57.8438	105.969
Length   35/5, alignment 15/ 3, found:	62.0078	110.82
Length   35/5, alignment 15/ 3, fail:	53.5781	105.531
Length   35/5, alignment 15/ 9, found:	63.1719	109.305
Length   35/5, alignment 15/ 9, fail:	55.0859	105.75
Length   35/5, alignment 15/15, found:	62.2812	109.438
Length   35/5, alignment 15/15, fail:	56.6562	105.195
Length   40/5, alignment  0/ 0, found:	64.4297	116.25
Length   40/5, alignment  0/ 0, fail:	59.1016	112.297
Length   40/5, alignment  0/ 3, found:	65.1875	115.508
Length   40/5, alignment  0/ 3, fail:	58.9844	111.25
Length   40/5, alignment  0/ 9, found:	68.1953	113.977
Length   40/5, alignment  0/ 9, fail:	59.0469	112.062
Length   40/5, alignment  0/15, found:	67.2891	114.938
Length   40/5, alignment  0/15, fail:	59.0703	111.523
Length   40/5, alignment  3/ 0, found:	64.6719	114.938
Length   40/5, alignment  3/ 0, fail:	59.1328	111.844
Length   40/5, alignment  3/ 3, found:	66.9141	114.836
Length   40/5, alignment  3/ 3, fail:	58.4062	111.859
Length   40/5, alignment  3/ 9, found:	64.5078	115.477
Length   40/5, alignment  3/ 9, fail:	58.4297	111.938
Length   40/5, alignment  3/15, found:	65.0312	114.875
Length   40/5, alignment  3/15, fail:	57.5938	112.133
Length   40/5, alignment  9/ 0, found:	65.0078	114.836
Length   40/5, alignment  9/ 0, fail:	57.9062	111.594
Length   40/5, alignment  9/ 3, found:	65.375	137.273
Length   40/5, alignment  9/ 3, fail:	58.4609	113.078
Length   40/5, alignment  9/ 9, found:	65.9375	114.203
Length   40/5, alignment  9/ 9, fail:	57.9453	111.711
Length   40/5, alignment  9/15, found:	66.1641	115.016
Length   40/5, alignment  9/15, fail:	57.4375	111.953
Length   40/5, alignment 15/ 0, found:	66.2578	114.523
Length   40/5, alignment 15/ 0, fail:	57.7734	111.156
Length   40/5, alignment 15/ 3, found:	66.2188	116.047
Length   40/5, alignment 15/ 3, fail:	58.4219	111.328
Length   40/5, alignment 15/ 9, found:	66.1797	115.328
Length   40/5, alignment 15/ 9, fail:	59.6406	111.367
Length   40/5, alignment 15/15, found:	67.2109	116.266
Length   40/5, alignment 15/15, fail:	58.9219	111.906
Length   45/5, alignment  0/ 0, found:	76.0078	121.641
Length   45/5, alignment  0/ 0, fail:	60.3281	118.383
Length   45/5, alignment  0/ 3, found:	75.4219	120.523
Length   45/5, alignment  0/ 3, fail:	60.8359	117.672
Length   45/5, alignment  0/ 9, found:	76.9609	120.898
Length   45/5, alignment  0/ 9, fail:	60.3203	117.312
Length   45/5, alignment  0/15, found:	76.5859	120.414
Length   45/5, alignment  0/15, fail:	61.9766	117.617
Length   45/5, alignment  3/ 0, found:	77.7656	120.773
Length   45/5, alignment  3/ 0, fail:	62.4297	118.008
Length   45/5, alignment  3/ 3, found:	77.1406	120.789
Length   45/5, alignment  3/ 3, fail:	62.5312	117.922
Length   45/5, alignment  3/ 9, found:	77.0625	121.172
Length   45/5, alignment  3/ 9, fail:	61.4922	117.992
Length   45/5, alignment  3/15, found:	77.1016	120.531
Length   45/5, alignment  3/15, fail:	62.1094	117.516
Length   45/5, alignment  9/ 0, found:	76.5703	121.711
Length   45/5, alignment  9/ 0, fail:	61.4453	142.75
Length   45/5, alignment  9/ 3, found:	76.5078	120.75
Length   45/5, alignment  9/ 3, fail:	61.3203	117.008
Length   45/5, alignment  9/ 9, found:	75.6328	120.703
Length   45/5, alignment  9/ 9, fail:	60.4062	118.336
Length   45/5, alignment  9/15, found:	76.7656	122.656
Length   45/5, alignment  9/15, fail:	61.5	119.18
Length   45/5, alignment 15/ 0, found:	76.7188	120.852
Length   45/5, alignment 15/ 0, fail:	62.5469	117.367
Length   45/5, alignment 15/ 3, found:	75.8672	122.578
Length   45/5, alignment 15/ 3, fail:	60.6719	116.93
Length   45/5, alignment 15/ 9, found:	77.0547	120.688
Length   45/5, alignment 15/ 9, fail:	62.0078	118.219
Length   45/5, alignment 15/15, found:	76.2734	121.07
Length   45/5, alignment 15/15, fail:	60.1875	118.969
Length   50/5, alignment  0/ 0, found:	78.6719	127.906
Length   50/5, alignment  0/ 0, fail:	63.2891	124.07
Length   50/5, alignment  0/ 3, found:	80.2031	126.656
Length   50/5, alignment  0/ 3, fail:	64.4766	124.25
Length   50/5, alignment  0/ 9, found:	80.5234	126.539
Length   50/5, alignment  0/ 9, fail:	64.4297	123.523
Length   50/5, alignment  0/15, found:	80.0859	126.875
Length   50/5, alignment  0/15, fail:	64.9453	123.477
Length   50/5, alignment  3/ 0, found:	80.0234	126.531
Length   50/5, alignment  3/ 0, fail:	65.3906	123.914
Length   50/5, alignment  3/ 3, found:	78.9922	126.922
Length   50/5, alignment  3/ 3, fail:	65.375	124.172
Length   50/5, alignment  3/ 9, found:	78.8594	127.523
Length   50/5, alignment  3/ 9, fail:	64.4062	123.531
Length   50/5, alignment  3/15, found:	79.6172	126.664
Length   50/5, alignment  3/15, fail:	89.0859	123.18
Length   50/5, alignment  9/ 0, found:	80.1719	127.688
Length   50/5, alignment  9/ 0, fail:	66.5391	122.375
Length   50/5, alignment  9/ 3, found:	80.2734	126.336
Length   50/5, alignment  9/ 3, fail:	67.2656	122.43
Length   50/5, alignment  9/ 9, found:	81.0547	125.93
Length   50/5, alignment  9/ 9, fail:	63.3203	122.273
Length   50/5, alignment  9/15, found:	79.4609	126.086
Length   50/5, alignment  9/15, fail:	64.2266	122.953
Length   50/5, alignment 15/ 0, found:	82.5312	126.117
Length   50/5, alignment 15/ 0, fail:	64.5625	123.375
Length   50/5, alignment 15/ 3, found:	79.6328	125.875
Length   50/5, alignment 15/ 3, fail:	64.2422	123.406
Length   50/5, alignment 15/ 9, found:	78.3516	128.805
Length   50/5, alignment 15/ 9, fail:	65.2578	122.664
Length   50/5, alignment 15/15, found:	79.6094	125.852
Length   50/5, alignment 15/15, fail:	64.5391	122.961
Length   55/5, alignment  0/ 0, found:	73.7422	132.406
Length   55/5, alignment  0/ 0, fail:	67.9375	128.844
Length   55/5, alignment  0/ 3, found:	75.1953	132.18
Length   55/5, alignment  0/ 3, fail:	66.9141	129.602
Length   55/5, alignment  0/ 9, found:	73.4062	131.656
Length   55/5, alignment  0/ 9, fail:	67.5	128.938
Length   55/5, alignment  0/15, found:	73.9844	132.109
Length   55/5, alignment  0/15, fail:	67.3047	128.07
Length   55/5, alignment  3/ 0, found:	75.7422	133.758
Length   55/5, alignment  3/ 0, fail:	67.0938	130.391
Length   55/5, alignment  3/ 3, found:	76.1328	133.477
Length   55/5, alignment  3/ 3, fail:	67.1094	147.875
Length   55/5, alignment  3/ 9, found:	74.125	132.57
Length   55/5, alignment  3/ 9, fail:	68.0859	128.617
Length   55/5, alignment  3/15, found:	74.7656	132.102
Length   55/5, alignment  3/15, fail:	67.8359	128.125
Length   55/5, alignment  9/ 0, found:	75.3906	134.359
Length   55/5, alignment  9/ 0, fail:	67.2734	127.898
Length   55/5, alignment  9/ 3, found:	73.3359	130.766
Length   55/5, alignment  9/ 3, fail:	67.125	127.336
Length   55/5, alignment  9/ 9, found:	82.3672	132.641
Length   55/5, alignment  9/ 9, fail:	66.8359	127.602
Length   55/5, alignment  9/15, found:	82.0703	132.867
Length   55/5, alignment  9/15, fail:	67.6172	126.969
Length   55/5, alignment 15/ 0, found:	81.0859	130.82
Length   55/5, alignment 15/ 0, fail:	66.4062	126.992
Length   55/5, alignment 15/ 3, found:	86.6172	132.75
Length   55/5, alignment 15/ 3, fail:	69.1094	128.266
Length   55/5, alignment 15/ 9, found:	82.375	130.508
Length   55/5, alignment 15/ 9, fail:	68.5938	128.898
Length   55/5, alignment 15/15, found:	82.3516	130.203
Length   55/5, alignment 15/15, fail:	68.0625	126.508
Length   60/5, alignment  0/ 0, found:	84.9453	136.992
Length   60/5, alignment  0/ 0, fail:	70.7422	133.703
Length   60/5, alignment  0/ 3, found:	86.0781	136.922
Length   60/5, alignment  0/ 3, fail:	69.2422	133.172
Length   60/5, alignment  0/ 9, found:	84.9062	137.727
Length   60/5, alignment  0/ 9, fail:	70.2422	135.562
Length   60/5, alignment  0/15, found:	86.1719	137.586
Length   60/5, alignment  0/15, fail:	71	157.734
Length   60/5, alignment  3/ 0, found:	86.1797	138.266
Length   60/5, alignment  3/ 0, fail:	69.7578	133.047
Length   60/5, alignment  3/ 3, found:	87.8594	138.195
Length   60/5, alignment  3/ 3, fail:	72.0625	134.062
Length   60/5, alignment  3/ 9, found:	87.8828	136.773
Length   60/5, alignment  3/ 9, fail:	73.2031	132.875
Length   60/5, alignment  3/15, found:	89.1797	136.703
Length   60/5, alignment  3/15, fail:	71.6719	132.773
Length   60/5, alignment  9/ 0, found:	86.1562	137.117
Length   60/5, alignment  9/ 0, fail:	69.8047	133.625
Length   60/5, alignment  9/ 3, found:	84.1016	136.578
Length   60/5, alignment  9/ 3, fail:	69.4531	133.742
Length   60/5, alignment  9/ 9, found:	84.7109	136.492
Length   60/5, alignment  9/ 9, fail:	68.75	133.328
Length   60/5, alignment  9/15, found:	84.8203	138.492
Length   60/5, alignment  9/15, fail:	70.2656	133.07
Length   60/5, alignment 15/ 0, found:	84.7969	138.062
Length   60/5, alignment 15/ 0, fail:	71.5703	133.195
Length   60/5, alignment 15/ 3, found:	77.9688	136.562
Length   60/5, alignment 15/ 3, fail:	70.9062	133.133
Length   60/5, alignment 15/ 9, found:	79.0859	137.57
Length   60/5, alignment 15/ 9, fail:	70.4141	133.07
Length   60/5, alignment 15/15, found:	78.0078	137.758
Length   60/5, alignment 15/15, fail:	71.7109	133.219
Length   65/5, alignment  0/ 0, found:	78.8125	144.422
Length   65/5, alignment  0/ 0, fail:	73.6953	138.922
Length   65/5, alignment  0/ 3, found:	81.2109	160.969
Length   65/5, alignment  0/ 3, fail:	74.2422	138.875
Length   65/5, alignment  0/ 9, found:	82.8828	142.016
Length   65/5, alignment  0/ 9, fail:	74.8672	140.516
Length   65/5, alignment  0/15, found:	82.3047	143.93
Length   65/5, alignment  0/15, fail:	74.4531	138.953
Length   65/5, alignment  3/ 0, found:	80.6797	142.461
Length   65/5, alignment  3/ 0, fail:	73.3359	141.539
Length   65/5, alignment  3/ 3, found:	80.9453	142.906
Length   65/5, alignment  3/ 3, fail:	73.2969	139.266
Length   65/5, alignment  3/ 9, found:	89.2578	142.75
Length   65/5, alignment  3/ 9, fail:	72.5781	138.336
Length   65/5, alignment  3/15, found:	89.0859	142.406
Length   65/5, alignment  3/15, fail:	72.5156	140.977
Length   65/5, alignment  9/ 0, found:	88.5781	143.781
Length   65/5, alignment  9/ 0, fail:	73.3047	140.289
Length   65/5, alignment  9/ 3, found:	88.5	142.656
Length   65/5, alignment  9/ 3, fail:	73.9609	138.984
Length   65/5, alignment  9/ 9, found:	87.9688	142.391
Length   65/5, alignment  9/ 9, fail:	72.2656	138.484
Length   65/5, alignment  9/15, found:	88.625	142.523
Length   65/5, alignment  9/15, fail:	73.25	138.984
Length   65/5, alignment 15/ 0, found:	88.625	142.398
Length   65/5, alignment 15/ 0, fail:	72.3125	139.008
Length   65/5, alignment 15/ 3, found:	87.75	144.016
Length   65/5, alignment 15/ 3, fail:	73.1719	140.617
