                       	strcasestr	simple_strcasestr
Length   10/2, alignment  3/ 3, found:	30.5078	44.3047
Length   10/2, alignment  3/ 3, fail:	29.9062	45.4375
Length   10/2, alignment  3/ 9, found:	30.2344	44.2891
Length   10/2, alignment  3/ 9, fail:	30.9844	45.4062
Length   10/2, alignment  3/15, found:	31.0703	44.2734
Length   10/2, alignment  3/15, fail:	30.9766	45.9609
Length   10/2, alignment  9/ 0, found:	30.5469	44.2969
Length   10/2, alignment  9/ 0, fail:	31.0469	45.5859
Length   10/2, alignment  9/ 3, found:	31.0859	44.375
Length   10/2, alignment  9/ 3, fail:	30.9844	45.4141
Length   10/2, alignment  9/ 9, found:	31.1328	44.3359
Length   10/2, alignment  9/ 9, fail:	32.1328	45.3047
Length   10/2, alignment  9/15, found:	32.75	44.3359
Length   10/2, alignment  9/15, fail:	32.125	45.4688
Length   10/2, alignment 15/ 0, found:	32.6484	43.8359
Length   10/2, alignment 15/ 0, fail:	31.5156	45.4844
Length   10/2, alignment 15/ 3, found:	32.0859	44.8281
Length   10/2, alignment 15/ 3, fail:	32.0469	45.4609
Length   10/2, alignment 15/ 9, found:	32.1406	43.3125
Length   10/2, alignment 15/ 9, fail:	29.3828	45.4219
Length   10/2, alignment 15/15, found:	30.1484	43.8125
Length   10/2, alignment 15/15, fail:	28.8359	44.7969
Length   12/2, alignment  0/ 0, found:	32.8516	45.25
Length   12/2, alignment  0/ 0, fail:	30.6094	47.1094
Length   12/2, alignment  0/ 3, found:	33.6016	45.1875
Length   12/2, alignment  0/ 3, fail:	33.3203	46.6562
Length   12/2, alignment  0/ 9, found:	34.2422	45.0391
Length   12/2, alignment  0/ 9, fail:	33.2188	46.8281
Length   12/2, alignment  0/15, found:	32.3203	44.875
Length   12/2, alignment  0/15, fail:	33.1484	46.5547
Length   12/2, alignment  3/ 0, found:	31.75	45.7891
Length   12/2, alignment  3/ 0, fail:	33.25	46.5391
Length   12/2, alignment  3/ 3, found:	31.9453	45.3281
Length   12/2, alignment  3/ 3, fail:	31.8047	46.4609
Length   12/2, alignment  3/ 9, found:	32.1953	44.9531
Length   12/2, alignment  3/ 9, fail:	31.5547	47.0156
Length   12/2, alignment  3/15, found:	31.9375	46.5938
Length   12/2, alignment  3/15, fail:	33.1953	47.6875
Length   12/2, alignment  9/ 0, found:	31.9453	46.7969
Length   12/2, alignment  9/ 0, fail:	31.5312	47.6797
Length   12/2, alignment  9/ 3, found:	31.5859	46.5781
Length   12/2, alignment  9/ 3, fail:	32.0469	47.7344
Length   12/2, alignment  9/ 9, found:	32.3281	46.2266
Length   12/2, alignment  9/ 9, fail:	34.2344	47.6953
Length   12/2, alignment  9/15, found:	34.25	46
Length   12/2, alignment  9/15, fail:	35.3203	47.6797
Length   12/2, alignment 15/ 0, found:	33.6094	46.1016
Length   12/2, alignment 15/ 0, fail:	33.6953	48.6875
Length   12/2, alignment 15/ 3, found:	34.4453	46.0625
Length   12/2, alignment 15/ 3, fail:	33.7422	47.1484
Length   12/2, alignment 15/ 9, found:	35.8984	46.0469
Length   12/2, alignment 15/ 9, fail:	34.2656	47.5547
Length   12/2, alignment 15/15, found:	34.2969	46.1484
Length   12/2, alignment 15/15, fail:	34.2578	47.6797
