                       	oldstrsep	strsep	simple_strsep
Length   32/8, alignment  0/ 3, found:	18.5156	20.5859	106.82
Length   32/8, alignment  0/ 3, fail:	12.5156	13.3047	229.125
Length   32/8, alignment  0/ 9, found:	18.5469	20.5938	106.688
Length   32/8, alignment  0/ 9, fail:	12.2734	13.4297	229.352
Length   32/8, alignment  0/15, found:	18.4453	20.5156	106.531
Length   32/8, alignment  0/15, fail:	12.2578	13.2422	251.07
Length   32/8, alignment  3/ 0, found:	18.6094	20.5391	106.469
Length   32/8, alignment  3/ 0, fail:	10.4453	12.7969	229.75
Length   32/8, alignment  3/ 3, found:	18.6016	20.5859	106.484
Length   32/8, alignment  3/ 3, fail:	13.3047	11.7109	229.32
Length   32/8, alignment  3/ 9, found:	18.5391	20.4922	106.492
Length   32/8, alignment  3/ 9, fail:	12.6719	12.7422	229.398
Length   32/8, alignment  3/15, found:	18.5625	20.5312	106.484
Length   32/8, alignment  3/15, fail:	11.7422	12.7188	229.172
Length   32/8, alignment  9/ 0, found:	18.4922	20.4609	106.477
Length   32/8, alignment  9/ 0, fail:	10.5234	12.7578	229.562
Length   32/8, alignment  9/ 3, found:	18.5312	20.5156	106.539
Length   32/8, alignment  9/ 3, fail:	13.1094	11.6172	229.406
Length   32/8, alignment  9/ 9, found:	18.4688	20.4375	106.484
Length   32/8, alignment  9/ 9, fail:	12	12.7734	229.977
Length   32/8, alignment  9/15, found:	18.4609	20.4375	106.508
Length   32/8, alignment  9/15, fail:	12.0391	12.7969	233.852
Length   32/8, alignment 15/ 0, found:	18.4766	20.3906	106.469
Length   32/8, alignment 15/ 0, fail:	10.3984	12.6406	233.969
Length   32/8, alignment 15/ 3, found:	18.5312	20.5156	106.5
Length   32/8, alignment 15/ 3, fail:	11.4766	11.7266	233.812
Length   32/8, alignment 15/ 9, found:	18.4922	20.4609	106.523
Length   32/8, alignment 15/ 9, fail:	11.5859	13.3516	233.867
Length   32/8, alignment 15/15, found:	18.5234	20.5625	106.461
Length   32/8, alignment 15/15, fail:	11.6172	13.1719	229.695
Length   40/8, alignment  0/ 0, found:	18.5781	20.5	131.578
Length   40/8, alignment  0/ 0, fail:	12.4531	11.2188	396.109
Length   40/8, alignment  0/ 3, found:	18.5	20.6094	194.805
Length   40/8, alignment  0/ 3, fail:	12.9453	14.8984	280.016
Length   40/8, alignment  0/ 9, found:	18.4766	20.6641	131.391
Length   40/8, alignment  0/ 9, fail:	12.3984	13.2344	279.977
Length   40/8, alignment  0/15, found:	18.4844	20.4922	137.188
Length   40/8, alignment  0/15, fail:	12.3203	14.7734	279.922
Length   40/8, alignment  3/ 0, found:	18.5703	20.5078	131.305
Length   40/8, alignment  3/ 0, fail:	11.5469	12.0547	280.344
Length   40/8, alignment  3/ 3, found:	18.4609	20.6094	131.398
Length   40/8, alignment  3/ 3, fail:	12.1406	11.2266	280.023
Length   40/8, alignment  3/ 9, found:	18.4766	20.4688	131.297
Length   40/8, alignment  3/ 9, fail:	12.5547	13.9844	280.117
Length   40/8, alignment  3/15, found:	18.9844	20.4844	131.219
Length   40/8, alignment  3/15, fail:	12.0703	13.1719	280.031
Length   40/8, alignment  9/ 0, found:	18.8984	20.4844	134.711
Length   40/8, alignment  9/ 0, fail:	14.6641	14.3516	299.258
Length   40/8, alignment  9/ 3, found:	19.8047	21.8281	140.312
Length   40/8, alignment  9/ 3, fail:	15.5234	14.0469	300.219
Length   40/8, alignment  9/ 9, found:	19.75	21.9219	140.211
Length   40/8, alignment  9/ 9, fail:	14.7734	15.7266	298
Length   40/8, alignment  9/15, found:	19.8047	21.8984	144.953
Length   40/8, alignment  9/15, fail:	15.6328	16.2891	294.547
Length   40/8, alignment 15/ 0, found:	20.0391	21.9375	140.305
Length   40/8, alignment 15/ 0, fail:	13.1328	15.875	299.188
Length   40/8, alignment 15/ 3, found:	19.8359	22.0938	164.453
Length   40/8, alignment 15/ 3, fail:	13.8828	14.0156	299.367
Length   40/8, alignment 15/ 9, found:	19.8125	22.0469	140.312
Length   40/8, alignment 15/ 9, fail:	14.4453	15.2891	298.062
Length   40/8, alignment 15/15, found:	19.7891	22.125	140.32
Length   40/8, alignment 15/15, fail:	15.1484	15.5156	299.305
Length   48/8, alignment  0/ 0, found:	19.7031	21.9297	179.141
Length   48/8, alignment  0/ 0, fail:	14.6094	13.8281	352.547
Length   48/8, alignment  0/ 3, found:	19.8359	21.9297	182.75
Length   48/8, alignment  0/ 3, fail:	15.5	15.9375	351.836
Length   48/8, alignment  0/ 9, found:	19.8125	21.9766	182.758
Length   48/8, alignment  0/ 9, fail:	15.0781	16.5078	352.578
Length   48/8, alignment  0/15, found:	19.7891	22.0625	182.688
Length   48/8, alignment  0/15, fail:	15.7422	16.5	350.891
Length   48/8, alignment  3/ 0, found:	19.7812	21.7812	178.844
Length   48/8, alignment  3/ 0, fail:	13.3359	13.5938	350.859
Length   48/8, alignment  3/ 3, found:	19.6953	21.8906	182.516
Length   48/8, alignment  3/ 3, fail:	16.3672	14.2344	350.938
Length   48/8, alignment  3/ 9, found:	19.8047	22.0703	182.703
Length   48/8, alignment  3/ 9, fail:	15.4844	16.5781	351.805
Length   48/8, alignment  3/15, found:	19.7188	22.0156	203.883
Length   48/8, alignment  3/15, fail:	16.0938	16.5703	361.281
Length   48/8, alignment  9/ 0, found:	19.8359	21.8984	179.672
Length   48/8, alignment  9/ 0, fail:	13.1172	13.6328	360.32
Length   48/8, alignment  9/ 3, found:	19.8438	22.0859	179.664
Length   48/8, alignment  9/ 3, fail:	15.5	14.6172	352.773
Length   48/8, alignment  9/ 9, found:	19.8047	22.1797	179.562
Length   48/8, alignment  9/ 9, fail:	15.0469	15.2734	350.906
Length   48/8, alignment  9/15, found:	19.7891	22.0391	179.625
Length   48/8, alignment  9/15, fail:	14.3594	15.2109	350.797
Length   48/8, alignment 15/ 0, found:	19.7578	22	182.883
Length   48/8, alignment 15/ 0, fail:	14.7656	13.5703	351.391
Length   48/8, alignment 15/ 3, found:	19.7891	22.0312	182.68
Length   48/8, alignment 15/ 3, fail:	13.8281	14.1719	350.727
Length   48/8, alignment 15/ 9, found:	20.0156	21.8672	179.727
Length   48/8, alignment 15/ 9, fail:	14.8203	15.3828	350.82
Length   48/8, alignment 15/15, found:	19.7578	21.8906	182.672
Length   48/8, alignment 15/15, fail:	14.3438	15.2422	350.922
Length   56/8, alignment  0/ 0, found:	19.7109	21.9297	206.133
Length   56/8, alignment  0/ 0, fail:	14.2344	14.0078	432.078
Length   56/8, alignment  0/ 3, found:	19.75	21.9531	213.555
Length   56/8, alignment  0/ 3, fail:	16.5547	15.4766	404.766
Length   56/8, alignment  0/ 9, found:	19.8047	22.1406	211.914
Length   56/8, alignment  0/ 9, fail:	15.1406	15.8359	404.547
Length   56/8, alignment  0/15, found:	19.9062	21.9922	212.039
Length   56/8, alignment  0/15, fail:	15.7188	16.4531	404.539
Length   56/8, alignment  3/ 0, found:	19.7578	21.8594	212.039
Length   56/8, alignment  3/ 0, fail:	14.875	17.1172	404.445
Length   56/8, alignment  3/ 3, found:	19.7734	21.8594	212.031
Length   56/8, alignment  3/ 3, fail:	14.0781	14.2656	404.625
Length   56/8, alignment  3/ 9, found:	19.9062	21.9609	215.984
Length   56/8, alignment  3/ 9, fail:	14.4766	16.4531	411.414
Length   56/8, alignment  3/15, found:	20.4766	22.7266	219.609
Length   56/8, alignment  3/15, fail:	14.8359	17.1797	418.992
Length   56/8, alignment  9/ 0, found:	20.4922	22.7734	219.578
Length   56/8, alignment  9/ 0, fail:	16.2969	16.7344	418.977
Length   56/8, alignment  9/ 3, found:	20.5859	22.8125	244.758
Length   56/8, alignment  9/ 3, fail:	17.1875	16.8984	418.898
Length   56/8, alignment  9/ 9, found:	20.5703	22.7422	219.617
Length   56/8, alignment  9/ 9, fail:	17.4375	18.0781	418.945
Length   56/8, alignment  9/15, found:	20.4766	22.7422	219.641
Length   56/8, alignment  9/15, fail:	17.1719	19.6406	419
Length   56/8, alignment 15/ 0, found:	20.5234	22.8438	219.578
Length   56/8, alignment 15/ 0, fail:	16.2734	16.5234	418.867
Length   56/8, alignment 15/ 3, found:	20.6484	22.8125	223.969
Length   56/8, alignment 15/ 3, fail:	16.8047	16.7344	419
Length   56/8, alignment 15/ 9, found:	20.4922	22.75	219.461
Length   56/8, alignment 15/ 9, fail:	17.3203	18.1172	419.008
Length   56/8, alignment 15/15, found:	20.6797	22.5391	219.586
Length   56/8, alignment 15/15, fail:	18.0234	18.0625	419.047
Length   36/9, alignment  0/ 0, found:	20.4297	22.6406	132.883
Length   36/9, alignment  0/ 0, fail:	12.1094	12.5156	287.508
Length   36/9, alignment  0/ 3, found:	20.4453	22.7969	132.445
Length   36/9, alignment  0/ 3, fail:	13.8594	14.8203	299.023
Length   36/9, alignment  0/ 9, found:	20.4609	22.7734	132.68
Length   36/9, alignment  0/ 9, fail:	13.8594	14.7266	285.898
Length   36/9, alignment  0/15, found:	20.5	23.0781	132.047
Length   36/9, alignment  0/15, fail:	13.5078	14.6641	286.531
Length   36/9, alignment  3/ 0, found:	20.4844	22.6719	132.039
Length   36/9, alignment  3/ 0, fail:	12.4062	12.0078	282.805
Length   36/9, alignment  3/ 3, found:	20.4766	22.8203	132
Length   36/9, alignment  3/ 3, fail:	13.1016	12.5547	283.039
Length   36/9, alignment  3/ 9, found:	20.4844	22.8672	132.133
Length   36/9, alignment  3/ 9, fail:	14.0781	14.6797	283.133
Length   36/9, alignment  3/15, found:	20.4844	22.8281	131.984
Length   36/9, alignment  3/15, fail:	13.4688	14.6719	285.836
Length   36/9, alignment  9/ 0, found:	20.375	22.6875	132.164
Length   36/9, alignment  9/ 0, fail:	12.375	15.2422	282.797
Length   36/9, alignment  9/ 3, found:	20.4766	22.6016	131.727
Length   36/9, alignment  9/ 3, fail:	14.6562	12.6875	283.242
Length   36/9, alignment  9/ 9, found:	20.4844	22.8984	131.648
Length   36/9, alignment  9/ 9, fail:	14.0391	14.7109	283.016
Length   36/9, alignment  9/15, found:	20.5703	22.8359	131.797
Length   36/9, alignment  9/15, fail:	12.8984	14.5312	283.055
Length   36/9, alignment 15/ 0, found:	20.4531	22.7734	131.602
Length   36/9, alignment 15/ 0, fail:	15.1328	14.7422	283.055
Length   36/9, alignment 15/ 3, found:	20.6094	22.8594	131.719
Length   36/9, alignment 15/ 3, fail:	14.5703	14.3516	297.883
Length   36/9, alignment 15/ 9, found:	20.5078	22.8516	131.578
Length   36/9, alignment 15/ 9, fail:	15.1562	15.9453	286.625
Length   36/9, alignment 15/15, found:	20.4609	22.6484	131.594
Length   36/9, alignment 15/15, fail:	15.1719	15.875	285.875
Length   45/9, alignment  0/ 0, found:	20.3984	22.6719	205.617
Length   45/9, alignment  0/ 0, fail:	14.0234	12.3203	348.18
Length   45/9, alignment  0/ 3, found:	20.4844	22.6562	202.25
Length   45/9, alignment  0/ 3, fail:	14.7188	14.8203	345.039
Length   45/9, alignment  0/ 9, found:	20.5234	22.7266	201.664
Length   45/9, alignment  0/ 9, fail:	14.2734	14.3516	344.961
Length   45/9, alignment  0/15, found:	20.5156	22.7109	205.289
Length   45/9, alignment  0/15, fail:	13.5625	13.9453	344.852
Length   45/9, alignment  3/ 0, found:	20.4531	22.7031	205.344
Length   45/9, alignment  3/ 0, fail:	13.5	17.5391	345.469
Length   45/9, alignment  3/ 3, found:	20.7109	22.6172	204.992
Length   45/9, alignment  3/ 3, fail:	14.3672	16.2578	393.891
Length   45/9, alignment  3/ 9, found:	20.4688	22.7422	202.156
Length   45/9, alignment  3/ 9, fail:	15.3906	17.375	345
Length   45/9, alignment  3/15, found:	20.5391	22.6641	222.133
Length   45/9, alignment  3/15, fail:	16.6406	17.125	347.477
Length   45/9, alignment  9/ 0, found:	20.4609	22.5625	201.523
Length   45/9, alignment  9/ 0, fail:	15.3828	15.6406	345.508
Length   45/9, alignment  9/ 3, found:	20.3906	22.6641	201.273
Length   45/9, alignment  9/ 3, fail:	16.9141	14.2109	344.914
Length   45/9, alignment  9/ 9, found:	20.4531	22.75	202.133
Length   45/9, alignment  9/ 9, fail:	16.3594	15.9375	344.461
Length   45/9, alignment  9/15, found:	20.4766	22.7031	205.289
Length   45/9, alignment  9/15, fail:	16.1562	17.1797	344.773
Length   45/9, alignment 15/ 0, found:	20.4688	22.8438	205.016
Length   45/9, alignment 15/ 0, fail:	13.5234	16.2891	344.734
Length   45/9, alignment 15/ 3, found:	20.5859	22.8438	201.398
Length   45/9, alignment 15/ 3, fail:	15.0469	16.3906	345.023
Length   45/9, alignment 15/ 9, found:	20.4609	22.7734	205.094
Length   45/9, alignment 15/ 9, fail:	14.9688	17.0312	344.719
Length   45/9, alignment 15/15, found:	20.5312	22.7422	205.156
Length   45/9, alignment 15/15, fail:	15.1406	15.8438	347.344
Length   54/9, alignment  0/ 0, found:	20.4141	22.7109	224.82
Length   54/9, alignment  0/ 0, fail:	14.0703	14.75	423.086
Length   54/9, alignment  0/ 3, found:	20.4688	22.7344	224.969
Length   54/9, alignment  0/ 3, fail:	16.9219	15.875	406.766
Length   54/9, alignment  0/ 9, found:	20.4688	22.7578	224.188
Length   54/9, alignment  0/ 9, fail:	16.7969	17.1953	406.633
Length   54/9, alignment  0/15, found:	20.4688	22.7266	222.492
Length   54/9, alignment  0/15, fail:	18.0078	17.1406	406.336
Length   54/9, alignment  3/ 0, found:	20.5703	22.7422	222.562
Length   54/9, alignment  3/ 0, fail:	14.0469	15.7344	406.578
Length   54/9, alignment  3/ 3, found:	20.4375	22.6953	222.594
Length   54/9, alignment  3/ 3, fail:	13.7812	16.2812	406.336
Length   54/9, alignment  3/ 9, found:	20.4922	22.7422	222.531
Length   54/9, alignment  3/ 9, fail:	16.6562	17.6875	406.297
Length   54/9, alignment  3/15, found:	20.4609	22.6875	222.781
Length   54/9, alignment  3/15, fail:	15.4688	15.7969	406.367
Length   54/9, alignment  9/ 0, found:	20.5	22.6562	222.695
Length   54/9, alignment  9/ 0, fail:	14.1953	15.5	420.453
Length   54/9, alignment  9/ 3, found:	20.5	22.8438	222.852
Length   54/9, alignment  9/ 3, fail:	16.2734	14.7109	406.547
Length   54/9, alignment  9/ 9, found:	20.5391	22.8281	224.664
Length   54/9, alignment  9/ 9, fail:	16.1953	15.7734	406.641
Length   54/9, alignment  9/15, found:	20.5156	22.6953	224.859
Length   54/9, alignment  9/15, fail:	15.9375	15.8203	406.086
Length   54/9, alignment 15/ 0, found:	20.4688	22.6641	224.312
Length   54/9, alignment 15/ 0, fail:	15.5234	17.125	406.266
Length   54/9, alignment 15/ 3, found:	20.6641	22.7422	223.961
Length   54/9, alignment 15/ 3, fail:	16.4062	16.7422	406.406
Length   54/9, alignment 15/ 9, found:	20.5703	22.8125	224.453
Length   54/9, alignment 15/ 9, fail:	17.3281	18.1953	409.438
Length   54/9, alignment 15/15, found:	20.4609	22.8125	222.609
Length   54/9, alignment 15/15, fail:	17.2344	18.1719	407.594
Length   63/9, alignment  0/ 0, found:	20.4062	22.7266	244.766
Length   63/9, alignment  0/ 0, fail:	13.6719	14.75	468.352
Length   63/9, alignment  0/ 3, found:	20.5391	39.1484	247.016
Length   63/9, alignment  0/ 3, fail:	17.5078	16.3984	468.367
Length   63/9, alignment  0/ 9, found:	20.4844	22.6797	244.75
Length   63/9, alignment  0/ 9, fail:	18.0391	16.4922	468.141
Length   63/9, alignment  0/15, found:	20.4609	22.6094	243.797
Length   63/9, alignment  0/15, fail:	16.3516	16.8359	468.07
Length   63/9, alignment  3/ 0, found:	20.4844	22.7031	244.586
Length   63/9, alignment  3/ 0, fail:	15.7734	16.7266	468.336
Length   63/9, alignment  3/ 3, found:	20.7031	22.9688	243.703
Length   63/9, alignment  3/ 3, fail:	17.1484	16.7969	467.688
Length   63/9, alignment  3/ 9, found:	20.5078	22.6172	244.023
Length   63/9, alignment  3/ 9, fail:	17.2031	18.0859	468.18
Length   63/9, alignment  3/15, found:	20.5391	22.6484	244.945
Length   63/9, alignment  3/15, fail:	17.1641	18.0078	466.734
Length   63/9, alignment  9/ 0, found:	20.3594	22.6875	244.078
Length   63/9, alignment  9/ 0, fail:	16.6094	16.4688	483.734
Length   63/9, alignment  9/ 3, found:	20.5391	22.6328	244.031
Length   63/9, alignment  9/ 3, fail:	16.8359	16.5625	470.875
Length   63/9, alignment  9/ 9, found:	20.4531	22.7188	246.945
Length   63/9, alignment  9/ 9, fail:	17.0234	18.0391	470.867
Length   63/9, alignment  9/15, found:	20.4531	22.7422	243.953
Length   63/9, alignment  9/15, fail:	17.0703	18.1641	470.953
Length   63/9, alignment 15/ 0, found:	20.75	22.7656	245.711
Length   63/9, alignment 15/ 0, fail:	15.6094	16.4062	468.023
Length   63/9, alignment 15/ 3, found:	20.4609	22.7031	243.891
Length   63/9, alignment 15/ 3, fail:	16.5156	16.6406	470.922
Length   63/9, alignment 15/ 9, found:	20.4453	22.6328	246.273
Length   63/9, alignment 15/ 9, fail:	17.0938	18	467.852
Length   63/9, alignment 15/15, found:	20.4609	22.6016	247.297
Length   63/9, alignment 15/15, fail:	17.0469	17.9688	488.648
Length   40/10, alignment  0/ 0, found:	20.5312	22.625	203.367
Length   40/10, alignment  0/ 0, fail:	12.8125	12.4766	331.93
Length   40/10, alignment  0/ 3, found:	20.8281	22.5547	202.273
Length   40/10, alignment  0/ 3, fail:	14.6562	15.4141	331.336
Length   40/10, alignment  0/ 9, found:	20.5469	22.7344	200.031
Length   40/10, alignment  0/ 9, fail:	13.5312	15.25	330.484
Length   40/10, alignment  0/15, found:	20.5547	22.6406	200.602
Length   40/10, alignment  0/15, fail:	13.6875	14.6406	330.859
Length   40/10, alignment  3/ 0, found:	20.4844	22.7031	201.438
Length   40/10, alignment  3/ 0, fail:	11.5781	14.0312	331.047
Length   40/10, alignment  3/ 3, found:	20.6875	22.7578	201.914
Length   40/10, alignment  3/ 3, fail:	13.5781	12.5312	330.742
Length   40/10, alignment  3/ 9, found:	20.5391	22.6953	201.664
Length   40/10, alignment  3/ 9, fail:	13.4766	13.9922	330.695
Length   40/10, alignment  3/15, found:	20.4766	22.7969	201.562
Length   40/10, alignment  3/15, fail:	12.8984	13.6562	331.07
Length   40/10, alignment  9/ 0, found:	20.375	22.7266	201.727
Length   40/10, alignment  9/ 0, fail:	13.4922	15.6797	330.789
Length   40/10, alignment  9/ 3, found:	20.5781	22.7578	201.742
Length   40/10, alignment  9/ 3, fail:	14.3203	14.3359	392
Length   40/10, alignment  9/ 9, found:	21.9141	23.5312	267.281
Length   40/10, alignment  9/ 9, fail:	15.4141	18.125	486.742
Length   40/10, alignment  9/15, found:	20.4531	22.8438	258.539
Length   40/10, alignment  9/15, fail:	16.5469	16.0781	484.891
Length   40/10, alignment 15/ 0, found:	20.4297	22.875	260.125
Length   40/10, alignment 15/ 0, fail:	13.7812	15.8203	485.68
Length   40/10, alignment 15/ 3, found:	20.6094	22.8359	258.406
Length   40/10, alignment 15/ 3, fail:	14.5469	14.6016	486.844
Length   40/10, alignment 15/ 9, found:	20.6484	22.8359	260.281
Length   40/10, alignment 15/ 9, fail:	15.9297	16.3828	486.273
Length   40/10, alignment 15/15, found:	20.4922	22.8281	258.289
Length   40/10, alignment 15/15, fail:	15.3984	17.4609	485.414
Length   50/10, alignment  0/ 0, found:	20.4219	22.7188	312.867
Length   50/10, alignment  0/ 0, fail:	14.9453	14.8828	619.414
Length   50/10, alignment  0/ 3, found:	20.4453	22.75	304.281
Length   50/10, alignment  0/ 3, fail:	16.3984	15.8984	599.617
Length   50/10, alignment  0/ 9, found:	20.4766	22.6797	310.227
Length   50/10, alignment  0/ 9, fail:	15.4062	17.9688	601.617
Length   50/10, alignment  0/15, found:	20.4766	22.6016	304.898
Length   50/10, alignment  0/15, fail:	17.4609	16.3125	600.969
Length   50/10, alignment  3/ 0, found:	20.5156	22.6172	310.211
Length   50/10, alignment  3/ 0, fail:	13.6562	15.8203	602.906
Length   50/10, alignment  3/ 3, found:	20.5312	22.9141	304.133
Length   50/10, alignment  3/ 3, fail:	13.7266	16.0547	600.805
Length   50/10, alignment  3/ 9, found:	20.5781	22.7578	312.922
Length   50/10, alignment  3/ 9, fail:	14.9609	17.2031	623.523
Length   50/10, alignment  3/15, found:	20.4844	22.8438	304.984
Length   50/10, alignment  3/15, fail:	16.7422	17.3047	413.32
Length   50/10, alignment  9/ 0, found:	20.4688	22.6484	220.391
Length   50/10, alignment  9/ 0, fail:	14.2578	14.7031	372.234
Length   50/10, alignment  9/ 3, found:	19.6797	20.6562	200.305
Length   50/10, alignment  9/ 3, fail:	14.6562	13.6406	365.312
Length   50/10, alignment  9/ 9, found:	18.4297	22.0859	200.336
Length   50/10, alignment  9/ 9, fail:	13.4297	14.0938	364.469
Length   50/10, alignment  9/15, found:	18.3984	20.4609	200.359
Length   50/10, alignment  9/15, fail:	15.0781	14.1094	364
Length   50/10, alignment 15/ 0, found:	18.3906	20.4375	200.281
Length   50/10, alignment 15/ 0, fail:	14.9062	16.3359	363.812
Length   50/10, alignment 15/ 3, found:	18.6172	20.4453	200.234
Length   50/10, alignment 15/ 3, fail:	14.6562	15.2344	364.781
Length   50/10, alignment 15/ 9, found:	18.5156	20.5	200.695
Length   50/10, alignment 15/ 9, fail:	15.8672	16.3594	364.172
Length   50/10, alignment 15/15, found:	18.375	20.4453	200.266
Length   50/10, alignment 15/15, fail:	15.4688	49.125	366.344
Length   60/10, alignment  0/ 0, found:	18.4766	20.4375	226.711
Length   60/10, alignment  0/ 0, fail:	13.4375	13.2812	431.664
Length   60/10, alignment  0/ 3, found:	18.4609	20.4766	226.844
Length   60/10, alignment  0/ 3, fail:	15.3125	14.8125	431.625
Length   60/10, alignment  0/ 9, found:	18.4453	20.4375	226.805
Length   60/10, alignment  0/ 9, fail:	14.7734	15.2188	431.656
Length   60/10, alignment  0/15, found:	18.4062	20.3672	226.82
Length   60/10, alignment  0/15, fail:	15.2422	14.9375	431.688
Length   60/10, alignment  3/ 0, found:	18.3594	20.4062	226.945
Length   60/10, alignment  3/ 0, fail:	12.1641	12.6484	431.5
Length   60/10, alignment  3/ 3, found:	18.5391	20.4531	226.758
Length   60/10, alignment  3/ 3, fail:	13.1797	12.8672	431.695
Length   60/10, alignment  3/ 9, found:	18.3281	20.2891	226.211
Length   60/10, alignment  3/ 9, fail:	13.4141	14.8047	431.734
Length   60/10, alignment  3/15, found:	18.5234	20.4062	226.672
Length   60/10, alignment  3/15, fail:	15.125	14.5547	454.125
Length   60/10, alignment  9/ 0, found:	18.4141	20.4062	229.047
Length   60/10, alignment  9/ 0, fail:	14.2031	14.7344	432.883
Length   60/10, alignment  9/ 3, found:	18.4609	20.4375	226.82
Length   60/10, alignment  9/ 3, fail:	14.8594	15.1797	431.586
Length   60/10, alignment  9/ 9, found:	18.3438	20.3828	226.109
Length   60/10, alignment  9/ 9, fail:	15.5156	16.4062	431.641
Length   60/10, alignment  9/15, found:	18.3516	20.4141	227.055
Length   60/10, alignment  9/15, fail:	15.5547	16.3359	431.641
Length   60/10, alignment 15/ 0, found:	18.3906	20.4219	227
Length   60/10, alignment 15/ 0, fail:	14.1719	14.7344	431.555
Length   60/10, alignment 15/ 3, found:	18.3828	20.4531	226.781
Length   60/10, alignment 15/ 3, fail:	14.9453	15.1484	432.93
Length   60/10, alignment 15/ 9, found:	18.3516	20.4141	227.023
Length   60/10, alignment 15/ 9, fail:	15.5547	16.2578	431.555
Length   60/10, alignment 15/15, found:	18.5469	20.4141	227.07
Length   60/10, alignment 15/15, fail:	15.5	16.3438	452.781
Length   70/10, alignment  0/ 0, found:	18.6562	20.7344	260.141
Length   70/10, alignment  0/ 0, fail:	14.5781	14.8828	500.172
Length   70/10, alignment  0/ 3, found:	18.9609	20.8672	261.516
Length   70/10, alignment  0/ 3, fail:	16.0625	16.2031	500.5
Length   70/10, alignment  0/ 9, found:	18.9922	21.0156	260.109
Length   70/10, alignment  0/ 9, fail:	16.6094	17.1016	499.68
Length   70/10, alignment  0/15, found:	18.5078	20.6172	259.953
Length   70/10, alignment  0/15, fail:	15.2891	16.5625	500.117
Length   70/10, alignment  3/ 0, found:	18.4766	20.6719	259.164
Length   70/10, alignment  3/ 0, fail:	14.6094	14.9297	500.383
Length   70/10, alignment  3/ 3, found:	18.8516	20.625	260.164
Length   70/10, alignment  3/ 3, fail:	15.2031	15.3984	500.453
Length   70/10, alignment  3/ 9, found:	18.625	20.7109	260.344
Length   70/10, alignment  3/ 9, fail:	16.75	16.4688	518.156
Length   70/10, alignment  3/15, found:	18.6719	20.6016	260.055
Length   70/10, alignment  3/15, fail:	15.5859	16.3203	499.977
Length   70/10, alignment  9/ 0, found:	18.4531	20.6172	260.102
Length   70/10, alignment  9/ 0, fail:	14.4375	14.7578	500.539
Length   70/10, alignment  9/ 3, found:	18.6719	20.6328	259.75
Length   70/10, alignment  9/ 3, fail:	14.7578	15.1406	500.422
Length   70/10, alignment  9/ 9, found:	18.4297	20.4688	260.148
Length   70/10, alignment  9/ 9, fail:	15.4609	16.3359	500.047
Length   70/10, alignment  9/15, found:	18.3984	20.4453	260.578
Length   70/10, alignment  9/15, fail:	15.4062	16.3438	500.766
Length   70/10, alignment 15/ 0, found:	18.8828	20.8125	262.016
Length   70/10, alignment 15/ 0, fail:	16.7578	17.1719	500.039
Length   70/10, alignment 15/ 3, found:	19.1172	21	262.312
Length   70/10, alignment 15/ 3, fail:	17.1172	17.4297	500.359
Length   70/10, alignment 15/ 9, found:	18.7188	21.2031	264.117
Length   70/10, alignment 15/ 9, fail:	18.1406	18.875	505.008
Length   70/10, alignment 15/15, found:	18.4375	20.5156	260.5
Length   70/10, alignment 15/15, fail:	17.5938	18.375	500.234
Length   44/11, alignment  0/ 0, found:	18.4297	20.3906	204.266
Length   44/11, alignment  0/ 0, fail:	11.0156	11.3438	396.094
Length   44/11, alignment  0/ 3, found:	18.4219	20.4688	203.703
Length   44/11, alignment  0/ 3, fail:	12.8438	13.5781	394.867
Length   44/11, alignment  0/ 9, found:	18.3672	20.4609	201.844
Length   44/11, alignment  0/ 9, fail:	12.4609	14.1328	351.281
Length   44/11, alignment  0/15, found:	18.75	20.4766	193.484
Length   44/11, alignment  0/15, fail:	12.3438	13.4297	351.297
Length   44/11, alignment  3/ 0, found:	18.6172	20.5625	190.164
Length   44/11, alignment  3/ 0, fail:	10.6719	10.8594	351.195
Length   44/11, alignment  3/ 3, found:	18.4922	20.6641	191.273
Length   44/11, alignment  3/ 3, fail:	12.3672	11.3672	351.117
Length   44/11, alignment  3/ 9, found:	18.5156	20.5781	200.672
Length   44/11, alignment  3/ 9, fail:	12.6406	13.2422	395.039
Length   44/11, alignment  3/15, found:	19.6641	22.1562	209.055
Length   44/11, alignment  3/15, fail:	12.4453	13.1641	422.688
Length   44/11, alignment  9/ 0, found:	19.8125	22.0156	217.758
Length   44/11, alignment  9/ 0, fail:	13.3906	13.7266	422.844
Length   44/11, alignment  9/ 3, found:	19.7266	22.125	207.148
Length   44/11, alignment  9/ 3, fail:	14.2891	14.5	374.336
Length   44/11, alignment  9/ 9, found:	19.75	22.0078	207.328
Length   44/11, alignment  9/ 9, fail:	15.8125	15.6094	374.438
Length   44/11, alignment  9/15, found:	19.6484	22.0234	204.047
Length   44/11, alignment  9/15, fail:	14.4219	15.3281	374.953
Length   44/11, alignment 15/ 0, found:	19.7188	21.8359	206.492
Length   44/11, alignment 15/ 0, fail:	13.125	13.5312	374.898
Length   44/11, alignment 15/ 3, found:	19.6328	22	207.312
Length   44/11, alignment 15/ 3, fail:	14.5703	14.2578	375.133
Length   44/11, alignment 15/ 9, found:	19.8359	21.7344	207.539
Length   44/11, alignment 15/ 9, fail:	16.2031	15.0156	420.508
Length   44/11, alignment 15/15, found:	19.625	21.8672	206.25
