                       	oldstrsep	strsep	simple_strsep
Length   12/2, alignment 15/ 3, fail:	9.97656	11.6797	29.1094
Length   12/2, alignment 15/ 9, found:	20.2891	22.6094	18.625
Length   12/2, alignment 15/ 9, fail:	9.97656	11.6562	28.9375
Length   12/2, alignment 15/15, found:	20.5703	22.8594	18.4688
Length   12/2, alignment 15/15, fail:	11.1094	12.4844	29.1016
Length   14/2, alignment  0/ 0, found:	20.2969	22.625	20.9062
Length   14/2, alignment  0/ 0, fail:	10.2344	8.9375	43.8906
Length   14/2, alignment  0/ 3, found:	20.2891	22.5781	25.8281
Length   14/2, alignment  0/ 3, fail:	10.9219	10.3906	43.7812
Length   14/2, alignment  0/ 9, found:	20.3047	22.5469	25.5234
Length   14/2, alignment  0/ 9, fail:	11.4844	10.2656	43.7891
Length   14/2, alignment  0/15, found:	20.375	22.6328	20.3203
Length   14/2, alignment  0/15, fail:	10.2344	11.3438	33.0156
Length   14/2, alignment  3/ 0, found:	21	22.125	20.3516
Length   14/2, alignment  3/ 0, fail:	10.2734	10.125	33.0938
Length   14/2, alignment  3/ 3, found:	20.9531	21.8906	20.2656
Length   14/2, alignment  3/ 3, fail:	10.5625	13.1641	33.6875
Length   14/2, alignment  3/ 9, found:	20.9141	21.9062	20.8359
Length   14/2, alignment  3/ 9, fail:	11.2891	12.3047	32.9453
Length   14/2, alignment  3/15, found:	20.9219	22.1328	20.3125
Length   14/2, alignment  3/15, fail:	10.9375	12.3438	33.0547
Length   14/2, alignment  9/ 0, found:	20.3438	22.6562	20.2891
Length   14/2, alignment  9/ 0, fail:	10.0078	10.0781	33.0703
Length   14/2, alignment  9/ 3, found:	20.3047	22.6484	20.2734
Length   14/2, alignment  9/ 3, fail:	10.1484	11.6328	32.9766
Length   14/2, alignment  9/ 9, found:	20.2656	22.6094	20.2734
Length   14/2, alignment  9/ 9, fail:	9.90625	11.6562	33.2969
Length   14/2, alignment  9/15, found:	20.4766	22.7734	20.2734
Length   14/2, alignment  9/15, fail:	11.7578	12.3516	49.5391
Length   14/2, alignment 15/ 0, found:	20.5234	22.8281	28.8516
Length   14/2, alignment 15/ 0, fail:	10.4453	10.2109	49.3125
Length   14/2, alignment 15/ 3, found:	20.6641	22.7031	28.7344
Length   14/2, alignment 15/ 3, fail:	11.4375	11.9453	49.3672
Length   14/2, alignment 15/ 9, found:	20.3984	22.8438	28.7422
Length   14/2, alignment 15/ 9, fail:	10.6172	12.3281	49.3516
Length   14/2, alignment 15/15, found:	20.7188	22.8516	29.1562
Length   14/2, alignment 15/15, fail:	10.9141	12.3594	49.3359
Length   12/3, alignment  0/ 0, found:	20.4375	61.1328	34.2578
Length   12/3, alignment  0/ 0, fail:	10.2656	8.98438	59.7031
Length   12/3, alignment  0/ 3, found:	20.4375	22.6406	33.3438
Length   12/3, alignment  0/ 3, fail:	10.6328	10.3125	58.6406
Length   12/3, alignment  0/ 9, found:	20.3828	22.6875	33.2812
Length   12/3, alignment  0/ 9, fail:	10.0391	10.6641	56.2891
Length   12/3, alignment  0/15, found:	20.6719	22.8125	33.2812
Length   12/3, alignment  0/15, fail:	10.0391	11.2891	56.1484
Length   12/3, alignment  3/ 0, found:	21.0859	22.1875	33.3047
Length   12/3, alignment  3/ 0, fail:	9.72656	9	56.2188
Length   12/3, alignment  3/ 3, found:	21.2109	22.1875	33.3047
Length   12/3, alignment  3/ 3, fail:	11.3828	10.7891	56.2188
Length   12/3, alignment  3/ 9, found:	20.9297	22.1406	33.2969
Length   12/3, alignment  3/ 9, fail:	11.2656	10.4062	56.2266
Length   12/3, alignment  3/15, found:	21.3594	22.2188	33.3047
Length   12/3, alignment  3/15, fail:	10.3281	11.8359	57.7656
Length   12/3, alignment  9/ 0, found:	21.8438	22.8828	34.5312
Length   12/3, alignment  9/ 0, fail:	10.75	10.6797	60.6016
Length   12/3, alignment  9/ 3, found:	21.75	23.0703	34.3594
Length   12/3, alignment  9/ 3, fail:	10.8984	12.8828	58.3047
Length   12/3, alignment  9/ 9, found:	21.7188	22.8984	34.5391
Length   12/3, alignment  9/ 9, fail:	10.8359	11.5625	58.3047
Length   12/3, alignment  9/15, found:	21.875	22.9922	34.5156
Length   12/3, alignment  9/15, fail:	11.6406	12.9219	58.3203
Length   12/3, alignment 15/ 0, found:	21.2266	23.5859	34.5078
Length   12/3, alignment 15/ 0, fail:	10.4219	10.4453	58.3516
Length   12/3, alignment 15/ 3, found:	21.4844	23.6562	34.4922
Length   12/3, alignment 15/ 3, fail:	10.4062	11.7266	58.3516
Length   12/3, alignment 15/ 9, found:	21.0469	23.7266	34.3984
Length   12/3, alignment 15/ 9, fail:	10.2891	12.1016	55.8984
Length   12/3, alignment 15/15, found:	21.4141	23.5781	34.5234
Length   12/3, alignment 15/15, fail:	11.375	12.8125	56.7734
Length   15/3, alignment  0/ 0, found:	21.3047	23.6094	35.5312
Length   15/3, alignment  0/ 0, fail:	10.3359	9.29688	70.6562
Length   15/3, alignment  0/ 3, found:	21.1797	23.4766	35.1328
Length   15/3, alignment  0/ 3, fail:	10.4141	10.8125	70.1719
Length   15/3, alignment  0/ 9, found:	21.1641	23.4844	38.1797
Length   15/3, alignment  0/ 9, fail:	10.7188	10.4922	70.1172
Length   15/3, alignment  0/15, found:	21.4766	23.6172	38.1016
Length   15/3, alignment  0/15, fail:	10.5078	11.9219	70.1094
Length   15/3, alignment  3/ 0, found:	21.8594	22.875	38.0781
Length   15/3, alignment  3/ 0, fail:	10.5391	10.7344	70.125
Length   15/3, alignment  3/ 3, found:	21.8047	22.8828	38.0781
Length   15/3, alignment  3/ 3, fail:	10.6484	11.6172	70.1016
Length   15/3, alignment  3/ 9, found:	21.7031	22.875	38.0859
Length   15/3, alignment  3/ 9, fail:	10.5859	11.5547	70.125
Length   15/3, alignment  3/15, found:	21.9141	22.9766	38.1016
Length   15/3, alignment  3/15, fail:	11.4453	12.2109	70.1172
Length   15/3, alignment  9/ 0, found:	21.2266	23.6016	38.0938
Length   15/3, alignment  9/ 0, fail:	10.5547	10.4531	70.1484
Length   15/3, alignment  9/ 3, found:	21.2891	23.4766	38.1016
Length   15/3, alignment  9/ 3, fail:	10.2812	12.1484	70.1172
Length   15/3, alignment  9/ 9, found:	21.0703	23.5859	38.0938
Length   15/3, alignment  9/ 9, fail:	10.2891	12.2656	70.1172
Length   15/3, alignment  9/15, found:	21.4141	23.7344	38.0781
Length   15/3, alignment  9/15, fail:	11.2891	12.7812	70.1016
Length   15/3, alignment 15/ 0, found:	21.1406	23.6406	38.0938
Length   15/3, alignment 15/ 0, fail:	10.4062	10.4219	70.1328
Length   15/3, alignment 15/ 3, found:	21.0703	23.3438	38.1016
Length   15/3, alignment 15/ 3, fail:	10.2422	22.4219	65.3906
Length   15/3, alignment 15/ 9, found:	21.2031	23.3828	38.0938
Length   15/3, alignment 15/ 9, fail:	10.5781	12.1328	65.4766
Length   15/3, alignment 15/15, found:	21.3203	23.6328	36.3516
Length   15/3, alignment 15/15, fail:	11.2656	12.8438	70.1172
Length   18/3, alignment  0/ 0, found:	21.1797	23.4062	44.8906
Length   18/3, alignment  0/ 0, fail:	14.0078	12.6016	83.7109
Length   18/3, alignment  0/ 3, found:	21.2656	23.4766	46.6406
Length   18/3, alignment  0/ 3, fail:	13.4766	13.8125	83.3203
Length   18/3, alignment  0/ 9, found:	21.1328	23.3906	46.3828
Length   18/3, alignment  0/ 9, fail:	14.5703	12.9844	83.2188
Length   18/3, alignment  0/15, found:	21.3516	23.4922	46.3906
Length   18/3, alignment  0/15, fail:	14.0391	13.6953	83.1484
Length   18/3, alignment  3/ 0, found:	21.9062	22.875	46.4609
Length   18/3, alignment  3/ 0, fail:	10.625	10.7734	83.0391
Length   18/3, alignment  3/ 3, found:	21.7188	22.875	46.4531
Length   18/3, alignment  3/ 3, fail:	10.8047	11.5781	83.1406
Length   18/3, alignment  3/ 9, found:	21.7578	22.8828	42.2656
Length   18/3, alignment  3/ 9, fail:	11.5938	12.1797	83.1562
Length   18/3, alignment  3/15, found:	21.8125	22.9219	46.3906
Length   18/3, alignment  3/15, fail:	12.1328	12.8906	78.1953
Length   18/3, alignment  9/ 0, found:	21.1953	23.4844	46.3906
Length   18/3, alignment  9/ 0, fail:	10.5469	10.4219	83.1328
Length   18/3, alignment  9/ 3, found:	21.0547	23.4219	46.3984
Length   18/3, alignment  9/ 3, fail:	10.2812	12.0938	83.125
Length   18/3, alignment  9/ 9, found:	21.2188	23.3516	46.3828
Length   18/3, alignment  9/ 9, fail:	10.8984	12.0938	83.1641
Length   18/3, alignment  9/15, found:	21.5547	23.5469	46.4062
Length   18/3, alignment  9/15, fail:	11.5	12.875	83.1484
Length   18/3, alignment 15/ 0, found:	21.2969	23.3984	46.4375
Length   18/3, alignment 15/ 0, fail:	12.8438	13.6562	83.1719
Length   18/3, alignment 15/ 3, found:	21.0703	23.4531	46.3828
Length   18/3, alignment 15/ 3, fail:	13.2734	14.3438	78.7031
Length   18/3, alignment 15/ 9, found:	21.0859	23.3438	42.2422
