                            	generic_stpncpy	__stpncpy_ssse3	__stpncpy_avx2	__stpncpy_avx2_rtm	__stpncpy_evex	__stpncpy_sse2_unaligned	__stpncpy_sse2
Length    8, n   16, alignment  0/ 0:	12.1653	8.61288	7.27317	9.68715	9.03852	9.01444	10.818
Length   32, n   16, alignment  0/ 0:	10.5144	7.20016	4.97698	6.09604	6.39129	5.46757	10.4251
Length    8, n   16, alignment  7/ 2:	11.7759	8.31357	7.41755	10.4063	10.0355	9.17194	12.1141
Length   32, n   16, alignment  7/ 2:	10.5194	7.19949	4.66337	5.17263	5.90466	4.90419	10.2404
Length   16, n   32, alignment  0/ 0:	11.8638	13.171	8.90298	8.89618	8.41173	10.6124	12.1506
Length   64, n   32, alignment  0/ 0:	10.1222	8.97485	4.97462	7.6126	7.45225	5.82867	10.6464
Length   16, n   32, alignment  6/ 4:	12.3206	12.7368	7.60172	9.72473	9.16208	8.27837	11.2366
Length   64, n   32, alignment  6/ 4:	9.05107	14.4344	5.66684	7.32417	6.87255	4.74243	9.93139
Length   32, n   64, alignment  0/ 0:	13.2824	13.4283	7.62627	8.84709	7.11281	7.47717	13.8172
Length  128, n   64, alignment  0/ 0:	10.7113	11.9461	6.5359	7.48317	7.34808	7.11385	8.24811
Length   32, n   64, alignment  5/ 6:	11.7951	18.7105	6.67143	6.94038	6.24825	6.12906	10.6536
Length  128, n   64, alignment  5/ 6:	8.02705	17.3331	7.05912	7.40094	5.62738	6.05431	8.41991
Length   64, n  128, alignment  0/ 0:	10.482	12.1082	6.9831	8.04415	7.40425	8.09944	11.5535
Length  256, n  128, alignment  0/ 0:	9.63535	13.2379	6.94589	8.92239	8.77686	9.16233	11.4549
Length   64, n  128, alignment  4/ 0:	12.8654	18.5713	9.28275	9.91567	9.15886	9.29106	12.729
Length  256, n  128, alignment  4/ 0:	9.90223	20.0527	7.74502	9.47923	7.52601	10.0258	11.2125
Length  128, n  256, alignment  0/ 0:	11.3911	19.6295	9.54526	10.9426	10.4731	13.2101	11.6383
Length  512, n  256, alignment  0/ 0:	15.0941	18.9192	9.66802	10.279	9.90474	12.3776	14.8386
Length  128, n  256, alignment  3/ 2:	10.4907	20.9774	10.2043	8.8104	9.07492	11.2884	9.55616
Length  512, n  256, alignment  3/ 2:	11.5325	23.1194	12.1154	13.4369	12.4749	14.6439	14.4543
Length  256, n  512, alignment  0/ 0:	18.2618	24.377	13.4374	12.8201	11.5341	14.0803	13.4768
Length 1024, n  512, alignment  0/ 0:	14.6969	24.0112	9.40899	10.4176	12.7589	20.2332	18.7158
Length  256, n  512, alignment  2/ 4:	19.5831	33.0013	14.5832	13.8676	12.6105	14.8421	13.3974
Length 1024, n  512, alignment  2/ 4:	14.3637	29.4628	16.4652	18.2844	16.9402	22.7234	19.5101
Length  512, n 1024, alignment  0/ 0:	21.8579	35.0489	17.1462	17.118	15.3269	25.3426	17.1921
Length 2048, n 1024, alignment  0/ 0:	23.5086	36.3504	18.8212	22.3063	20.3465	36.5734	26.6972
Length  512, n 1024, alignment  1/ 6:	23.5259	41.017	21.983	19.785	21.881	25.2658	18.0067
Length 2048, n 1024, alignment  1/ 6:	24.0107	45.8823	29.7079	29.7045	29.709	39.9823	26.829
