                       	__stpcpy_chk	normal_stpcpy	simple_stpcpy_chk
Length 1024, alignment  7/ 6:	30.1012	25.9272	694.502
Length 1024, alignment  6/ 7:	28.3116	25.2532	627.576
Length 1024, alignment  7/ 7:	29.1767	21.6954	666.129
Length 1024, alignment  7/ 7:	26.3847	20.6443	700.78
Length    0, alignment  0/ 0:	9.15143	4.57721	3.4314
Length    0, alignment  0/ 0:	9.7157	4.57373	3.43048
Length    0, alignment  0/ 0:	10.2859	4.7569	3.43054
Length    0, alignment  0/ 0:	9.71429	4.57306	3.42999
Length    1, alignment  0/ 0:	10.2913	5.14459	4.00293
Length    1, alignment  0/ 0:	10.1053	5.14417	4.00208
Length    1, alignment  0/ 1:	9.64319	5.51721	3.31042
Length    1, alignment  1/ 0:	9.37903	5.63501	3.53198
Length    2, alignment  0/ 0:	8.24231	4.36572	5.12402
Length    2, alignment  0/ 0:	8.72797	4.36481	5.34723
Length    2, alignment  0/ 2:	8.87103	3.39508	5.09857
Length    2, alignment  2/ 0:	8.2431	4.36481	5.2962
Length    3, alignment  0/ 0:	7.83771	3.39691	5.82092
Length    3, alignment  0/ 0:	8.39661	2.91565	7.27356
Length    3, alignment  0/ 3:	8.24188	4.36469	7.27325
Length    3, alignment  3/ 0:	8.24261	3.87976	6.16821
Length    4, alignment  0/ 0:	8.23694	4.36646	7.75952
Length    4, alignment  0/ 0:	7.75793	4.3656	8.24225
Length    4, alignment  0/ 4:	8.1012	3.87964	8.24323
Length    4, alignment  4/ 0:	7.75769	4.64435	8.2431
Length    5, alignment  0/ 0:	7.75751	4.30298	5.78296
Length    5, alignment  0/ 0:	7.11328	4.00043	5.58649
Length    5, alignment  0/ 5:	7.11084	4.00146	5.77789
Length    5, alignment  5/ 0:	7.1106	3.74963	5.77924
Length    6, alignment  0/ 0:	6.66681	3.55676	6.44666
Length    6, alignment  0/ 0:	7.11084	3.55652	6.44482
Length    6, alignment  0/ 6:	7.67664	4.40802	6.4646
Length    6, alignment  6/ 0:	7.55493	4.4447	6.44513
Length    7, alignment  0/ 0:	7.55701	4.00287	6.44623
Length    7, alignment  0/ 0:	7.2146	3.55652	6.91217
Length    7, alignment  0/ 7:	7.5387	4.15747	8.14264
Length    7, alignment  7/ 0:	9.14264	4.39752	8.85718
Length    8, alignment  0/ 0:	9.71399	5.14459	10.9144
Length    8, alignment  0/ 0:	9.14307	4.99139	10.8865
Length    8, alignment  0/ 0:	9.14227	5.14343	10.2862
Length    8, alignment  0/ 0:	9.14227	4.31104	10.2868
Length    9, alignment  0/ 0:	9.14313	5.14374	10.8596
Length    9, alignment  0/ 0:	9.1424	4.24152	11.4585
Length    9, alignment  0/ 1:	9.14221	4.00189	11.4756
Length    9, alignment  1/ 0:	9.85205	4.57288	11.4595
Length   10, alignment  0/ 0:	9.67236	4.41437	11.6262
Length   10, alignment  0/ 0:	8.98309	3.86328	11.0754
Length   10, alignment  0/ 2:	8.82758	4.966	11.08
Length   10, alignment  2/ 0:	8.96899	3.31677	11.6177
Length   11, alignment  0/ 0:	8.82727	4.96588	12.175
Length   11, alignment  0/ 0:	8.99915	3.3172	13.7933
Length   11, alignment  0/ 3:	8.82867	4.96552	12.1719
Length   11, alignment  3/ 0:	9.55017	4.4184	12.1714
Length   12, alignment  0/ 0:	9.37891	4.41907	14.5366
Length   12, alignment  0/ 0:	8.83179	4.4278	13.4384
Length   12, alignment  0/ 4:	8.77399	4.13397	13.6382
Length   12, alignment  4/ 0:	7.55481	4.00012	11.5717
Length   13, alignment  0/ 0:	7.55481	4.00092	12.9875
Length   13, alignment  0/ 0:	7.11072	3.55634	12.8604
Length   13, alignment  0/ 5:	7.11084	3.55634	13.0234
Length   13, alignment  5/ 0:	7.55524	3.55573	12.8668
Length   14, alignment  0/ 0:	7.55499	3.55591	13.2907
Length   14, alignment  0/ 0:	7.11041	3.55603	12.8716
Length   14, alignment  0/ 6:	7.11078	3.11212	13.2491
Length   14, alignment  6/ 0:	7.11145	3.55573	13.3126
Length   15, alignment  0/ 0:	8.00085	3.12476	10.2654
Length   15, alignment  0/ 0:	7.55481	3.46027	11.192
Length   15, alignment  0/ 7:	8.24323	4.36481	11.363
Length   15, alignment  7/ 0:	8.2417	3.47778	11.1688
Length   16, alignment  0/ 0:	8.24188	3.88641	11.7987
Length   16, alignment  7/ 2:	9.43335	4.13037	11.9167
Length   32, alignment  0/ 0:	8.77832	5.164	21.0648
Length   32, alignment  6/ 4:	9.31805	5.16309	20.8978
Length   64, alignment  0/ 0:	10.3874	5.16534	40.4166
Length   64, alignment  5/ 6:	10.3226	5.67993	40.2252
Length  128, alignment  0/ 0:	12.6495	6.19684	78.9747
Length  128, alignment  4/ 0:	11.3548	5.56104	85.5507
Length  256, alignment  0/ 0:	15.3424	10.2916	171.983
Length  256, alignment  3/ 2:	15.6314	8.77716	162.939
Length  512, alignment  0/ 0:	15.519	12.1284	306.004
Length  512, alignment  2/ 4:	17.8254	12.6092	370.338
Length 1024, alignment  0/ 0:	27.9062	20.7825	610.553
Length 1024, alignment  1/ 6:	28.4982	24.2407	657.009
Length   16, alignment  1/ 2:	10.0768	4.15015	14.282
Length   16, alignment  2/ 1:	10.2178	4.74219	14.2695
Length   16, alignment  1/ 1:	10.0731	4.74213	14.0538
Length   16, alignment  1/ 1:	10.0739	4.74207	14.2756
Length   32, alignment  2/ 4:	11.2853	4.57397	22.7808
Length   32, alignment  4/ 2:	8.78308	4.1308	21.0555
Length   32, alignment  2/ 2:	9.29492	4.5415	19.6235
Length   32, alignment  2/ 2:	8.76636	4.36597	19.6205
Length   64, alignment  3/ 6:	9.69739	4.8512	37.9227
Length   64, alignment  6/ 3:	9.21191	4.40729	35.7904
Length   64, alignment  3/ 3:	8.44391	4.88898	34.6498
Length   64, alignment  3/ 3:	8.00543	3.60938	34.6357
Length  128, alignment  4/ 0:	8.89465	4.4762	67.9664
Length  128, alignment  0/ 4:	8.89429	5.33777	68.0007
Length  128, alignment  4/ 4:	8.89337	5.33398	67.8433
Length  128, alignment  4/ 4:	9.77814	5.03284	67.8142
Length  256, alignment  5/ 2:	13.4743	8.27997	148.398
Length  256, alignment  2/ 5:	13.0492	8.2229	179.02
Length  256, alignment  5/ 5:	17.444	10.6686	195.614
Length  256, alignment  5/ 5:	17.2672	9.76453	175.659
Length  512, alignment  6/ 4:	15.8825	11.5575	302.776
Length  512, alignment  4/ 6:	20.415	14.9991	370.479
Length  512, alignment  6/ 6:	21.1671	14.0326	379.543
Length  512, alignment  6/ 6:	20.0139	13.8752	320.091
Length 1024, alignment  7/ 6:	25.8739	22.8555	620.222
Length 1024, alignment  6/ 7:	33.9995	29.76	674.384
