                       	basic_strstr	twoway_strstr	__strstr_sse2_unaligned	__strstr_sse2
Length  128/  9, alignment  0/ 9, fail :	84.1875	19.375	19.625	21.125
Length  128/ 10, alignment  1/ 3, found:	98.875	229.75	30.1875	80.9375
Length  128/ 10, alignment  0/ 9, fail :	99.25	225.875	24.4375	70.4375
Length  128/ 11, alignment  1/ 3, found:	97.9375	308.438	24.8125	77.3125
Length  128/ 11, alignment  0/ 9, fail :	92	307.5	21.625	77.25
Length  128/ 12, alignment  1/ 3, found:	86.9375	23.125	28.25	25.625
Length  128/ 12, alignment  0/ 9, fail :	84	19	20.5	19.5
Length  128/ 13, alignment  1/ 3, found:	101.75	295.688	26.0625	77.1875
Length  128/ 13, alignment  0/ 9, fail :	94.5	292.312	20.75	70.9375
Length  128/ 14, alignment  1/ 3, found:	96.75	250.5	30.6875	75.1875
Length  128/ 14, alignment  0/ 9, fail :	90.1875	253.625	22.6875	71.3125
Length  128/ 15, alignment  1/ 3, found:	113.562	291.938	26.875	81.75
Length  128/ 15, alignment  0/ 9, fail :	104.625	294.625	20.4375	74.5625
Length  128/ 16, alignment  1/ 3, found:	100.562	121.438	26.75	77.75
Length  128/ 16, alignment  0/ 9, fail :	90.8125	94.5	20.5625	76.75
Length  160/  1, alignment  1/ 3, found:	139.125	22.25	16.125	16.9375
Length  160/  1, alignment  0/ 9, fail :	134.938	18.875	15.3125	15.9375
Length  160/  2, alignment  1/ 3, found:	112.938	147.625	24.3125	118.062
Length  160/  2, alignment  0/ 9, fail :	108.375	130.938	20.8125	116.5
Length  160/  3, alignment  1/ 3, found:	142.188	82.5625	35.0625	235.75
Length  160/  3, alignment  0/ 9, fail :	137.125	74.5625	32.6875	209.438
Length  160/  4, alignment  1/ 3, found:	143.562	178.188	38.125	143.812
Length  160/  4, alignment  0/ 9, fail :	140.188	159.938	34.6875	133.562
Length  160/  5, alignment  1/ 3, found:	136.625	123.438	31.625	121.188
Length  160/  5, alignment  0/ 9, fail :	127	107.25	28.75	113.438
Length  160/  6, alignment  1/ 3, found:	118.188	165.25	32.875	115.125
Length  160/  6, alignment  0/ 9, fail :	117.438	141.562	28.625	100.812
Length  160/  7, alignment  1/ 3, found:	131.5	237.5	33.625	102.688
Length  160/  7, alignment  0/ 9, fail :	135.188	216.562	30.3125	97.125
Length  160/  8, alignment  1/ 3, found:	145.125	351.75	35.375	104.438
Length  160/  8, alignment  0/ 9, fail :	142.562	315	30.75	97.6875
Length  160/  9, alignment  1/ 3, found:	128.375	326.438	36.5	95.6875
Length  160/  9, alignment  0/ 9, fail :	120.75	305.062	25.1875	87.625
Length  160/ 10, alignment  1/ 3, found:	143.688	403.875	39.5625	100.625
Length  160/ 10, alignment  0/ 9, fail :	132.75	368.75	31	87.9375
Length  160/ 11, alignment  1/ 3, found:	139	364.812	32.4375	90.75
Length  160/ 11, alignment  0/ 9, fail :	127.375	332.062	21.5625	80.0625
Length  160/ 12, alignment  1/ 3, found:	109.938	291.25	29.75	82.75
Length  160/ 12, alignment  0/ 9, fail :	104.5	248.438	21.9375	76.9375
Length  160/ 13, alignment  1/ 3, found:	172.312	396.812	54.1875	83.9375
Length  160/ 13, alignment  0/ 9, fail :	173.438	376.062	37.5625	77.75
Length  160/ 14, alignment  1/ 3, found:	130	359.562	45.4375	87.5
Length  160/ 14, alignment  0/ 9, fail :	123.312	355.562	33.25	79.3125
Length  160/ 15, alignment  1/ 3, found:	143.375	383.562	46.5625	88.0625
Length  160/ 15, alignment  0/ 9, fail :	141.188	382.125	33.25	80.875
Length  160/ 16, alignment  1/ 3, found:	155.312	359.312	50.25	84.8125
Length  160/ 16, alignment  0/ 9, fail :	141.875	481.438	35.9375	82.8125
Length  192/  1, alignment  1/ 3, found:	121.75	17.375	18.9375	17.75
Length  192/  1, alignment  0/ 9, fail :	116.75	19.3125	19.25	16.5625
Length  192/  2, alignment  1/ 3, found:	124.062	30.5625	28.25	25.75
Length  192/  2, alignment  0/ 9, fail :	115.188	18.5625	27.4375	16.25
Length  192/  3, alignment  1/ 3, found:	121.938	23.8125	31.1875	23.875
Length  192/  3, alignment  0/ 9, fail :	116.25	16.1875	25.625	16.125
Length  192/  4, alignment  1/ 3, found:	142.25	166	25.25	154.688
Length  192/  4, alignment  0/ 9, fail :	135.562	149	24.1875	125.375
Length  192/  5, alignment  1/ 3, found:	143.25	334.625	26.875	112.375
Length  192/  5, alignment  0/ 9, fail :	129.062	317.188	24.4375	111.062
Length  192/  6, alignment  1/ 3, found:	157.312	387.75	30	101.375
Length  192/  6, alignment  0/ 9, fail :	153	369.938	32.5625	97
Length  192/  7, alignment  1/ 3, found:	160.438	414.75	38.8125	108.875
Length  192/  7, alignment  0/ 9, fail :	156.312	379.5	36.3125	101.25
Length  192/  8, alignment  1/ 3, found:	191.875	451.938	32.4375	113.375
Length  192/  8, alignment  0/ 9, fail :	190.312	439.688	33.6875	106.188
Length  192/  9, alignment  1/ 3, found:	126.25	87.75	34.0625	66.5625
Length  192/  9, alignment  0/ 9, fail :	123.5	73.625	34.75	64.625
Length  192/ 10, alignment  1/ 3, found:	131	99.875	32.25	76.0625
Length  192/ 10, alignment  0/ 9, fail :	128.688	84.9375	33.875	68.5625
Length  192/ 11, alignment  1/ 3, found:	127.375	28.125	29.25	27
Length  192/ 11, alignment  0/ 9, fail :	122.625	79.375	32	64.0625
Length  192/ 12, alignment  1/ 3, found:	190.562	236.875	35.5625	99.5
Length  192/ 12, alignment  0/ 9, fail :	191.062	228.062	32.9375	88.5
Length  192/ 13, alignment  1/ 3, found:	128	143.562	31.75	83.0625
